"id","code_prefix_start","code_prefix_end","name"
"us_group_4","4","4","Revenue"
"us_group_5","5","5","Cost of Goods Sold"
"us_group_6","6","6","Operating Expenses"
"us_group_61","61","61","Payroll Expenses"
"us_group_62","62","62","Professional Fees"
"us_group_64","64","64","Utilities"
"us_group_650","650","650","Bank Service Charges"
"us_group_651","651","653","Office Expenses"
"us_group_655","655","655","Insurance Expenses"
"us_group_661","661","664","Travel Expenses"
"us_group_665","665","669","Automobile Expenses"
"us_group_67","67","67","Marketing Expenses"
"us_group_7","7","7","Other Expenses"
"us_group_8","8","8","Taxes"
