"id","name","type_tax_use","amount_type","sequence","amount","description","l10n_ec_code_base","l10n_ec_code_applied","tax_group_id","l10n_ec_code_ats","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@es","description@es","invoice_label@es","invoice_label","active"
"tax_vat_15_411_goods","VAT 15% G","sale","percent","5","15","VAT 15% (411, Goods)","411","421","tax_group_vat_15","","100","base","invoice","+401 (Reporte 104)||+411 (Reporte 104)","","IVA 15% (411, B)","IVA 15% (411, Bienes)","IVA 15%","VAT 15% G","True"
"","","","","","","","","","","","100","tax","invoice","+421 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","100","base","refund","-411 (Reporte 104)","","","","","",""
"","","","","","","","","","","","100","tax","refund","-421 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_15_411_services","VAT 15% S","sale","percent","5","15","VAT 15% (411, Services)","411","421","tax_group_vat_15","","","base","invoice","+401 (Reporte 104)||+411 (Reporte 104)","","IVA 15% (411, S)","IVA 15% (411, Servicios)","IVA 15%","VAT 15% S","True"
"","","","","","","","","","","","","tax","invoice","+421 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","","base","refund","-411 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-421 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_15_412","VAT 15% assets","sale","percent","5","15","VAT 15% (412, Assets)","412","422","tax_group_vat_15","","","base","invoice","+402 (Reporte 104)||+412 (Reporte 104)","","IVA 15% (412, A)","IVA 15% (412, Activos)","IVA 15%","VAT 15% assets","True"
"","","","","","","","","","","","","tax","invoice","+422 (Reporte 104)","ec_sale_vat","","","","",""
"","","","","","","","","","","","","base","refund","-412 (Reporte 104)","","","","","",""
"","","","","","","","","","","","","tax","refund","-422 (Reporte 104)","ec_sale_vat","","","","",""
"tax_vat_411_goods","VAT 12% G","sale","percent","20","12","VAT 12% (411, Goods)","411","421","tax_group_vat_12","","100","base","invoice","+401 (Reporte 104)||+411 (Reporte 104)","","IVA 12% (411, B)","IVA 12% (411, Bienes)","IVA 12%","VAT 12% G","False"
