id,code,description,tax_rate
item_code_2023_00011100,0001.11.00,Bovine Semen of tariff number 05111000,E
item_code_2023_00021100,0002.11.00,Fish eggs and roes of tariff number 05119110,E
item_code_2023_00031100,0003.11.00,Animal semen other than of bovine of tariff number 05119110,E
item_code_2023_00041100,0004.11.00,Soya beans whether or not broken of tariff numbers 12011000 and 12019000,E
item_code_2023_00051100,0005.11.00,Groundnuts not roasted or otherwise cooked In shell of tariff number 12024100,E
item_code_2023_00061100,0006.11.00,Groundnuts not roasted or otherwise cooked Shelled whether or not broken of tariff number 12024200,E
item_code_2023_00071100,0007.11.00,Copra of tariff number 12030000,E
item_code_2023_00081100,0008.11.00,Linseed whether or not broken of tariff number 12040000,E
item_code_2023_00091100,0009.11.00,Low erucic acid rape or colza seed of tariff number 12051000,E
item_code_2023_00101100,0010.11.00,Other rape or colza seed of tariff number  12059000,E
item_code_2023_00111100,0011.11.00,Sunflower seeds whether or not broken of tariff number 12060000,E
item_code_2023_00121100,0012.11.00,Cotton seeds  whether or not broken  Seed of tariff numbers 12072100 and 12072900,E
item_code_2023_00131100,0013.11.00,Sesamum seeds whether or not broken of tariff number 12074000,E
item_code_2023_00141100,0014.11.00,Mustard seeds whether or  not broken of tariff number 12070500,E
item_code_2023_00151100,0015.11.00,Safflower seeds  whether or  not broken 12076000,E
item_code_2023_00161100,0016.11.00,Other oil seeds and oleaginous fruits whether or not broken of tariff number 12079900,E
item_code_2023_00171101,0017.11.01,Pyrethrum flower of tariff number 12119020,E
item_code_2023_00171102,0017.11.02,Sugarcane of tariff number 12129300,E
item_code_2023_00171103,0017.11.03,Unprocessed produce of plant species camellia sinensis,E
item_code_2023_00181100,0018.11.00,Live animals of chapter 1,E
item_code_2023_00191100,0019.11.00,Meat and edible offals of chapter 2 excluding those of heading 0209 and 0210,E
item_code_2023_00201100,0020.11.00,Fish and crustaceans molluscs and other qauticinvertebrates of chapter 3 excluding those of tariff heading 0305 0306 and 0307,E
item_code_2023_00211100,0021.11.00,Unprocessed milk,E
item_code_2023_00221100,0022.11.00,Fresh birds eggs in shell,E
item_code_2023_00231100,0023.11.00,Edible Vegetables and certain roots and tubers of Chapter 7 excluding those of tariff heading 0711,E
item_code_2023_00241100,0024.11.00,Edible fruits and nuts peal of citrus fruits or melon of chapter 8 excluding those of tariff heading 0811 0812 0813 and 0814,E
item_code_2023_00251100,0025.11.00,Cereals of Chapter 10 excluding seeds of tariff heading 1002,E
item_code_2023_00301101,0030.11.01,Taxable supplies imported or purchased for direct and exclusive use in the geothermal oil or mining prospecting or exploration by a company granted prospecting or exploration license in accordance with Geothermal Resources Act No 12 of 1982 production sharing contracts in accordance with the provisions of Petroleum Act Cap 306 upon recommendation by the Cabinet Secretary responsible for energy or the Cabinet Secretary responsible for mining as the case may be,E
item_code_2023_00321100,0032.11.00,Syringes with or without needles of tariff no 90183100,E
item_code_2023_00351100,0035.11.00,Tubular metal needles and needles for sutures of tariff number 90183200,E
item_code_2023_00361100,0036.11.00,Catheters cannula and the like of tariff number 90183900,E
item_code_2023_00371100,0037.11.00,Blood bags,E
item_code_2023_00381100,0038.11.00,Blood and fluid infusion sets,E
item_code_2023_00391101,0039.11.01,Materials articles and equipment including motor vehicles Which are specially designed for the sole use by disabled blind or physically handicapped persons,E
item_code_2023_00391102,0039.11.02,Materials articles and equipment Including motor vehicles Which are intended for the educational scientific or cultural advancement of the blind for the use of an organization approved by the national government for purposes of the exemption,E
item_code_2023_00391103,0039.11.03,Streptomycins and their derivatives salts thereof 29412000,E
item_code_2023_00391104,0039.11.04,Tetracycline and their derivatives salts thereof 29413000,E
item_code_2023_00391105,0039.11.05,Chloramphenicol and its derivatives salts thereof 29414000,E
item_code_2023_00391106,0039.11.06,Erythromycin and its derivatives salts thereof 29415000,E
item_code_2023_00391107,0039.11.07,Other Antibiotics 29419000,E
item_code_2023_00391108,0039.11.08,Extracts of glands or other organs or of their secretions 30012000,E
item_code_2023_00391111,0039.11.11,Vaccines for Human Medicine 30022000,E
item_code_2023_00391112,0039.11.12,Vaccines for veterinary medicine 30023000,E
item_code_2023_00391113,0039.11.13,Medicaments Containing penicillin or derivatives thereof with penicillanic acid structure or streptomycins or their derivatives 30031000,E
item_code_2023_00391114,0039.11.14,Medicaments containing other antibiotics not put up in measured doses or in forms for retail sale 30032000,E
item_code_2023_00391115,0039.11.15,Medicacaments containing insulin not put up in measured doses or in forms for retail sale 30033100,E
item_code_2023_00391116,0039.11.16,Other medicaments containing hormones or other products of heading No 2937 but not containing antibiotics not put up in measured doses or in forms or pickings for retail sale 30033900,E
item_code_2023_00391117,0039.11.17,Medicaments containing alkaloids or derivatives thereof but not containing hormones or other products of heading No 2937 or antibiotics not put up in measured doses or in forms or pickings for retail sale 30034000,E
item_code_2023_00391118,0039.11.18,Other 30039000,E
item_code_2023_00391119,0039.11.19,Infusion solutions for ingestion other than by mouth not put up in measured doses or in forms or pickings for retail sale 30039010,E
item_code_2023_00391120,0039.11.20,Other medicaments excluding goods of heading No 3002 3005 or 3006 consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses not put up in measured doses or in forms or packings for retail sale 30039090,E
item_code_2023_00391121,0039.11.21,Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure or streptomycins or their derivatives put up in measured doses or in forms or packings for retail sale 30041000,E
item_code_2023_00391122,0039.11.22,Medicaments containing other antibiotics put up in measured doses or in forms or packings for retail sale 30042000,E
item_code_2023_00391123,0039.11.23,Medicaments containing insulin put up in measured doses or in forms or packings for retail sale 30043100,E
item_code_2023_00391124,0039.11.24,Medicaments containing adrenal cortical hormones put up in measured doses or in forms or packings for retail sale 30043200,E
item_code_2023_00391125,0039.11.25,Other medicaments containing hormones or other products of heading No 2937 but not containing antibiotics put up in measured doses or in forms or packings for retail sale 30043900,E
item_code_2023_00391126,0039.11.26,Containing ephedrine or its salts 30044100,E
item_code_2023_00391127,0039.11.27,Containing pseudoephedrine 30044200,E
item_code_2023_00391128,0039.11.28,Other 30045000,E
item_code_2023_00391129,0039.11.29,Other medicaments containing vitamins or other products of heading No 2936 put up in measured doses or in forms or packings for retail sale 30045000,E
item_code_2023_00391130,0039.11.30,Other medicaments excluding goods of heading No 3002 3005 or 3006 consisting of mixed or unmixed products for therapeutic or prophylactic uses put up in measured doses or in forms or packings for retail sale 30049000,E
item_code_2023_00391131,0039.11.31,Other medicaments excluding goods of heading No 3002 3005 or 3006 consisting of mixed or unmixed products for therapeutic or prophylactic uses put up in measured doses or in forms or packings for retail sale 30049090,E
item_code_2023_00391132,0039.11.32,Adhesive dressings and other articles having an adhesive layer impregnated or coated with pharmaceutical substances or put up in forms of packagings for retail sale for medical surgical dental or veterinary purposes 30051000,E
item_code_2023_00391133,0039.11.33,White absorbent cotton Wadding impregnated or coated with pharmaceutical substances or put up in forms of packagings for retail sale for medical surgical dental or veterinary purposes 30059010,E
