"id","country_id/id","name","code"
state_iq_01,base.iq,"Al Anbar","01"
state_iq_01_ar,base.iq,"الأنبار","02"
state_iq_02,base.iq,"Al Basrah","03"
state_iq_02_ar,base.iq,"البصرة","04"
state_iq_03,base.iq,"Al Muthanna","05"
state_iq_03_ar,base.iq,"المثنى","06"
state_iq_04,base.iq,"Al Qādisiyyah","07"
state_iq_04_ar,base.iq,"القادسية","08"
state_iq_05,base.iq,"Sulaymaniyah","09"
state_iq_05_ar,base.iq,"السليمانية","10"
state_iq_06,base.iq,"Babil","11"
state_iq_06_ar,base.iq,"بابل","12"
state_iq_07,base.iq,"Baghdad","13"
state_iq_07_ar,base.iq,"بغداد","14"
state_iq_08,base.iq,"Duhok","15"
state_iq_08_ar,base.iq,"دهوك","16"
state_iq_09,base.iq,"Dhi Qar","17"
state_iq_09_ar,base.iq,"ذي قار","18"
state_iq_10,base.iq,"Diyala","19"
state_iq_10_ar,base.iq,"ديالى","20"
state_iq_11,base.iq,"Erbil","21"
state_iq_11_ar,base.iq,"أربيل","22"
state_iq_12,base.iq,"Karbala'","23"
state_iq_12_ar,base.iq,"كربلاء","24"
state_iq_13,base.iq,"Kirkuk","25"
state_iq_13_ar,base.iq,"كركوك","26"
state_iq_14,base.iq,"Maysan","27"
state_iq_14_ar,base.iq,"ميسان","28"
state_iq_15,base.iq,"Ninawa","29"
state_iq_15_ar,base.iq,"نينوى","30"
state_iq_16,base.iq,"Wasit","31"
state_iq_16_ar,base.iq,"واسط","32"
state_iq_17,base.iq,"Najaf","33"
state_iq_17_ar,base.iq,"النجف","34"
state_iq_18,base.iq,"Salah Al Din","35"
state_iq_18_ar,base.iq,"صلاح الدين","36"
