"id","parent_id","active","name","code","account_type","reconcile","non_trade","name@ar"
"om_group_02","","False","Liquidity","1001","asset_current","","","السيولة"
"om_group_04","","False","Receivables","1002","asset_current","","","الحسابات المدينة"
"om_group_05","","False","Deposits","1003","asset_current","","","الإيداعات"
"om_group_06","","False","Prepaid Expenses","1004","asset_current","","","النفقات مسبقة الدفع"
"om_group_07","","False","Inventory","1005","asset_current","","","المخزون"
"om_group_08","","False","Company Assets & Depreciation","1006","asset_fixed","","","أصول الشركة والإهلاك"
"om_group_09","","False","Licensing and Copyrights","1007","asset_current","","","الترخيص وحقوق النشر"
"om_group_10","","False","IFRS16 Assets & Depreciation","1008","asset_fixed","","","أصول IFRS16 والإهلاك"
"om_group_11","","False","Payables","2001","liability_current","","","الحسابات الدائنة"
"om_group_12","","False","Accrued Employee Expenses","2002","liability_current","","","نفقات الموظفين المستحقة"
"om_group_13","","False","Accrued Expenses","2003","liability_current","","","النفقات المستحقة"
"om_group_14","","False","Deferrals","2004","liability_current","","","التأجيلات"
"om_group_15","","False","Provisions","2005","liability_non_current","","","الأحكام"
"om_group_16","","False","VAT","2009","asset_current","","","ضريبة القيمة المضافة"
"om_group_17","","False","Operating Income","4001","income","","","الإيرادات التشغيلية"
"om_group_18","","False","Non-Operating Income","4002","income_other","","","الإيرادات غير التشغيلية"
"om_group_19","","False","Other gains & losses - Other Income","4003","income_other","","","المكاسب والخسائر الأخرى - إيرادات أخرى"
"om_group_20","","False","Cost of Sales","5001","expense_direct_cost","","","تكلفة المبيعات"
"om_group_21","","False","Employees Expenses","5002","expense","","","مصروفات الموظفين"
"om_group_22","","False","Payroll Expenses","5003","expense","","","مصروفات الرواتب"
"om_group_23","","False","Office and Location Expenses","5004","expense","","","نفقات المكتب والموقع"
"om_group_24","","False","Company Expenses","5005","expense","","","مصروفات الشركة"
"om_group_25","","False","Finance Expenses","500600-500649","expense","","","المصروفات المالية"
"om_group_26","","False","Income Tax","500650-500699","expense","","","ضريبة الدخل"
"om_group_27","","False","Misc. Company Expenses","5007","expense","","","متفرقات. مصروفات الشركة"
"om_group_28","","False","Assets Depreciation Expenses","500800-500849","expense_depreciation","","","مصروفات استهلاك الأصول"
"om_group_29","","False","IFRS16 Depreciation","500851-500899","expense_depreciation","","","IFRS16 الإهلاك"
"om_group_30","","False","Other gains & losses - Expenses","5009","expense","","","الأرباح والخسائر الأخرى - المصروفات"
"om_group_31","","False","Misc. Office Expenses","5011","expense","","","متفرقات. نفقات مكتبية"
"om_account_100102","om_group_02","True","Bank Suspense Account","100102","asset_current","False","","حساب التعليق البنكي"
"om_account_100103","om_group_02","True","Outstanding Receipts","100103","asset_current","False","","الإيصالات المستحقة"
"om_account_100104","om_group_02","True","Outstanding Payments","100104","asset_current","False","","المدفوعات المستحقة"
"om_account_100106","om_group_02","True","Credit cards","100106","asset_current","False","","البطاقات الائتمانية"
"om_account_100107","om_group_02","True","Post Dated Cheques Received","100107","asset_current","False","","الشيكات مؤجلة الصرف المستلمة"
"om_account_100201","om_group_04","True","Accounts Receivable","100201","asset_receivable","True","","الحسابات المدينة"
"om_account_100202","om_group_04","True","Accounts Receivable (PoS)","100202","asset_receivable","True","","الحسابات المدينة (نقطة البيع)"
"om_account_100203","om_group_04","True","Other Receivable","100203","asset_current","False","","المستحقات الأخرى"
"om_account_100301","om_group_05","True","Deposit - Office Rent","100301","asset_current","False","","إيداع - إيجار المكتب"
"om_account_100302","om_group_05","True","Deposits - Customs","100302","asset_current","False","","الإيداعات - الجمارك"
"om_account_100303","om_group_05","True","Deposit to Immigration (Visa)","100303","asset_current","False","","إيداع للهجرة (فيزا)"
"om_account_100304","om_group_05","True","Deposit Others","100304","asset_current","False","","إيداع آخر"
"om_account_100401","om_group_06","True","Prepaid Medical Insurance","100401","asset_current","False","","التأمين الصحي مسبق الدفع"
"om_account_100402","om_group_06","True","Prepaid Life Insurance","100402","asset_current","False","","التأمين على الحياة مسبق الدفع"
"om_account_100403","om_group_06","True","Prepaid Office Rent","100403","asset_current","False","","إيجار المكتب مسبق الدفع"
"om_account_100404","om_group_06","True","Prepaid Other Insurance","100404","asset_current","False","","التأمينات الأخرى مسبقة الدفع"
"om_account_100405","om_group_06","True","Prepaid License Fees","100405","asset_current","False","","رسوم الرخصة مسبقة الدفع"
"om_account_100406","om_group_06","True","Prepaid Maintenance","100406","asset_current","False","","الصيانة مسبقة الدفع"
"om_account_100407","om_group_06","True","Prepaid Employees Housing","100407","asset_current","False","","سكن الموظفين مسبق الدفع"
"om_account_100408","om_group_06","True","Prepaid Schooling Fees","100408","asset_current","False","","الرسوم الدراسية مسبقة الدفع"
"om_account_100409","om_group_06","True","Prepaid Consultancy Fees","100409","asset_current","False","","الرسوم الاستشارية مسبقة الدفع"
"om_account_100410","om_group_06","True","Prepaid Legal Fees","100410","asset_current","False","","الرسوم القانونية مسبقة الدفع"
"om_account_100411","om_group_06","True","Prepaid Sponsorship Fees","100411","asset_current","False","","رسوم الكفالة مسبقة الدفع"
"om_account_100412","om_group_06","True","Prepaid Advertisement Expenses","100412","asset_current","False","","نفقات الإعلان مسبقة الدفع"
"om_account_100413","om_group_06","True","Prepaid Bank Guarantee","100413","asset_current","False","","ضمان البنك مسبق الدفع"
"om_account_100414","om_group_06","True","Prepaid Finance charge for Loans","100414","asset_current","False","","رسوم التمويل مسبقة الدفع للقروض"
"om_account_100415","om_group_06","True","Other Prepayments","100415","asset_current","False","","المدفوعات المسبقة الأخرى"
