"id","code_prefix_start","code_prefix_end","name","name@ar"
"om_group_01","1000","1000","Liquidity","السيولة"
"om_group_02","1001","1001","Liquidity","السيولة"
"om_group_03","1009","1009","Liquidity","السيولة"
"om_group_04","1002","1002","Receivables","الحسابات المدينة"
"om_group_05","1003","1003","Deposits","الإيداعات"
"om_group_06","1004","1004","Prepaid Expenses","النفقات مسبقة الدفع"
"om_group_07","1005","1005","Inventory","المخزون"
"om_group_08","1006","1006","Company Assets & Depreciation","أصول الشركة والإهلاك"
"om_group_09","1007","1007","Licensing and Copyrights","الترخيص وحقوق النشر"
"om_group_10","1008","1008","IFRS16 Assets & Depreciation","أصول IFRS16 والإهلاك"
"om_group_11","2001","2001","Payables","الحسابات الدائنة"
"om_group_12","2002","2002","Accrued Employee Expenses","نفقات الموظفين المستحقة"
"om_group_13","2003","2003","Accrued Expenses","النفقات المستحقة"
"om_group_14","2004","2004","Deferrals","التأجيلات"
"om_group_15","2005","2005","Provisions","الأحكام"
"om_group_16","2009","2009","VAT","ضريبة القيمة المضافة"
"om_group_17","4001","4001","Operating Income","الإيرادات التشغيلية"
"om_group_18","4002","4002","Non-Operating Income","الإيرادات غير التشغيلية"
"om_group_19","4003","4003","Other gains & losses - Other Income","المكاسب والخسائر الأخرى - إيرادات أخرى"
"om_group_20","5001","5001","Cost of Sales","تكلفة المبيعات"
"om_group_21","5002","5002","Employees Expenses","مصروفات الموظفين"
"om_group_22","5003","5003","Payroll Expenses","مصروفات الرواتب"
"om_group_23","5004","5004","Office and Location Expenses","نفقات المكتب والموقع"
"om_group_24","5005","5005","Company Expenses","مصروفات الشركة"
"om_group_25","500600","500649","Finance Expenses","المصروفات المالية"
"om_group_26","500650","500699","Income Tax","ضريبة الدخل"
"om_group_27","5007","5007","Misc. Company Expenses","متفرقات. مصروفات الشركة"
"om_group_28","500800","500849","Assets Depreciation Expenses","مصروفات استهلاك الأصول"
"om_group_29","500851","500899","IFRS16 Depreciation","IFRS16 الإهلاك"
"om_group_30","5009","5009","Other gains & losses - Expenses","الأرباح والخسائر الأخرى - المصروفات"
"om_group_31","5011","5011","Misc. Office Expenses","متفرقات. نفقات مكتبية"
