"id","sequence","name","description","invoice_label","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","include_base_amount","price_include_override","is_base_affected","description@ar"
"l10n_om_sale_vat_5","1","5%","","5%","False","5","percent","sale","tax_group_vat_5","","base","invoice","1a_B","","","","","ضريبة القيمة المضافة 5%"
"","","","","","","","","","","om_account_200902","tax","invoice","1a_T","","","","",""
"","","","","","","","","","","","base","refund","1a_B","","","","",""
"","","","","","","","","","","om_account_200902","tax","refund","1a_T","","","","",""
"l10n_om_purchase_vat_5","2","5%","","5%","False","5","percent","purchase","tax_group_vat_5","","base","invoice","6a_B","","","","","ضريبة القيمة المضافة 5%"
"","","","","","","","","","","om_account_200901","tax","invoice","6a_T","","","","",""
"","","","","","","","","","","","base","refund","6a_B","","","","",""
"","","","","","","","","","","om_account_200901","tax","refund","6a_T","","","","",""
"l10n_om_sale_vat_0","3","0%","","0%","False","0","percent","sale","tax_group_vat_0","","base","invoice","1b_B","","","","","ضريبة القيمة المضافة 0%"
"","","","","","","","","","","om_account_200902","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","1b_B","","","","",""
"","","","","","","","","","","om_account_200902","tax","refund","","","","","",""
"l10n_om_purchase_vat_0","4","0%","","0%","False","0","percent","purchase","tax_group_vat_0","","base","invoice","6a_B","","","","","ضريبة القيمة المضافة 0%"
"","","","","","","","","","","om_account_200901","tax","invoice","6a_T","","","","",""
"","","","","","","","","","","","base","refund","6a_B","","","","",""
"","","","","","","","","","","om_account_200901","tax","refund","6a_T","","","","",""
"l10n_om_sale_vat_0_ext","5","0% EXT","Exempt","Exempt","False","0.0","percent","sale","tax_group_vat_exempt","","base","invoice","1c_B","","","","","معفاة من ضريبة القيمة المضافة"
"","","","","","","","","","","om_account_200902","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","1c_B","","","","",""
"","","","","","","","","","","om_account_200902","tax","refund","","","","","",""
"l10n_om_purchase_vat_0_ext","6","0% EXT","Exempt","Exempt","False","0.0","percent","purchase","tax_group_vat_exempt","","base","invoice","6a_B","","","","","معفاة من ضريبة القيمة المضافة"
"","","","","","","","","","","om_account_200901","tax","invoice","6a_T","","","","",""
"","","","","","","","","","","","base","refund","6a_B","","","","",""
"","","","","","","","","","","om_account_200901","tax","refund","6a_T","","","","",""
"l10n_om_sale_0_ex","7","0% EX","Zero-rated exports","0% Export","False","0.0","percent","sale","tax_group_vat_0","","base","invoice","3a_B","","","","","صادرات خاضعة للضريبة صفر%"
"","","","","","","","","","","om_account_200902","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","3a_B","","","","",""
"","","","","","","","","","","om_account_200902","tax","refund","","","","","",""
"l10n_om_purchase_0_ex","8","0% EX","Zero-rated imports","0% Import","False","0","percent","purchase","tax_group_vat_0","","base","invoice","4b_B","","","","","واردات خاضعة للضريبة صفر%"
"","","","","","","","","","","om_account_200901","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","4b_B","","","","",""
"","","","","","","","","","","om_account_200901","tax","refund","","","","","",""
"l10n_om_purchase_5_ex_vat","9","5% EX ONLY","Import - Only VAT","5% Import","False","100","division","purchase","tax_group_vat_5","","base","invoice","","","True","tax_included","True","واردات خاضعة للضريبة 5%"
"","","","","","","","","","","om_account_200901","tax","invoice","6b_T","","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","om_account_200901","tax","refund","6b_T","","","","",""
"l10n_om_purchase_5_ex","9","5% EX ONLY B","Import - Only Base","5% Import - Base","False","0","percent","purchase","tax_group_vat_5","","base","invoice","4b_B||6b_B","","","","True","واردات خاضعة للضريبة 5%"
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","4b_B||6b_B","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"l10n_om_purchase_0_ex_ext","10","0% EX EXT","Import Exempt","Exempt","False","0","percent","purchase","tax_group_vat_exempt","","base","invoice","4b_B","","","","","واردات معفاة من الضريبة"
"","","","","","","","","","","om_account_200901","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","4b_B","","","","",""
"","","","","","","","","","","om_account_200901","tax","refund","","","","","",""
"l10n_om_purchase_5_ex_p","11","5% EX P","Import Postponed Payment","5% Postponed Payment","False","5","percent","purchase","tax_group_vat_5","","base","invoice","4a_B||6b_B","","","","","واردات مع دفع ضريبة مؤجل 5%"
"","","","","","","","","","","om_account_200909","tax","invoice","6b_T","","","","",""
"","","","","","","","","","","om_account_200908","tax","invoice","4a_T","-100","","","",""
"","","","","","","","","","","","base","refund","4a_B||6b_B","","","","",""
"","","","","","","","","","","om_account_200909","tax","refund","6b_T","","","","",""
"","","","","","","","","","","om_account_200908","tax","refund","4a_T","-100","","","",""
"l10n_om_purchase_5_RCM","12","5% RCM","Supplies subject to reverse charge provisions","5% Reverse Charge","False","5","percent","purchase","tax_group_vat_rc_5","","base","invoice","2b_B||6a_B","","","","","إمدادات خاضعة لأحكام الضريبة العكسية 5%"
"","","","","","","","","","","om_account_200907","tax","invoice","6a_T","","","","",""
"","","","","","","","","","","om_account_200902","tax","invoice","2b_T","-100","","","",""
"","","","","","","","","","","","base","refund","2b_B||6a_B","","","","",""
"","","","","","","","","","","om_account_200907","tax","refund","6a_T","","","","",""
"","","","","","","","","","","om_account_200902","tax","refund","2b_T","-100","","","",""
