"id","sequence","name","height","weight","types_ids/id","parent_id/id"
"pokemon_1",1,"Bulbasaur",7,69,"type_12,type_4",
"pokemon_2",2,"Ivysaur",10,130,"type_12,type_4","pokemon_1"
"pokemon_3",3,"Venusaur",20,1000,"type_12,type_4","pokemon_2"
"pokemon_4",4,"Charmander",6,85,"type_10",
"pokemon_5",5,"Charmeleon",11,190,"type_10","pokemon_4"
"pokemon_6",6,"Charizard",17,905,"type_10,type_3","pokemon_5"
"pokemon_7",7,"Squirtle",5,90,"type_11",
"pokemon_8",8,"Wartortle",10,225,"type_11","pokemon_7"
"pokemon_9",9,"Blastoise",16,855,"type_11","pokemon_8"
"pokemon_10",10,"Caterpie",3,29,"type_7",
"pokemon_11",11,"Metapod",7,99,"type_7","pokemon_10"
"pokemon_12",12,"Butterfree",11,320,"type_7,type_3","pokemon_11"
"pokemon_13",13,"Weedle",3,32,"type_7,type_4",
"pokemon_14",14,"Kakuna",6,100,"type_7,type_4","pokemon_13"
"pokemon_15",15,"Beedrill",10,295,"type_7,type_4","pokemon_14"
"pokemon_16",16,"Pidgey",3,18,"type_1,type_3",
"pokemon_17",17,"Pidgeotto",11,300,"type_1,type_3","pokemon_16"
"pokemon_18",18,"Pidgeot",15,395,"type_1,type_3","pokemon_17"
"pokemon_19",19,"Rattata",3,35,"type_1",
"pokemon_20",20,"Raticate",7,185,"type_1","pokemon_19"
"pokemon_21",21,"Spearow",3,20,"type_1,type_3",
"pokemon_22",22,"Fearow",12,380,"type_1,type_3","pokemon_21"
"pokemon_23",23,"Ekans",20,69,"type_4",
"pokemon_24",24,"Arbok",35,650,"type_4","pokemon_23"
"pokemon_25",25,"Pikachu",4,60,"type_13",
"pokemon_26",26,"Raichu",8,300,"type_13","pokemon_25"
"pokemon_27",27,"Sandshrew",6,120,"type_5",
"pokemon_28",28,"Sandslash",10,295,"type_5","pokemon_27"
"pokemon_29",29,"Nidoran-f",4,70,"type_4",
"pokemon_30",30,"Nidorina",8,200,"type_4","pokemon_29"
"pokemon_31",31,"Nidoqueen",13,600,"type_4,type_5","pokemon_30"
"pokemon_32",32,"Nidoran-m",5,90,"type_4",
"pokemon_33",33,"Nidorino",9,195,"type_4","pokemon_32"
"pokemon_34",34,"Nidoking",14,620,"type_4,type_5","pokemon_33"
"pokemon_35",35,"Clefairy",6,75,"type_18",
"pokemon_36",36,"Clefable",13,400,"type_18","pokemon_35"
"pokemon_37",37,"Vulpix",6,99,"type_10",
"pokemon_38",38,"Ninetales",11,199,"type_10","pokemon_37"
"pokemon_39",39,"Jigglypuff",5,55,"type_1,type_18",
"pokemon_40",40,"Wigglytuff",10,120,"type_1,type_18","pokemon_39"
"pokemon_41",41,"Zubat",8,75,"type_4,type_3",
"pokemon_42",42,"Golbat",16,550,"type_4,type_3","pokemon_41"
"pokemon_43",43,"Oddish",5,54,"type_12,type_4",
"pokemon_44",44,"Gloom",8,86,"type_12,type_4","pokemon_43"
"pokemon_45",45,"Vileplume",12,186,"type_12,type_4","pokemon_44"
"pokemon_46",46,"Paras",3,54,"type_7,type_12",
"pokemon_47",47,"Parasect",10,295,"type_7,type_12","pokemon_46"
"pokemon_48",48,"Venonat",10,300,"type_7,type_4",
"pokemon_49",49,"Venomoth",15,125,"type_7,type_4","pokemon_48"
"pokemon_50",50,"Diglett",2,8,"type_5",
"pokemon_51",51,"Dugtrio",7,333,"type_5","pokemon_50"
"pokemon_52",52,"Meowth",4,42,"type_1",
"pokemon_53",53,"Persian",10,320,"type_1","pokemon_52"
"pokemon_54",54,"Psyduck",8,196,"type_11",
"pokemon_55",55,"Golduck",17,766,"type_11","pokemon_54"
"pokemon_56",56,"Mankey",5,280,"type_2",
"pokemon_57",57,"Primeape",10,320,"type_2","pokemon_56"
"pokemon_58",58,"Growlithe",7,190,"type_10",
"pokemon_59",59,"Arcanine",19,1550,"type_10","pokemon_58"
"pokemon_60",60,"Poliwag",6,124,"type_11",
"pokemon_61",61,"Poliwhirl",10,200,"type_11","pokemon_60"
"pokemon_62",62,"Poliwrath",13,540,"type_11,type_2","pokemon_61"
"pokemon_63",63,"Abra",9,195,"type_14",
"pokemon_64",64,"Kadabra",13,565,"type_14","pokemon_63"
"pokemon_65",65,"Alakazam",15,480,"type_14","pokemon_64"
