"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","tax_scope","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@ar"
"sa_sales_tax_15","15%","sale","15.0","percent","","Sales Tax 15%","sa_tax_group_taxes_15","","base","invoice","+1. Standard Rates 15% (Base)","","","المبيعات الخاضعة للنسبة الأساسية %15"
"","","","","","","","","","tax","invoice","+1. Standard Rates 15% (Tax)","sa_account_201017","",""
"","","","","","","","","","base","refund","-1. Standard Rates 15% (Base)","","",""
"","","","","","","","","","tax","refund","-1. Standard Rates 15% (Tax)","sa_account_201017","",""
"sa_local_sales_tax_0","0%","sale","0.0","percent","","Local Sales 0%","sa_tax_group_taxes_other","","base","invoice","+3. Local Sales Subject to 0% (Base)","","","المبيعات المحلية الخاضعة للنسبة الصفرية %0"
"","","","","","","","","","tax","invoice","+3. Local Sales Subject to 0% (Tax)","","",""
"","","","","","","","","","base","refund","-3. Local Sales Subject to 0% (Base)","","",""
"","","","","","","","","","tax","refund","-3. Local Sales Subject to 0% (Tax)","","",""
"sa_export_sales_tax_0","0% EX","sale","0.0","percent","","Export Sales 0%","sa_tax_group_taxes_other","","base","invoice","+4. Export Sales (Base)","","","الصادرات %0"
"","","","","","","","","","tax","invoice","+4. Export Sales (Tax)","","",""
"","","","","","","","","","base","refund","-4. Export Sales (Base)","","",""
"","","","","","","","","","tax","refund","-4. Export Sales (Tax)","","",""
"sa_exempt_sales_tax_0","0% EXEMPT","sale","0.0","percent","","Exempt Sales Tax 0%","sa_tax_group_taxes_other","","base","invoice","+5. Exempt Sales (Base)","","","المبيعات المعفاة من الضريبة %0"
"","","","","","","","","","tax","invoice","+5. Exempt Sales (Tax)","","",""
"","","","","","","","","","base","refund","-5. Exempt Sales (Base)","","",""
"","","","","","","","","","tax","refund","-5. Exempt Sales (Tax)","","",""
"sa_purchase_tax_15","15%","purchase","15.0","percent","","Purchase Tax 15%","sa_tax_group_taxes_15","","base","invoice","+7. Standard rated 15% Purchases (Base)","","","المشتريات الخاضعة للنسبة الأساسية %15"
"","","","","","","","","","tax","invoice","+7. Standard rated 15% Purchases (Tax)","sa_account_104041","",""
"","","","","","","","","","base","refund","-7. Standard rated 15% Purchases (Base)","","",""
"","","","","","","","","","tax","refund","-7. Standard rated 15% Purchases (Tax)","sa_account_104041","",""
"sa_rcp_tax_15","15% R C","purchase","15.0","percent","","Reverse charge provision Tax 15%","sa_tax_group_taxes_15","service","base","invoice","+9. Imports subject to reverse charge mechanism (Base)","","","الاستيرادات الخاضعة لضريبة القيمة المضافة التي تُطبق عليها آلية الاحتساب العكسي %15"
"","","","","","","","","","tax","invoice","+9. Imports subject to reverse charge mechanism (Tax)","sa_account_104041","",""
"","","","","","","","","","base","refund","-9. Imports subject to reverse charge mechanism (Base)","","",""
"","","","","","","","","","tax","refund","-9. Imports subject to reverse charge mechanism (Tax)","sa_account_104041","",""
"sa_import_tax_paid_15_paid_to_customs","15% EX","purchase","15.0","percent","","Import tax 15% Paid to customs","sa_tax_group_taxes_other","","base","invoice","+8. Taxable Imports 15% Paid to Customs (Base)","","","الاستيرادات الخاضعة لضريبة القيمة المضافة بالنسبة الأساسية و التي تدفع في الجمارك %15"
"","","","","","","","","","tax","invoice","+8. Taxable Imports 15% Paid to Customs (Tax)","sa_account_101060","",""
