"id","name","consider_amount","is_per_transaction_limit","per_transaction_limit","is_aggregate_limit","aggregate_limit","aggregate_period","tax_source_type"
"tds_section_393_1_1_i_insu_comm","393(1)1(i) INSU COMM","untaxed_amount","","","True","20000","fiscal_yearly","tds"
"tds_section_393_1_1_ii_comm","393(1)1(ii) COMM","untaxed_amount","","","True","20000","fiscal_yearly","tds"
"tds_section_393_1_2_i_rent","393(1)2(i) RENT","untaxed_amount","","","True","50000","monthly","tds"
"tds_section_393_1_2_ii_a_rent_mach","393(1)2(ii)(a) RENT MACH","untaxed_amount","","","True","50000","monthly","tds"
"tds_section_393_1_2_ii_b_rent_land","393(1)2(ii)(b) RENT LAND","untaxed_amount","","","True","50000","monthly","tds"
"tds_section_393_1_3_i_imp","393(1)3(i) IMP","untaxed_amount","True","500000","True","500000","fiscal_yearly","tds"
"tds_section_393_1_3_iii_comp_acq","393(1)3(iii) COMP ACQ","untaxed_amount","True","500000","True","500000","fiscal_yearly","tds"
"tds_section_393_1_6_i_a_contr_ind_huf","393(1)6(i)(a) CONTR IND/HUF","untaxed_amount","True","30000","True","100000","fiscal_yearly","tds"
"tds_section_393_1_6_i_b_contr_non_ind_huf","393(1)6(i)(b) CONTR Non IND/HUF","untaxed_amount","True","30000","True","100000","fiscal_yearly","tds"
"tds_section_393_1_6_iii_a_tech","393(1)6(iii)(a) TECH","untaxed_amount","","","True","50000","fiscal_yearly","tds"
"tds_section_393_1_6_iii_b_prof","393(1)6(iii)(b) PROF","untaxed_amount","","","True","50000","fiscal_yearly","tds"
"tcs_section_394_1_1_liq","394(1)1 Liquor","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_394_1_2_tendu","394(1)2 Tendu leaves","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_394_1_3_timber","394(1)2 Timber or other forest produce","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_394_1_4_sc","394(1)4 Scrap","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_394_1_5_min","394(1)5 Minerals","total_amount","","","True","0","fiscal_yearly","tcs"
"tcs_section_394_1_6_a_mv","394(1)6(a) Motor Vehicle","total_amount","True","1000000","","","fiscal_yearly","tcs"
"tcs_section_394_1_6_b_ng","394(1)6(b) Notif Good","total_amount","True","1000000","","","fiscal_yearly","tcs"
