"id","parent_id","active","code","name","reconcile","non_trade","account_type","name@es","description","description@es_419","tax_ids","depreciation_model_id"
"ec1","","False","1","Active","","","asset_non_current","Activo","","","",""
"ec11","ec1","False","11","Current assets","","","asset_current","Activo corriente","","","",""
"ec1101","ec11","False","1101","Cash and cash equivalents","","","asset_current","Efectivo y equivalentes al efectivo","","","",""
"ec110102","ec1101","False","110102","Banks","","","asset_current","Bancos","","","",""
"ec110103","ec1101","False","110103","Transfers","","","asset_current","Transferencias","","","",""
"ec110104","ec1101","False","110104","Securities in custody","","","asset_current","Valores en custodia","","","",""
"ec1102","ec11","False","1102","Financial assets","","","asset_current","Activos financieros","","","",""
"ec110205","ec1102","False","110205","Unrelated notes and accounts receivable","","","asset_receivable","Documentos y cuentas por cobrar cliente no relacionados","","","",""
"ec11020501","ec110205","False","11020501","Non-interest bearing notes and accounts receivable from unrelated ordinary activities interest-bearing","","","asset_receivable","Documentos y cuentas por cobrar cliente no relacionados de actividades ordinarias que no generen intereses","","","",""
"ec11020502","ec110205","False","11020502","Customer checks","","","asset_receivable","Cheques de clientes","","","",""
"ec110206","ec1102","False","110206","Related notes and accounts receivable","","","asset_receivable","Documentos y cuentas por cobrar cliente relacionados","","","",""
"ec110207","ec1102","False","110207","Accounts receivable from employees","","","asset_current","Cuentas por cobrar empleados","","","",""
"ec1103","ec11","False","1103","Inventories","","","expense","Inventarios","","","",""
"ec1104","ec11","False","1104","Services and other prepayments","","","asset_prepayments","Servicios y otros pagos anticipados","","","",""
"ec110404","ec1104","False","110404","Other advances delivered","","","asset_prepayments","Otros anticipos entregados","","","",""
"ec1105","ec11","False","1105","Current tax assets","","","asset_current","Activos por impuestos corrientes","","","",""
"ec110501","ec1105","False","110501","Tax credit in favor of the company (vat)","","","asset_current","Credito tributario a favor de la empresa(IVA)","","","",""
"ec110502","ec1105","False","110502","Tax credit of the company","","","asset_receivable","Crédito Tributario de la Empresa","","","",""
"ec12","ec1","False","12","Non-current assets","","","asset_non_current","Activo no corriente","","","",""
"ec1201","ec12","False","1201","Property, plant and equipment","","","asset_fixed","Propiedades, planta y equipo","","","",""
"ec120112","ec1201","False","120112","Accumulated depreciation property, plant and equipment","","","asset_fixed","Depreciacion acumulada propiedades, planta y equipo","","","",""
"ec120113","ec1201","False","120113","Accumulated impairment of property, plant and equipment","","","asset_fixed","Deterioro acumulado de propiedades, planta y equipo","","","",""
"ec1202","ec12","False","1202","Investment properties","","","asset_fixed","Propiedades de inversion","","","",""
"ec1203","ec12","False","1203","Biological assets","","","asset_current","Activos biologicos","","","",""
"ec1204","ec12","False","1204","Intangible assets","","","asset_current","Activo intangible","","","",""
"ec1205","ec12","False","1205","Deferred tax assets","","","asset_non_current","Activos por impuestos diferidos","","","",""
"ec1206","ec12","False","1206","Non-current financial assets","","","asset_non_current","Activos financieros no corrientes","","","",""
"ec1207","ec12","False","1207","Other non-current assets","","","asset_non_current","Otros activos no corrientes","","","",""
"ec2","","False","2","Passive","","","liability_non_current","Pasivo","","","",""
"ec21","ec2","False","21","Current liabilities","","","liability_current","Pasivo corriente","","","",""
"ec2103","ec21","False","2103","Accounts and notes payable","","","liability_payable","Cuentas y documentos por pagar","","","",""
"ec2104","ec21","False","2104","Obligations with financial institutions","","","liability_payable","Obligaciones con instituciones financieras","","","",""
"ec2105","ec21","False","2105","Provisions","","","liability_current","Provisiones","","","",""
"ec210501","ec2105","False","210501","Local provisions","","","liability_current","Provisiones locales","","","",""
"ec21050101","ec210501","False","21050101","Provisions in favor of employees","","","liability_current","Provisiones a favor de los empleados","","","",""
"ec2107","ec21","False","2107","Other current liabilities","","","liability_current","Otras obligaciones corrientes","","","",""
"ec210701","ec2107","False","210701","Other current obligations with the tax authorities","","","liability_payable","Otras obligaciones corrientes con la administracion tributaria","","","",""
"ec210703","ec2107","False","210703","Other current obligations with the iess","","","liability_current","Otras obligaciones corrientes con el iess","","","",""
"ec210704","ec2107","False","210704","Other current employee benefit obligations","","","liability_payable","Otras obligaciones corrientes por beneficios de ley a empleados","","","",""
"ec2112","ec21","False","2112","Current portion of employee benefit provisions","","","liability_payable","Porcion corriente de provisiones por beneficios a empleados","","","",""
"ec2113","ec21","False","2113","Other current liabilities","","","liability_current","Otros pasivos corrientes","","","",""
"ec2114","ec21","False","2114","Tax obligations","","","liability_current","Obligaciones tributarias","","","",""
"ec211401","ec2114","False","211401","Taxes","","","liability_current","Impuestos","","","",""
"ec21140101","ec211401","False","21140101","VAT collected","","","liability_current","IVA cobrado","","","",""
"ec21140102","ec211401","False","21140102","Withholding taxes","","","liability_current","Retenciones de la fuente","","","",""
"ec21140103","ec211401","False","21140103","VAT withholdings","","","liability_current","Retenciones de IVA","","","",""
"ec22","ec2","False","22","Non-current liabilities","","","liability_non_current","Pasivo no corriente","","","",""
"ec2202","ec22","False","2202","Accounts and notes payable","","","liability_payable","Cuentas y documentos por pagar","","","",""
"ec2203","ec22","False","2203","Obligations with financial institutions","","","liability_payable","Obligaciones con instituciones financieras","","","",""
"ec2204","ec22","False","2204","Sundry/related accounts payable","","","liability_payable","Cuentas por pagar diversas/relacionadas","","","",""
"ec2207","ec22","False","2207","Provisions for employee benefits","","","liability_payable","Provisiones por beneficios a empleados","","","",""
"ec2209","ec22","False","2209","Deferred liabilities","","","liability_non_current","Pasivo diferido","","","",""
"ec3","","False","3","Net worth","","","equity_unaffected","Patrimonio neto","","","",""
"ec31","ec3","False","31","Capital","","","equity","Capital","","","",""
"ec34","ec3","False","34","Reservations","","","equity","Reservas","","","",""
"ec35","ec3","False","35","Other comprehensive income","","","equity","Otros resultados integrales","","","",""
"ec36","ec3","False","36","Accumulated results","","","equity","Resultados acumulados","","","",""
"ec37","ec3","False","37","Results for the year","","","equity_unaffected","Resultados del ejercicio","","","",""
"ec4","","False","4","Revenues","","","income","Ingresos","","","",""
"ec41","ec4","False","41","Income from ordinary activities","","","income","Ingresos de actividades ordinarias","","","",""
"ec4101","ec41","False","4101","Sale of goods","","","income","Venta de bienes","","","",""
"ec4102","ec41","False","4102","Provision of services","","","income","Prestacion de servicios","","","",""
"ec43","ec4","False","43","Other income","","","income","Otros ingresos","","","",""
"ec4305","ec43","False","4305","Other rentals","","","income","Otras rentas","","","",""
"ec5","","False","5","Expenses","","","expense","Egresos","","","",""
"ec51","ec5","False","51","Cost of sales and production","","","expense_direct_cost","Costo de ventas y produccion","","","",""
"ec5101","ec51","False","5101","Materials used or products sold","","","expense_direct_cost","Materiales utilizados o productos vendidos","","","",""
"ec5102","ec51","False","5102","Direct labor","","","expense_direct_cost","Mano de obra directa","","","",""
"ec510201","ec5102","False","510201","Wages, salaries and other remuneration","","","expense_direct_cost","Sueldos, salarios y demas remuneraciones","","","",""
"ec510202","ec5102","False","510202","Employee benefit plan expense","","","expense_direct_cost","Gasto planes de beneficios a empleados","","","",""
"ec510203","ec5102","False","510203","Social security contributions","","","expense_direct_cost","Aportes a la seguridad social","","","",""
"ec510204","ec5102","False","510204","Social benefits and indemnities","","","expense_direct_cost","Beneficios sociales e indemnizaciones","","","",""
"ec5103","ec51","False","5103","Indirect labor","","","expense_direct_cost","Mano de obra indirecta","","","",""
"ec510301","ec5103","False","510301","Wages, salaries and other remuneration","","","expense_direct_cost","Sueldos, salarios y demas remuneraciones","","","",""
"ec510302","ec5103","False","510302","Employee benefit plan expense","","","expense_direct_cost","Gasto planes de beneficios a empleados","","","",""
"ec510303","ec5103","False","510303","Social security contributions (including reserve fund)","","","expense_direct_cost","Aportes a la seguridad social (incluido fondo de reserva)","","","",""
"ec510304","ec5103","False","510304","Social benefits and indemnities","","","expense_direct_cost","Beneficios sociales e indemnizaciones","","","",""
"ec5104","ec51","False","5104","Other indirect manufacturing costs","","","expense_direct_cost","Otros costos indirectos de fabricacion","","","",""
"ec510401","ec5104","False","510401","Depreciation of property, plant and equipment","","","expense_depreciation","Depreciacion propiedades, planta y equipo","","","",""
"ec510403","ec5104","False","510403","Impairment of property, plant and equipment","","","expense_direct_cost","Deterioro de propiedad, planta y equipo","","","",""
"ec510408","ec5104","False","510408","Other production costs","","","expense_direct_cost","Otros costos de produccion","","","",""
"ec52","ec5","False","52","Expenses","","","expense","Gastos","","","",""
"ec5201","ec52","False","5201","Cost of sales","","","expense","Gastos de ventas","","","",""
"ec520101","ec5201","False","520101","Wages, salaries and other remuneration","","","expense","Sueldos, salarios y demas remuneraciones","","","",""
"ec520102","ec5201","False","520102","Social security contributions (including reserve fund)","","","expense","Aportes a la seguridad social (incluido fondo de reserva)","","","",""
"ec520103","ec5201","False","520103","Social benefits and indemnities","","","expense","Beneficios sociales e indemnizaciones","","","",""
"ec520104","ec5201","False","520104","Employee benefit plan expense","","","expense","Gasto planes de beneficios a empleados","","","",""
"ec520118","ec5201","False","520118","Water, power, electricity and telecommunications","","","expense","Agua, energia, luz, y telecomunicaciones","","","",""
"ec520121","ec5201","False","520121","Depreciation","","","expense_depreciation","Depreciaciones","","","",""
"ec52012101","ec520121","False","52012101","Property, plant and equipment","","","expense_depreciation","Propiedades, planta y equipo","","","",""
"ec520122","ec5201","False","520122","Amortizations","","","expense","Amortizaciones","","","",""
"ec520123","ec5201","False","520123","Impairment expense","","","expense","Gasto deterioro","","","",""
"ec52012301","ec520123","False","52012301","Property, plant and equipment","","","expense","Propiedades, planta y equipo","","","",""
"ec520127","ec5201","False","520127","Other expenses","","","expense","Otros gastos","","","",""
"ec5202","ec52","False","5202","Administrative expenses","","","expense","Gastos administrativos","","","",""
"ec520201","ec5202","False","520201","Wages, salaries and other remuneration","","","expense","Sueldos, salarios y demas remuneraciones","","","",""
"ec520202","ec5202","False","520202","Social security contributions","","","expense","Aportes a la seguridad social","","","",""
