"id","code_prefix_start","name","parent_id","name@es"
"ec1","1","Active","","Activo"
"ec11","11","Current assets","ec1","Activo corriente"
"ec1101","1101","Cash and cash equivalents","ec11","Efectivo y equivalentes al efectivo"
"ec110101","110101","Cash","ec1101","Efectivo"
"ec110102","110102","Banks","ec1101","Bancos"
"ec110103","110103","Transfers","ec1101","Transferencias"
"ec110104","110104","Securities in custody","ec1101","Valores en custodia"
"ec1102","1102","Financial assets","ec11","Activos financieros"
"ec110205","110205","Unrelated notes and accounts receivable","ec1102","Documentos y cuentas por cobrar cliente no relacionados"
"ec11020501","11020501","Non-interest bearing notes and accounts receivable from unrelated ordinary activities interest-bearing",ec110205,"Documentos y cuentas por cobrar cliente no relacionados de actividades ordinarias que no generen intereses"
"ec11020502",11020502,"Customer checks",ec110205,"Cheques de clientes"
"ec110206","110206","Related notes and accounts receivable","ec1102","Documentos y cuentas por cobrar cliente relacionados"
"ec110207","110207","Accounts receivable from employees","ec1102","Cuentas por cobrar empleados"
"ec1103","1103","Inventories","ec11","Inventarios"
"ec1104","1104","Services and other prepayments","ec11","Servicios y otros pagos anticipados"
"ec110404","110404","Other advances delivered","ec1104","Otros anticipos entregados"
"ec1105","1105","Current tax assets","ec11","Activos por impuestos corrientes"
"ec110501","110501","Tax credit in favor of the company (vat)","ec1105","Credito tributario a favor de la empresa(IVA)"
"ec110502","110502","Tax credit of the company","ec1105","Crédito Tributario de la Empresa"
"ec12","12","Non-current assets","ec1","Activo no corriente"
"ec1201","1201","Property, plant and equipment","ec12","Propiedades, planta y equipo"
"ec120112","120112","Accumulated depreciation property, plant and equipment","ec1201","Depreciacion acumulada propiedades, planta y equipo"
"ec120113","120113","Accumulated impairment of property, plant and equipment","ec1201","Deterioro acumulado de propiedades, planta y equipo"
"ec1202","1202","Investment properties","ec12","Propiedades de inversion"
"ec1203","1203","Biological assets","ec12","Activos biologicos"
"ec1204","1204","Intangible assets","ec12","Activo intangible"
"ec1205","1205","Deferred tax assets","ec12","Activos por impuestos diferidos"
"ec1206","1206","Non-current financial assets","ec12","Activos financieros no corrientes"
"ec1207","1207","Other non-current assets","ec12","Otros activos no corrientes"
"ec2","2","Passive","","Pasivo"
"ec21","21","Current liabilities","ec2","Pasivo corriente"
"ec2103","2103","Accounts and notes payable","ec21","Cuentas y documentos por pagar"
"ec2104","2104","Obligations with financial institutions","ec21","Obligaciones con instituciones financieras"
"ec2105","2105","Provisions","ec21","Provisiones"
"ec210501","210501","Local provisions","ec2105","Provisiones locales"
"ec21050101","21050101","Provisions in favor of employees","ec210501","Provisiones a favor de los empleados"
"ec2107","2107","Other current liabilities","ec21","Otras obligaciones corrientes"
"ec210701","210701","Other current obligations with the tax authorities","ec2107","Otras obligaciones corrientes con la administracion tributaria"
"ec210703","210703","Other current obligations with the iess","ec2107","Otras obligaciones corrientes con el iess"
"ec210704","210704","Other current employee benefit obligations","ec2107","Otras obligaciones corrientes por beneficios de ley a empleados"
"ec2112","2112","Current portion of employee benefit provisions","ec21","Porcion corriente de provisiones por beneficios a empleados"
"ec2113","2113","Other current liabilities","ec21","Otros pasivos corrientes"
"ec2114","2114","Tax obligations","ec21","Obligaciones tributarias"
"ec211401","211401","Taxes","ec2114","Impuestos"
"ec21140101","21140101","VAT collected","ec211401","IVA cobrado"
"ec21140102","21140102","Withholding taxes","ec211401","Retenciones de la fuente"
"ec21140103","21140103","VAT withholdings","ec211401","Retenciones de IVA"
"ec22","22","Non-current liabilities","ec2","Pasivo no corriente"
"ec2202","2202","Accounts and notes payable","ec22","Cuentas y documentos por pagar"
"ec2203","2203","Obligations with financial institutions","ec22","Obligaciones con instituciones financieras"
"ec2204","2204","Sundry/related accounts payable","ec22","Cuentas por pagar diversas/relacionadas"
"ec2207","2207","Provisions for employee benefits","ec22","Provisiones por beneficios a empleados"
"ec2209","2209","Deferred liabilities","ec22","Pasivo diferido"
"ec3","3","Net worth","","Patrimonio neto"
"ec31","31","Capital","ec3","Capital"
"ec34","34","Reservations","ec3","Reservas"
"ec35","35","Other comprehensive income","ec3","Otros resultados integrales"
"ec36","36","Accumulated results","ec3","Resultados acumulados"
"ec37","37","Results for the year","ec3","Resultados del ejercicio"
"ec4","4","Revenues","","Ingresos"
"ec41","41","Income from ordinary activities","ec4","Ingresos de actividades ordinarias"
"ec4101","4101","Sale of goods","ec41","Venta de bienes"
"ec4102","4102","Provision of services","ec41","Prestacion de servicios"
"ec43","43","Other income","ec4","Otros ingresos"
"ec4305","4305","Other rentals","ec43","Otras rentas"
"ec5","5","Expenses","","Egresos"
"ec51","51","Cost of sales and production","ec5","Costo de ventas y produccion"
"ec5101","5101","Materials used or products sold","ec51","Materiales utilizados o productos vendidos"
"ec5102","5102","Direct labor","ec51","Mano de obra directa"
"ec510201","510201","Wages, salaries and other remuneration","ec5102","Sueldos, salarios y demas remuneraciones"
"ec510202","510202","Employee benefit plan expense","ec5102","Gasto planes de beneficios a empleados"
"ec51020205","51020205","Other employee benefit plan expenses","ec510202","Otros gastos de planes de beneficios a empleados"
"ec510203","510203","Social security contributions","ec5102","Aportes a la seguridad social"
