"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@bg"
"fiscal_position_template_dom","10","Domestic","1","1","base.bg","","","","Домашен"
"fiscal_position_bg_private_eu","20","EU B2C","1","","","base.europe","","","Частен ЕС"
"fiscal_position_template_in_eu","30","EU B2B","1","1","","base.europe","l10n_bg_sale_vat_20","l10n_bg_sale_vat_0_icd","Вътре в ЕС"
"","","","","","","","l10n_bg_sale_vat_20_personal","l10n_bg_sale_vat_0_icd",""
"","","","","","","","l10n_bg_sale_vat_9","l10n_bg_sale_vat_0_icd",""
"","","","","","","","l10n_bg_sale_vat_9_personal","l10n_bg_sale_vat_0_icd",""
"","","","","","","","l10n_bg_sale_vat_0_exempt","l10n_bg_sale_vat_0_icd",""
"","","","","","","","l10n_bg_purchase_vat_20_otc","l10n_bg_purchase_vat_0_otc_ica",""
"","","","","","","","l10n_bg_purchase_vat_20_ftc","l10n_bg_purchase_vat_20_ftc_ica",""
"","","","","","","","l10n_bg_purchase_vat_20_ptc","l10n_bg_purchase_vat_20_ptc_ica",""
"fiscal_position_template_out_eu","40","Outside EU","1","","","","l10n_bg_sale_vat_20","l10n_bg_sale_vat_0_export","Извън ЕС"
"","","","","","","","l10n_bg_sale_vat_20_personal","l10n_bg_sale_vat_0_export",""
"","","","","","","","l10n_bg_sale_vat_9","l10n_bg_sale_vat_0_export",""
"","","","","","","","l10n_bg_sale_vat_0_exempt","l10n_bg_sale_vat_0_export",""
"","","","","","","","l10n_bg_purchase_vat_20_otc","l10n_bg_purchase_vat_0_otc_exempt",""
"","","","","","","","l10n_bg_purchase_vat_20_ftc","l10n_bg_purchase_vat_20_ftc_exempt",""
"","","","","","","","l10n_bg_purchase_vat_20_ptc","l10n_bg_purchase_vat_20_ptc_exempt",""
