"id","code_prefix_start","code_prefix_end","name","chart_template_id/id"
"l10n_hu_group_1","1","","Fixed assets","l10n_hu.hungarian_chart_template"
"l10n_hu_group_11","11","","Intangible assets","l10n_hu.hungarian_chart_template"
"l10n_hu_group_12","12","","Real estate and associated rights","l10n_hu.hungarian_chart_template"
"l10n_hu_group_13","13","","Technical equipment, machinery, vehicles","l10n_hu.hungarian_chart_template"
"l10n_hu_group_14","14","","Other equipment, equipment and vehicles","l10n_hu.hungarian_chart_template"
"l10n_hu_group_15","15","","Breeding animals","l10n_hu.hungarian_chart_template"
"l10n_hu_group_16","16","","Investments, renovations","l10n_hu.hungarian_chart_template"
"l10n_hu_group_17","17","","Ownership investments (shares)","l10n_hu.hungarian_chart_template"
"l10n_hu_group_18","18","","Debt securities","l10n_hu.hungarian_chart_template"
"l10n_hu_group_19","19","","Long-term loans","l10n_hu.hungarian_chart_template"
"l10n_hu_group_2","2","","Stocks","l10n_hu.hungarian_chart_template"
"l10n_hu_group_21-22","21","22","Materials","l10n_hu.hungarian_chart_template"
"l10n_hu_group_23","23","","Work in progress and semi-finished products","l10n_hu.hungarian_chart_template"
"l10n_hu_group_24","24","","Adult, fattening and other animals","l10n_hu.hungarian_chart_template"
"l10n_hu_group_25","25","","Finished products","l10n_hu.hungarian_chart_template"
"l10n_hu_group_26","26","","Commercial goods","l10n_hu.hungarian_chart_template"
"l10n_hu_group_27","27","","Intermediate services","l10n_hu.hungarian_chart_template"
"l10n_hu_group_28","28","","Deposit feeds","l10n_hu.hungarian_chart_template"
"l10n_hu_group_3","3","","Receivables, securities, cash and current accounts","l10n_hu.hungarian_chart_template"
"l10n_hu_group_31","31","","Receivables from supply of goods and services (customers)","l10n_hu.hungarian_chart_template"
"l10n_hu_group_32","32","","Claims against associated and significant ownership","l10n_hu.hungarian_chart_template"
"l10n_hu_group_33","33","","Claims against other participating undertakings","l10n_hu.hungarian_chart_template"
"l10n_hu_group_34","34","","Receivables","l10n_hu.hungarian_chart_template"
"l10n_hu_group_35","35","","Advances given","l10n_hu.hungarian_chart_template"
"l10n_hu_group_36","36","","Other claims","l10n_hu.hungarian_chart_template"
"l10n_hu_group_37","37","","Securities","l10n_hu.hungarian_chart_template"
