"id","parent_id","active","name","code","account_type","reconcile","non_trade","name@ar_001"
"jo_group_02","","False","Liquidity","1001","asset_current","","","السيولة"
"jo_group_04","","False","Receivables","1002","asset_current","","","الحسابات المدينة"
"jo_group_05","","False","Deposits","1003","asset_current","","","الإيداعات"
"jo_group_06","","False","Prepaid Expenses","1004","asset_current","","","النفقات مسبقة الدفع"
"jo_group_07","","False","Inventory","1005","asset_current","","","المخزون"
"jo_group_08","","False","Company Assets & Depreciation","1006","asset_fixed","","","أصول الشركة والإهلاك"
"jo_group_09","","False","Licensing and Copyrights","1007","asset_current","","","الترخيص وحقوق النشر"
"jo_group_10","","False","IFRS16 Assets & Depreciation","1008","asset_fixed","","","أصول IFRS16 والإهلاك"
"jo_group_11","","False","Payables","2001","liability_current","","","الحسابات الدائنة"
"jo_group_12","","False","Accrued Employee Expenses","2002","liability_current","","","نفقات الموظفين المستحقة"
"jo_group_13","","False","Accrued Expenses","2003","liability_payable","","","النفقات المستحقة"
"jo_group_14","","False","Deferrals","2004","liability_current","","","التأجيلات"
"jo_group_15","","False","Provisions","2005","liability_non_current","","","الأحكام"
"jo_group_16","","False"," VAT","2009","asset_receivable","","","ضريبة القيمة المضافة"
"jo_group_17","","False","Operating Income","4001","income","","","الإيرادات التشغيلية"
"jo_group_18","","False","Non-Operating Income","4002","income_other","","","الإيرادات غير التشغيلية"
"jo_group_19","","False","Other gains & losses - Other Income","4003","income_other","","","المكاسب والخسائر الأخرى - إيرادات أخرى"
"jo_group_20","","False","Cost of Sales","5001","expense_direct_cost","","","تكلفة المبيعات"
"jo_group_21","","False","Employees Expenses","5002","expense","","","مصروفات الموظفين"
"jo_group_22","","False","Payroll Expenses","5003","expense","","","مصروفات الرواتب"
"jo_group_23","","False","Office and Location Expenses","5004","expense","","","نفقات المكتب والموقع"
"jo_group_24","","False","Company Expenses","5005","expense","","","مصروفات الشركة"
"jo_group_25","","False","Finance Expenses","500600-500649","expense","","","المصروفات المالية"
"jo_group_26","","False","Income Tax","500650-500699","expense","","","ضريبة الدخل"
"jo_group_27","","False","Misc. Company Expenses","5007","expense","","","متفرقات. مصروفات الشركة"
"jo_group_28","","False","Assets Depreciation Expenses","500800-500849","expense_depreciation","","","مصروفات استهلاك الأصول"
"jo_group_29","","False","IFRS16 Depreciation","500851-500899","expense_depreciation","","","IFRS16 الإهلاك"
"jo_group_30","","False","Other gains & losses - Expenses","5009","expense","","","الأرباح والخسائر الأخرى - المصروفات"
"jo_group_31","","False","Misc. Office Expenses","5011","expense","","","متفرقات. نفقات مكتبية"
"jo_account_100102","jo_group_02","True","Bank Suspense Account","100102","asset_current","False","","حساب التعليق البنكي"
"jo_account_100103","jo_group_02","True","Outstanding Receipts","100103","asset_current","False","","الإيصالات المستحقة"
"jo_account_100104","jo_group_02","True","Outstanding Payments","100104","asset_current","False","","المدفوعات المستحقة"
"jo_account_100106","jo_group_02","True","Credit cards","100106","asset_current","False","","البطاقات الائتمانية"
"jo_account_100107","jo_group_02","True","Post Dated Cheques Received","100107","asset_current","False","","الشيكات مؤجلة الصرف المستلمة"
"jo_account_100201","jo_group_04","True","Accounts Receivable","100201","asset_receivable","True","","الحسابات المدينة"
"jo_account_100202","jo_group_04","True","Accounts Receivable (PoS)","100202","asset_receivable","True","","الحسابات المدينة (نقطة البيع)"
"jo_account_100203","jo_group_04","True","Other Receivable","100203","asset_current","False","","المستحقات الأخرى"
"jo_account_100301","jo_group_05","True","Deposit - Office Rent","100301","asset_current","False","","إيداع - إيجار المكتب"
"jo_account_100302","jo_group_05","True","Deposits - Customs","100302","asset_current","False","","الإيداعات - الجمارك"
"jo_account_100303","jo_group_05","True","Deposit to Immigration (Visa)","100303","asset_current","False","","إيداع للهجرة (فيزا)"
"jo_account_100304","jo_group_05","True","Deposit Others","100304","asset_current","False","","إيداع آخر"
"jo_account_100401","jo_group_06","True","Prepaid Medical Insurance","100401","asset_current","False","","التأمين الصحي مسبق الدفع"
"jo_account_100402","jo_group_06","True","Prepaid Life Insurance","100402","asset_current","False","","التأمين على الحياة مسبق الدفع"
"jo_account_100403","jo_group_06","True","Prepaid Office Rent","100403","asset_current","False","","إيجار المكتب مسبق الدفع"
"jo_account_100404","jo_group_06","True","Prepaid Other Insurance","100404","asset_current","False","","التأمينات الأخرى مسبقة الدفع"
"jo_account_100405","jo_group_06","True","Prepaid License Fees","100405","asset_current","False","","رسوم الرخصة مسبقة الدفع"
"jo_account_100406","jo_group_06","True","Prepaid Maintenance","100406","asset_current","False","","الصيانة مسبقة الدفع"
"jo_account_100407","jo_group_06","True","Prepaid Employees Housing","100407","asset_current","False","","سكن الموظفين مسبق الدفع"
"jo_account_100408","jo_group_06","True","Prepaid Schooling Fees","100408","asset_current","False","","الرسوم الدراسية مسبقة الدفع"
"jo_account_100409","jo_group_06","True","Prepaid Consultancy Fees","100409","asset_current","False","","الرسوم الاستشارية مسبقة الدفع"
"jo_account_100410","jo_group_06","True","Prepaid Legal Fees","100410","asset_current","False","","الرسوم القانونية مسبقة الدفع"
"jo_account_100411","jo_group_06","True","Prepaid Sponsorship Fees","100411","asset_current","False","","رسوم الكفالة مسبقة الدفع"
"jo_account_100412","jo_group_06","True","Prepaid Advertisement Expenses","100412","asset_current","False","","نفقات الإعلان مسبقة الدفع"
"jo_account_100413","jo_group_06","True","Prepaid Bank Guarantee","100413","asset_current","False","","ضمان البنك مسبق الدفع"
"jo_account_100414","jo_group_06","True","Prepaid Finance charge for Loans","100414","asset_current","False","","رسوم التمويل مسبقة الدفع للقروض"
"jo_account_100415","jo_group_06","True","Other Prepayments","100415","asset_current","False","","المدفوعات المسبقة الأخرى"
"jo_account_100416","jo_group_06","True","Prepaid Expenses","100416","asset_current","False","","المصروفات المدفوعة مقدما"
"jo_account_100501","jo_group_07","True","Handling Difference in Inventory","100501","asset_current","False","","التعامل مع الفرق في المخزون"
"jo_account_100502","jo_group_07","True","Inventory Valuation","100502","asset_current","False","","تقييم المخزون"
"jo_account_100503","jo_group_07","True","Stock Incoming","100503","asset_current","False","","الأسهم الواردة"
"jo_account_100504","jo_group_07","True","Stock Outgoing","100504","asset_current","False","","الأسهم الصادرة"
"jo_account_100505","jo_group_07","True","Work in Progress (Inventory)","100505","asset_current","False","","العمل قيد التنفيذ (المخزون)"
"jo_account_100601","jo_group_08","True","Accumulated Depreciation of Motor Vehicles","100601","asset_fixed","False","","حساب الإهلاك للمركبات"
"jo_account_100602","jo_group_08","True","Amortisation on Leasehold Improvement","100602","asset_fixed","False","","الاستهلاك عند تحسين العقارات المستأجرة"
"jo_account_100603","jo_group_08","True","Leasehold Improvement","100603","asset_fixed","False","","تحسين العقارات المستأجرة"
"jo_account_100604","jo_group_08","True","Furniture and Equipment","100604","asset_fixed","False","","الأثاث والمعدات"
"jo_account_100605","jo_group_08","True","Computer Hardware & Software","100605","asset_fixed","False","","أجهزة وبرامج الحاسوب"
"jo_account_100606","jo_group_08","True","Accumulated Depreciation of Furniture & Office Equipment","100606","asset_fixed","False","","حساب الإهلاك للأثاث والأدوات المكتبية"
"jo_account_100607","jo_group_08","True","Accumulated Depreciation of Computer Hardware & Software","100607","asset_fixed","False","","حساب الإهلاك لبرامج وأجهزة الحاسوب"
"jo_account_100701","jo_group_09","True","Registration of Trademarks","100701","asset_current","False","","تسجيل العلامات التجارية"
"jo_account_100801","jo_group_10","True","Right of use Asset (IFRS 16)","100801","asset_fixed","False","","حق استخدام الأصل (IFRS 16)"
"jo_account_100802","jo_group_10","True","Accumulated Depreciation Right of use Asset (IFRS 16)","100802","asset_fixed","False","","حق استخدام الأصل للإهلاك المتراكم (IFRS 16)"
"jo_account_200101","jo_group_11","True","Payables","200101","liability_payable","True","","المبالغ مستحقة الدفع"
"jo_account_200102","jo_group_11","True","Trade Payables","200102","liability_payable","True","","الذمم التجارية الدائنة"
"jo_account_200103","jo_group_11","True","Employees Payables","200103","liability_payable","True","","المبالغ المستحقة للموظفين"
"jo_account_200104","jo_group_11","True","Credit Notes to Customers","200104","liability_current","False","","الإشعارات الدائنة للعملاء"
"jo_account_200201","jo_group_12","True","Accrued - Salaries","200201","liability_current","False","","مستحق - المرتبات"
"jo_account_200202","jo_group_12","True","Accrued - Commissions","200202","liability_current","False","","مستحق - العمولات"
"jo_account_200203","jo_group_12","True","Accrued - Staff Bonus","200203","liability_current","False","","مكافآت الموظفين المستحقة"
"jo_account_200204","jo_group_12","True","Accrued Other Personnel Cost","200204","liability_current","False","","تكاليف الموظفين الآخرين المستحقة"
"jo_account_200205","jo_group_12","True","Accrued - Sponsorship","200205","liability_current","False","","مستحق - الكفالة"
"jo_account_200301","jo_group_13","True","Accrued - Utilities","200301","liability_current","False","","مستحق - المرافق"
"jo_account_200302","jo_group_13","True","Accrued - Telephone","200302","liability_current","False","","مستحق - الهاتف"
"jo_account_200303","jo_group_13","True","Accrued - Audit Fees","200303","liability_current","False","","مستحق - رسوم التدقيق"
"jo_account_200304","jo_group_13","True","Accrued - Office Rent","200304","liability_current","False","","مستحق - إيجار المكتب"
"jo_account_200305","jo_group_13","True","Accrued Others","200305","liability_current","False","","المستحقات الأخرى"
"jo_account_200306","jo_group_13","True","Accrued Jordan Customs","200306","liability_current","False","","جمارك الأردن المستحقة"
"jo_account_200307","jo_group_13","True","Employee Income Tax","200307","liability_payable","True","","ضريبة الدخل للموظفين"
"jo_account_200308","jo_group_13","True","Social Security Payable","200308","liability_payable","True","","القيمة المستحقة للتأمينات الإجتماعية"
"jo_account_200401","jo_group_14","True","Deferred income","200401","liability_current","False","","الدخل المؤجل"
"jo_account_200501","jo_group_15","True","Leave Tickets Provision","200501","liability_non_current","False","","حكم تذاكر الطيران"
"jo_account_200502","jo_group_15","True","Leave Days Provision","200502","liability_non_current","False","","حكم أيام الإجازة"
"jo_account_200503","jo_group_15","True","End of Service Provision","200503","liability_non_current","False","","حكم نهاية الخدمة"
"jo_account_200504","jo_group_15","True","Income Tax Provision","200504","liability_non_current","False","","حكم ضريبة الدخل"
