"id","code_prefix_start","name","name@pt"
"chart_group_1","1","Liquid financial means","Meios financeiros líquidos"
"chart_group_14","14","Other Financial Instruments","Outros instrumentos financeiros"
"chart_group_141","141","Byproducts","Subprodutos"
"chart_group_142","142","Financial instruments held for negotiation","Instrumentos financeiros detidos para negociação"
"chart_group_143","143","Other assets and financial liabilities","Outros ativos e passivos financeiros"
"chart_group_2","2","Accounts receivable and payable","Contas a receber e a pagar"
"chart_group_21","21","Customers","Clientes"
"chart_group_211","211","Customers c/c","Clientes c/c"
"chart_group_212","212","Customers - Titles Receivable","Clientes - títulos a receber"
"chart_group_219","219","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_2191","2191","Customers c/c","Clientes c/c"
"chart_group_2192","2192","Customers - Titles Receivable","Clientes - títulos a receber"
"chart_group_22","22","Suppliers","Fornecedores"
"chart_group_221","221","Suppliers c/c","Fornecedores c/c"
"chart_group_222","222","Suppliers - Titles payable","Fornecedores - títulos a pagar"
"chart_group_23","23","Staff","Ao pessoal"
"chart_group_231","231","Remunerations to be paid","Remunerações a pagar"
"chart_group_232","232","Advance","Adiantamentos"
"chart_group_2331","2331","With the corporate bodies","Com os órgãos sociais"
"chart_group_2332","2332","With the staff","Com o pessoal"
"chart_group_2341","2341","With the corporate bodies","Com os órgãos sociais"
"chart_group_2342","2342","With the staff","Com o pessoal"
"chart_group_2351","2351","With the corporate bodies","Com os órgãos sociais"
"chart_group_2352","2352","With the staff","Com o pessoal"
"chart_group_2361","2361","With the corporate bodies","Com os órgãos sociais"
"chart_group_2362","2362","With the staff","Com o pessoal"
"chart_group_237","237","Guarantees","Cauções"
"chart_group_2371","2371","Of corporate bodies","Dos órgãos sociais"
"chart_group_2372","2372","Of staff","Do pessoal"
"chart_group_238","238","Other operations","Outras operações"
"chart_group_2381","2381","With the corporate bodies","Com os órgãos sociais"
"chart_group_2382","2382","With the staff","Com o pessoal"
"chart_group_239","239","Accumulated impairment losses","Perdas por imparidade acumuladas"
"chart_group_2391","2391","Advance","Adiantamentos"
"chart_group_2392","2392","Other operations","Outras operações"
"chart_group_23921","23921","To corporate bodies","Aos órgãos sociais"
"chart_group_23922","23922","To staff","Ao pessoal"
"chart_group_24","24","State and other public entities","Estado e outros entes públicos"
"chart_group_243","243","Value added tax (VAT)","Imposto sobre o valor acrescentado (IVA)"
"chart_group_25","25","Financing obtained","Financiamentos obtidos"
"chart_group_251","251","Credit institutions and financial companies","Instituições de crédito e sociedades financeiras"
"chart_group_2511","2511","Bank loans","Empréstimos bancários"
"chart_group_252","252","Securities market","Mercado de valores mobiliários"
"chart_group_2521","2521","Loans by obligations","Empréstimos por obrigações"
"chart_group_253","253","Capital participants","Participantes de capital"
"chart_group_2531","2531","Mother company - Supplies and other mutual","Empresa-mãe - Suprimentos e outros mútuos"
"chart_group_2532","2532","Other participants - Supplies and other mutual","Outros participantes - Suprimentos e outros mútuos"
"chart_group_254","254","Subsidiaries, associates and joint enterprises","Subsidiárias, associadas e empreendimentos conjuntos"
"chart_group_258","258","Other funders","Outros financiadores"
"chart_group_26","26","Shareholders/partners","Acionistas/sócios"
"chart_group_266","266","Loans granted - Mother company","Empréstimos concedidos - empresa-mãe"
