"id","name","code_prefix_start","code_prefix_end","name@uz","name@ru"
"group_0100_0199","Fixed Assets","0100","0199","Asosiy vositalar","Основные средства"
"group_0200_0299","Depreciation of Fixed Assets","0200","0299","Asosiy vositalarning eskirishi","Амортизация основных средств"
"group_0300_0399","Right-of-Use Assets (Finance Leases)","0300","0399","Moliyaviy ijaraga olingan asosiy vositalar","Активы в форме права пользования (финансовая аренда)"
"group_0400_0499","Intangible Assets","0400","0499","Nomoddiy aktivlar","Нематериальные активы"
"group_0500_0599","Amortization of Intangible Assets","0500","0599","Nomoddiy aktivlar amortizatsiyasi","Амортизация нематериальных активов"
"group_0600_0699","Non-Current (Long-Term) Investments","0600","0699","Uzoq muddatli investitsiyalar","Долгосрочные инвестиции"
"group_0700_0799","Equipment Awaiting Installation","0700","0799","Oʻrnatiladigan asbob-uskunalar","Оборудование, ожидающее установки"
"group_0800_0899","Capital Expenditure (Construction in Progress)","0800","0899","Kapital qoʻyilmalar","Капитальные затраты (незавершенное строительство)"
"group_0900_0999","Non-Current Receivables & Deferred Expenses","0900","0999","Uzoq muddatli debitorlik qarzlari va kechiktirilgan xarajatlar","Долгосрочная дебиторская задолженность и отложенные расходы"
"group_1000_1099","Raw Materials & Supplies","1000","1099","Materiallar","Сырье и материалы"
"group_1100_1499","Biological Assets — Animals in Growth & Fattening","1100","1499","Oʻstirishdagi va boquvdagi hayvonlar","Биологические активы — животные на выращивании и откорме"
"group_1500_1599","Materials Procurement & Purchase","1500","1599","Materiallarni tayyorlash va xarid qilish","Закупка и приобретение материалов"
"group_1600_1999","Materials Cost Variance","1600","1999","Materiallar qiymatidagi farqlar","Отклонение стоимости материалов"
"group_2000_2099","Work in Progress — Main Production","2000","2099","Asosiy ishlab chiqarish","Незавершенное производство — основное производство"
"group_2100_2299","Self-Produced Semi-Finished Goods","2100","2299","Oʻzida ishlab chiqarilgan yarim tayyor mahsulotlar","Полуфабрикаты собственного производства"
"group_2300_2499","Work in Progress — Auxiliary Production","2300","2499","Yordamchi ishlab chiqarish","Незавершенное производство — вспомогательное производство"
"group_2500_2599","Manufacturing Overhead","2500","2599","Umumiy ishlab chiqarish xarajatlari","Общепроизводственные расходы"
"group_2600_2699","Defective Production (Scrap & Waste)","2600","2699","Ishlab chiqarishdagi yaroqsiz mahsulotlar","Брак в производстве (брак и отходы)"
"group_2700_2799","Service & Ancillary Operations","2700","2799","Xizmat koʻrsatuvchi xoʻjaliklar","Обслуживающие и вспомогательные хозяйства"
"group_2800_2899","Finished Goods","2800","2899","Tayyor mahsulotlar","Готовая продукция"
"group_2900_3099","Goods for Resale","2900","3099","Tovarlar","Товары для перепродажи"
"group_3100_3199","Prepaid Expenses — Current Portion","3100","3199","Kelgusi davr xarajatlari — joriy qismi","Расходы будущих периодов — текущая часть"
"group_3200_3999","Deferred Expenses — Current Portion","3200","3999","Kechiktirilgan xarajatlar — joriy qismi","Отложенные расходы — текущая часть"
"group_4000_4099","Current Trade Receivables","4000","4099","Olinadigan joriy toʻlovlar","Текущая торговая дебиторская задолженность"
"group_4100_4199","Receivables from Branches, Subsidiaries & Associates (Current)","4100","4199","Ajratilgan boʻlinmalar, shuʼba va qaram xoʻjalik jamiyatlaridan olinadigan joriy toʻlovlar","Дебиторская задолженность филиалов, дочерних и ассоциированных компаний (текущая)"
"group_4200_4299","Advances to Employees","4200","4299","Xodimlarga berilgan boʻnaklar","Авансы сотрудникам"
"group_4300_4399","Advances to Suppliers & Contractors","4300","4399","Mol yetkazib beruvchilar va pudratchilarga berilgan boʻnaklar","Авансы поставщикам и подрядчикам"
"group_4400_4499","Prepaid Taxes & Duties (Tax Prepayments)","4400","4499","Budjetga boʻnak toʻlovlari","Авансовые платежи по налогам и сборам"
"group_4500_4599","Prepaid Social Contributions & Insurance","4500","4599","Davlat maqsadli jamgʻarmalariga va sugʻurtalar boʻyicha boʻnak toʻlovlari","Авансовые платежи по социальным взносам и страхованию"
"group_4600_4699","Receivables from Founders — Subscribed Capital","4600","4699","Ustav kapitaliga taʼsischilarning ulushlari boʻyicha debitorlik qarzi","Дебиторская задолженность учредителей по уставному капиталу"
"group_4700_4799","Other Employee Receivables","4700","4799","Xodimlarning boshqa operatsiyalar boʻyicha qarzi","Прочая дебиторская задолженность сотрудников"
"group_4800_4899","Other Current Receivables","4800","4899","Boshqa joriy debitorlik qarzlar","Прочая текущая дебиторская задолженность"
"group_4900_4999","Allowance for Doubtful Accounts","4900","4999","Shubhali qarzlar boʻyicha rezerv","Резерв по сомнительным долгам"
"group_5000_5099","Cash on Hand","5000","5099","Kassadagi pul mablagʻlari","Денежные средства в кассе"
"group_5100_5199","Cash at Bank — Current Account","5100","5199","Hisob-kitob hisobvaragʻidagi pul mablagʻlari","Денежные средства на расчетном счете"
"group_5200_5499","Foreign Currency Bank Accounts","5200","5499","Chet el valyutasidagi pul mablagʻlari","Валютные банковские счета"
