"id","code","name","account_type","tag_ids","name@uz","name@ru"
"uz0110","0110","Land","asset_fixed","l10n_uz.account_tag_bs_0110","Yer","Земля"
"uz0111","0111","Land Improvements","asset_fixed","l10n_uz.account_tag_bs_0110","Yerni obodonlashtirish","Улучшение земельных участков"
"uz0112","0112","Improvements to Finance-Leased Fixed Assets","asset_fixed","l10n_uz.account_tag_bs_0110","Moliyaviy ijaraga olingan asosiy vositalarni obodonlashtirish","Улучшение основных средств, находящихся в финансовой аренде."
"uz0120","0120","Buildings, Structures & Transmission Devices","asset_fixed","l10n_uz.account_tag_bs_0110","Binolar, inshootlar va uzatuvchi moslamalar","Здания, сооружения и передающие средства"
"uz0130","0130","Machinery & Equipment","asset_fixed","l10n_uz.account_tag_bs_0110","Mashina va asbob-uskunalar","Машины и оборудование"
"uz0140","0140","Furniture & Office Equipment","asset_fixed","l10n_uz.account_tag_bs_0110","Mebel va ofis jihozlari","Мебель и офисное оборудование"
"uz0150","0150","Computer Equipment & IT Hardware","asset_fixed","l10n_uz.account_tag_bs_0110","Kompyuter jihozlari va hisoblash texnikasi","Компьютерное оборудование и вычислительные технологии"
"uz0160","0160","Vehicles","asset_fixed","l10n_uz.account_tag_bs_0110","Transport vositalari","Транспортные средства"
"uz0170","0170","Working & Productive Livestock","asset_fixed","l10n_uz.account_tag_bs_0150","Ishchi va mahsuldor hayvonlar","Рабочий и продуктивный скот"
"uz0180","0180","Bearer Plants","asset_fixed","l10n_uz.account_tag_bs_0150","Koʻp yillik oʻsimliklar","Плодоносящие растения"
"uz0190","0190","Other Fixed Assets","asset_fixed","l10n_uz.account_tag_bs_0110","Boshqa asosiy vositalar","Прочие основные средства"
"uz0199","0199","Idle Fixed Assets","asset_fixed","l10n_uz.account_tag_bs_0110","Konservatsiya qilingan asosiy vositalar","Простаивающие основные средства"
"uz0211","0211","Depreciation — Land Improvements","asset_fixed","l10n_uz.account_tag_bs_0110","Yerni obodonlashtirishning eskirishi","Амортизация — Улучшения земельных участков"
"uz0212","0212","Depreciation — Improvements to Finance-Leased Fixed Assets","asset_fixed","l10n_uz.account_tag_bs_0120","Moliyaviy ijaraga olingan asosiy vositalarni obodonlashtirishning eskirishi","Амортизация — Улучшения основных средств, находящихся в финансовой аренде."
"uz0220","0220","Depreciation — Buildings, Structures & Transmission Devices","asset_fixed","l10n_uz.account_tag_bs_0110","Bino, inshoot va uzatuvchi moslamalarning eskirishi","Амортизация — Здания, сооружения и передающие средства"
"uz0230","0230","Depreciation — Machinery & Equipment","asset_fixed","l10n_uz.account_tag_bs_0110","Mashina va asbob-uskunalarning eskirishi","Амортизация — Машины и оборудование"
"uz0240","0240","Depreciation — Furniture & Office Equipment","asset_fixed","l10n_uz.account_tag_bs_0110","Mebel va ofis jihozlarining eskirishi","Амортизация — Мебель и офисное оборудование"
"uz0250","0250","Depreciation — Computer Equipment & IT Hardware","asset_fixed","l10n_uz.account_tag_bs_0110","Kompyuter jihozlari va hisoblash texnikasining eskirishi","Амортизация — Компьютерное оборудование и вычислительные технологии"
"uz0260","0260","Depreciation — Vehicles","asset_fixed","l10n_uz.account_tag_bs_0110","Transport vositalarining eskirishi","Амортизация — Транспортные средства"
"uz0270","0270","Depreciation — Working Livestock","asset_fixed","l10n_uz.account_tag_bs_0150","Ishchi hayvonlarning eskirishi","Амортизация — Рабочий и продуктивный скот"
"uz0280","0280","Depreciation — Bearer Plants","asset_fixed","l10n_uz.account_tag_bs_0150","Koʻp yillik oʻsimliklarning eskirishi","Амортизация — Плодоносящие растения"
"uz0290","0290","Depreciation — Other Fixed Assets","asset_fixed","l10n_uz.account_tag_bs_0110","Boshqa asosiy vositalarning eskirishi","Амортизация — Прочие основные средства"
"uz0299","0299","Depreciation — Finance-Leased Fixed Assets","asset_fixed","l10n_uz.account_tag_bs_0120","Moliyaviy ijaraga olingan asosiy vositalarning eskirishi","Амортизация — Основные средства, находящихся в финансовой аренде"
"uz0310","0310","Right-of-Use Assets — Finance Leases","asset_fixed","l10n_uz.account_tag_bs_0120","Moliyaviy ijaraga olingan asosiy vositalar","Активы в формате права пользования — финансовая аренда"
"uz0410","0410","Patents, Licenses & Know-How","asset_fixed","l10n_uz.account_tag_bs_0140","Patentlar, litsenziyalar va nou-xau","Патенты, лицензии и ноу-хау"
"uz0420","0420","Trademarks, Trade Names & Industrial Designs","asset_fixed","l10n_uz.account_tag_bs_0140","Savdo markalari, tovar belgilari va sanoat namunalari","Торговые марки, фирменные наименования и промышленные образцы"
"uz0430","0430","Software","asset_fixed","l10n_uz.account_tag_bs_0140","Dasturiy taʼminot","Программное обеспечение"
"uz0440","0440","Land & Natural Resource Rights","asset_fixed","l10n_uz.account_tag_bs_0140","Yer va tabiat resurslaridan foydalanish huquqlari","Права на землю и природные ресурсы"
"uz0460","0460","Franchise Rights","asset_fixed","l10n_uz.account_tag_bs_0140","Franshizing","Права франшизы"
"uz0470","0470","Copyrights","asset_fixed","l10n_uz.account_tag_bs_0140","Mualliflik huquqlari","Авторские права"
"uz0480","0480","Goodwill","asset_fixed","l10n_uz.account_tag_bs_0140","Gudvill","Гудвилл"
