"id","parent_id","active","name","code","account_type","reconcile","non_trade","tag_ids","depreciation_model_id"
"l10n_bd_group_1","","False","Assets","1","asset_current","","","",""
"l10n_bd_group_11","l10n_bd_group_1","False","Current Assets","11","asset_current","","","",""
"l10n_bd_group_111","l10n_bd_group_11","False","Cash & Cash Equivalents","111","asset_current","","","",""
"l10n_bd_group_112","l10n_bd_group_11","False","Trade and Other Receivables","112","asset_current","","","",""
"l10n_bd_group_113","l10n_bd_group_11","False","Deposits","113","asset_current","","","",""
"l10n_bd_group_114","l10n_bd_group_11","False","Prepaid Expenses","114","asset_current","","","",""
"l10n_bd_group_115","l10n_bd_group_11","False","Inventory","115","asset_current","","","",""
"l10n_bd_group_12","l10n_bd_group_1","False","Non-Current Assets","12","asset_non_current","","","",""
"l10n_bd_group_121","l10n_bd_group_12","False","Property, Plant & Equipment (PPE)","121","asset_fixed","","","",""
"l10n_bd_group_122","l10n_bd_group_12","False","IFRS16 Assets","122","asset_fixed","","","",""
"l10n_bd_group_123","l10n_bd_group_12","False","Intangible Assets","123","asset_fixed","","","",""
"l10n_bd_group_2","","False","Liabilities","2","liability_current","","","",""
"l10n_bd_group_21","l10n_bd_group_2","False","Current Liabilities","21","liability_current","","","",""
"l10n_bd_group_211","l10n_bd_group_21","False","Trade and Other Payables","211","liability_current","","","",""
"l10n_bd_group_212","l10n_bd_group_21","False","Accrued Employee Expenses","212","liability_current","","","",""
"l10n_bd_group_213","l10n_bd_group_21","False","Accrued Expenses","213","liability_current","","","",""
"l10n_bd_group_214","l10n_bd_group_21","False","Deferrals","214","liability_current","","","",""
"l10n_bd_group_22","l10n_bd_group_2","False","Non-Current Liabilities","22","liability_non_current","","","",""
"l10n_bd_group_225","l10n_bd_group_22","False","Provisions","225","liability_non_current","","","",""
"l10n_bd_group_3","","False","Equity(& Earnings)","3","equity","","","",""
"l10n_bd_group_4","","False","Operating Income","4","income","","","",""
"l10n_bd_group_5","","False","Cost of Sales","5","expense_direct_cost","","","",""
"l10n_bd_group_6","","False","Operating Expenses","6","expense","","","",""
"l10n_bd_group_61","l10n_bd_group_6","False","Administrative and general expenses","61","expense","","","",""
"l10n_bd_group_62","l10n_bd_group_6","False","Selling and Distribution Expenses","62","expense","","","",""
"l10n_bd_group_63","l10n_bd_group_6","False","Finance Expenses","63","expense","","","",""
"l10n_bd_group_64","l10n_bd_group_6","False","Income Tax","64","expense","","","",""
"l10n_bd_group_7","","False","Other Income","7","income_other","","","",""
"l10n_bd_group_8","","False","Other Expenses","8","expense_other","","","",""
"l10n_bd_group_81","l10n_bd_group_8","False","Depreciation & Amortization","81","expense_depreciation","","","",""
"l10n_bd_group_82","l10n_bd_group_8","False","Other Non Operating","82","expense_other","","","",""
"l10n_bd_111400","l10n_bd_group_111","True","Bank Suspense Account","111400","asset_current","True","","",""
"l10n_bd_111500","l10n_bd_group_111","True","Liquidity Transfer","111500","asset_current","True","","",""
"l10n_bd_111600","l10n_bd_group_111","True","Post Dated Cheques Received","111600","asset_current","True","","",""
"l10n_bd_112100","l10n_bd_group_112","True","Account Receivable","112100","asset_receivable","True","","",""
"l10n_bd_112200","l10n_bd_group_112","True","Accounts Receivable (PoS)","112200","asset_receivable","True","","",""
"l10n_bd_112300","l10n_bd_group_112","True","Other Receivable","112300","asset_current","False","","",""
"l10n_bd_112400","l10n_bd_group_112","True","VAT Input","112400","asset_current","False","","",""
"l10n_bd_112420","l10n_bd_group_112","True","TDS Advance","112420","asset_current","False","","",""
"l10n_bd_112430","l10n_bd_group_112","True","VDS Advance","112430","asset_current","False","","",""
"l10n_bd_112500","l10n_bd_group_112","True","VAT Receivable","112500","asset_receivable","True","True","",""
"l10n_bd_112520","l10n_bd_group_112","True","TDS Receivable","112520","asset_receivable","True","True","",""
"l10n_bd_112530","l10n_bd_group_112","True","VDS Receivable","112530","asset_receivable","True","True","",""
"l10n_bd_113100","l10n_bd_group_113","True","Deposit - Office Rent","113100","asset_current","False","","",""
"l10n_bd_113200","l10n_bd_group_113","True","Deposits - Customs","113200","asset_current","False","","",""
"l10n_bd_113300","l10n_bd_group_113","True","Deposit to Immigration (Visa)","113300","asset_current","False","","",""
