"id","code_prefix_start","code_prefix_end","name"
"l10n_bd_group_100100_100199","100100","100199","Liquidity"
"l10n_bd_group_100200_100299","100200","100299","Receivables"
"l10n_bd_group_100300_100399","100300","100399","Deposits"
"l10n_bd_group_100400_100499","100400","100499","Prepaid Expenses"
"l10n_bd_group_100500_100599","100500","100599","Inventory"
"l10n_bd_group_100600_100699","100600","100699","Company Assets & Depreciation"
"l10n_bd_group_100700_100799","100700","100799","Licensing and Copyrights"
"l10n_bd_group_100800_100899","100800","100899","IFRS16 Assets & Depreciation"
"l10n_bd_group_200100_200199","200100","200199","Payables"
"l10n_bd_group_200200_200299","200200","200299","Accrued Employee Expenses"
"l10n_bd_group_200300_200399","200300","200399","Accrued Expenses"
"l10n_bd_group_200400_200499","200400","200499","Deferrals"
"l10n_bd_group_200500_200599","200500","200599","Provisions"
"l10n_bd_group_200900_200999","200900","200999","VAT"
"l10n_bd_group_300900_300100","300900","300100","Equity"
"l10n_bd_group_400100_400199","400100","400199","Operating Income"
"l10n_bd_group_400200_400299","400200","400299","Non-Operating Income"
"l10n_bd_group_400300_400399","400300","400399","Other gains & losses - Other Income"
"l10n_bd_group_400400_400499","400400","400499","Operating Results"
"l10n_bd_group_500100_500199","500100","500199","Cost of Sales"
"l10n_bd_group_500200_500299","500200","500299","Employees Expenses"
"l10n_bd_group_500300_500399","500300","500399","Payroll Expenses"
"l10n_bd_group_500400_500499","500400","500499","Office and Location Expenses"
"l10n_bd_group_500500_500599","500500","500599","Company Expenses"
"l10n_bd_group_500600_500649","500600","500649","Finance Expenses"
"l10n_bd_group_500650_500699","500650","500699","Income Tax"
"l10n_bd_group_500700_500799","500700","500799","Misc. Company Expenses"
"l10n_bd_group_500800_500849","500800","500849","Assets Depreciation Expenses"
"l10n_bd_group_500851_500899","500851","500899","IFRS16 Depreciation"
"l10n_bd_group_500900_500999","500900","500999","Other gains & losses - Expenses"
"l10n_bd_group_501100_501199","501100","501199","Misc. Office Expenses"
