"id","sequence","name","description","invoice_label","amount","type_tax_use","tax_group_id","price_include","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"sale_tax_template_vat20","9","Реалізація з ПДВ 20%","","+ ПДВ 20%","20.0","sale","tax_group_vat20","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1204"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1204"
"sale_tax_template_vat20incl","9","Реалізація в т. ч. ПДВ 20%","","в т. ч. ПДВ 20%","20.0","sale","tax_group_vat20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1204"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1204"
"sale_tax_template_vat14","10","Реалізація з ПДВ 14%","","+ ПДВ 14%","14.0","sale","tax_group_vat14","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1204"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1204"
"sale_tax_template_vat14incl","10","Реалізація в т. ч. ПДВ 14%","","в т. ч. ПДВ 14%","14.0","sale","tax_group_vat14","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1204"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1204"
"sale_tax_template_vat7","11","Реалізація з ПДВ 7%","","+ ПДВ 7%","7.0","sale","tax_group_vat7","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1204"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1204"
"sale_tax_template_vat7incl","11","Реалізація в т. ч. ПДВ 7%","","в т .ч. ПДВ 7%","7.0","sale","tax_group_vat7","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1204"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1204"
"sale_tax_template_vat0","12","Реалізація з ПДВ 0%","","ПДВ 0%","0.0","sale","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"sale_tax_template_vat_free","13","Реалізація звільнена від ПДВ","","Звільнено від ПДВ","0.0","sale","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"sale_tax_template_vat_not","14","Реалізація не є об'єктом ПДВ","","Не є об'єктом ПДВ","0.0","sale","","","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"purchase_tax_template_vat20","19","Придбання з ПДВ 20%","","+ ПДВ 20%","20.0","purchase","tax_group_vat20","","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1140"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1140"
"purchase_tax_template_vat20incl","19","Придбання в т. ч. ПДВ 20%","","в т. ч. ПДВ 20%","20.0","purchase","tax_group_vat20","True","base","invoice",""
"","","","","","","","","","tax","invoice","ua_ias_1140"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","ua_ias_1140"
