id,name,description
,01,Factura
,02,Nota o boleta de venta
,03,Liquidación de compra de Bienes o Prestación de servicios
,04,Nota de crédito
,05,Nota de débito
,06,Guías de Remisión
,07,Comprobante de Retención
,08,Boletos o entradas a espectáculos públicos
,09,Tiquetes o vales emitidos por máquinas registradoras
,11,Pasajes expedidos por empresas de aviación
,12,Documentos emitidos por instituciones financieras
,15,Comprobante de venta emitido en el Exterior
,16,Formulario Único de Exportación (FUE) o Declaración Aduanera Única (DAU) o Declaración Andina de Valor (DAV)
,18,Documentos autorizados utilizados en ventas excepto N/C N/D 
,19,Comprobantes de Pago de Cuotas o Aportes
,20,Documentos por Servicios Administrativos emitidos por Inst. del Estado
,21,Carta de Porte Aéreo
,22,RECAP
,23,Nota de Crédito TC
,24,Nota de Débito TC
,41,Comprobante de venta emitido por reembolso
,42,Documento agente de retención Presuntiva
,43,Liquidación para Explotación y Exploracion de Hidrocarburos
,44,Comprobante de Contribuciones y Aportes
,45,Liquidación por reclamos de aseguradoras
,47,Nota de Crédito por Reembolso Emitida por Intermediario
,48,Nota de Débito por Reembolso Emitida por Intermediario
,49,Proveedor Directo de Exportador Bajo Régimen Especial
,50,A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta
,51,N/C A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta
,52,N/D A Inst. Estado y Empr. Públicas que percibe ingreso exento de Imp. Renta
,294,Liquidación de compra de Bienes Muebles Usados
,344,Liquidación de compra de vehículos usados 
