id,name,description
,01,RUC
,02,CEDULA
,03,PASAPORTE / IDENTIFICACIÓN TRIBUTARIA DEL EXTERIOR
,04,RUC
,05,CEDULA
,06,PASAPORTE / IDENTIFICACIÓN TRIBUTARIA DEL EXTERIOR
,07,CONSUMIDOR FINAL
,09,-
,10,RUC
,11,PASAPORTE / IDENTIFICACIÓN TRIBUTARIA DEL EXTERIOR 
,12,RUC
,13,CEDULA
,14,PASAPORTE / IDENTIFICACIÓN TRIBUTARIA DEL EXTERIOR
,15,RUC
,16,CEDULA
,17,PASAPORTE / IDENTIFICACIÓN TRIBUTARIA DEL EXTERIOR
,18,-
,19,PLACA o RAMV/CPN 
,20,RUC
,21,PASAPORTE / IDENTIFICACIÓN TRIBUTARIA DEL EXTERIOR
