id,name,description
,01,SIN UTILIZACION DEL SISTEMA FINANCIERO
,02,CHEQUE PROPIO
,03,CHEQUE CERTIFICADO
,04,CHEQUE DE GERENCIA
,05,CHEQUE DEL EXTERIOR
,06,DÉBITO DE CUENTA
,07,TRANSFERENCIA PROPIO BANCO
,08,TRANSFERENCIA OTRO BANCO NACIONAL
,09,TRANSFERENCIA  BANCO EXTERIOR
,10,TARJETA DE CRÉDITO NACIONAL
,11,TARJETA DE CRÉDITO INTERNACIONAL
,12,GIRO
,13,DEPOSITO EN CUENTA (CORRIENTE/AHORROS)
,14,ENDOSO DE INVERSIÒN
,15,COMPENSACIÓN DE DEUDAS
,16,TARJETA DE DÉBITO
,17,DINERO ELECTRÓNICO
,18,TARJETA PREPAGO
,19,TARJETA DE CRÉDITO
,20,OTROS CON UTILIZACION DEL SISTEMA FINANCIERO
,21,ENDOSO DE TÍTULOS
