id,l10n_co_edi_code
base.state_co_01,05
base.state_co_02,08
base.state_co_03,11
base.state_co_04,13
base.state_co_05,15
base.state_co_06,17
base.state_co_07,18
base.state_co_08,19
base.state_co_09,20
base.state_co_10,23
base.state_co_11,25
base.state_co_12,27
base.state_co_13,41
base.state_co_14,44
base.state_co_15,47
base.state_co_16,50
base.state_co_17,52
base.state_co_18,54
base.state_co_19,63
base.state_co_20,66
base.state_co_21,68
base.state_co_22,70
base.state_co_23,73
base.state_co_24,76
base.state_co_25,81
base.state_co_26,85
base.state_co_27,86
base.state_co_28,88
base.state_co_29,91
base.state_co_30,94
base.state_co_31,95
base.state_co_32,97
base.state_co_33,99
