"id","code","name","account_type","reconcile","name@zh_TW"
"tw_118100","118100","Notes receivable","asset_receivable","True","應收票據"
"tw_119100","119100","Accounts receivable","asset_receivable","True","應收帳款"
"tw_119150","119150","Accounts receivable (PoS)","asset_receivable","True","應收帳款(POS)"
"tw_121100","121100","Earned revenue receivable","asset_receivable","True","應收收益"
"tw_123100","123100","Merchandise inventory","asset_current","False","商品存貨"
"tw_123150","123150","Other inventory (pending acceptance)","asset_current","True","其他存貨(已出貨待驗收)"
"tw_123500","123500","Finished goods","asset_current","False","製成品"
"tw_123700","123700","Work in progress","asset_current","False","在製品"
"tw_123900","123900","Raw materials","asset_current","False","原料"
"tw_124000","124000","Supplies","asset_current","False","物料"
"tw_124500","124500","Stock Interim Account (Input)","asset_current","False",""
"tw_124600","124600","Stock Interim Account (Output)","asset_current","False",""
"tw_126400","126400","Office supplies","asset_current","False","用品盤存"
"tw_126500","126500","Other prepaid expenses","asset_current","False","其他預付費用"
"tw_126600","126600","Prepayment for purchases","asset_current","False","預付貨款"
"tw_126800","126800","Business tax paid (or Input VAT)","asset_current","False","進項稅額"
"tw_126900","126900","Overpaid sales tax","asset_current","False","留抵稅額"
"tw_127000","127000","Other prepayments","asset_current","False","其他預付款項"
"tw_128100","128100","Temporary payments","asset_current","False","暫付款"
"tw_128200","128200","Payment on behalf of others","asset_current","False","代付款"
"tw_128400","128400","Refundable deposits","asset_current","False","存出保證金"
"tw_137100","137100","Investments accounted for using equity method","asset_non_current","False","採用權益法之投資"
"tw_139100","139100","Land, cost","asset_non_current","False","土地－成本"
"tw_141100","141100","Buildings and structures, cost","asset_non_current","False","房屋及建築－成本"
"tw_141300","141300","Accumulated depreciation, buildings and structures","asset_non_current","False","累計折舊－房屋及建築"
"tw_142100","142100","Machinery and equipment, cost","asset_non_current","False","機器設備－成本"
"tw_142200","142200","Accumulated depreciation, machinery and equipment","asset_non_current","False","累計折舊－機器設備"
"tw_143100","143100","Office equipment, cost","asset_non_current","False","辦公設備－成本"
"tw_143200","143200","Accumulated depreciation, office equipment","asset_non_current","False","累計折舊－辦公設備"
"tw_144100","144100","Leased assets, cost","asset_non_current","False","租賃資產－成本"
"tw_144200","144200","Accumulated depreciation, leased assets","asset_non_current","False","累計折舊－租賃資產"
"tw_155100","155100","Other intangible assets, net","asset_non_current","False","其他無形資產"
"tw_155200","155200","Accumulated amortization, other intangible assets","asset_non_current","False","累計攤銷－其他無形資產"
"tw_156100","156100","Deferred tax assets","asset_non_current","False","遞延所得稅資產"
"tw_158200","158200","Prepayments for business facilities","asset_non_current","False","預付設備款"
"tw_158300","158300","Guarantee deposits paid","asset_non_current","False","存出保證金"
"tw_158400","158400","Owner (shareholder) accounts, debit","asset_non_current","False","業主(股東)往來"
"tw_158600","158600","Other non-current assets, others","asset_non_current","False","其他非流動資產－其他"
"tw_211200","211200","Bank loan","liability_current","False","銀行借款"
