"id","parent_id","active","name","code","account_type","reconcile","non_trade","description","depreciation_model_id"
"l10n_pk_group_1","","False","Assets","1","asset_non_current","False","False","",""
"l10n_pk_group_11","l10n_pk_group_1","False","Non Current Assets","11","asset_non_current","False","False","",""
"l10n_pk_group_111","l10n_pk_group_11","False","Property, Plant and Equipment","111","asset_fixed","False","False","",""
"l10n_pk_group_112","l10n_pk_group_11","False","Intangible Assets","112","asset_non_current","False","False","",""
"l10n_pk_group_113","l10n_pk_group_11","False","Investment Property","113","asset_non_current","False","False","",""
"l10n_pk_group_114","l10n_pk_group_11","False","Investments in Associates","114","asset_non_current","False","False","",""
"l10n_pk_group_115","l10n_pk_group_11","False","Investments in Jointly Controlled Entities","115","asset_non_current","False","False","",""
"l10n_pk_group_116","l10n_pk_group_11","False","Other long term investments","116","asset_non_current","False","False","",""
"l10n_pk_group_117","l10n_pk_group_11","False","Long-term loans and advances","117","asset_non_current","False","False","",""
"l10n_pk_group_118","l10n_pk_group_11","False","Long-term deposits and prepayments","118","asset_non_current","False","False","",""
"l10n_pk_group_119","l10n_pk_group_11","False","Biological Assets","119","asset_non_current","False","False","",""
"l10n_pk_group_12","l10n_pk_group_1","False","Current Assets","12","asset_current","False","False","",""
"l10n_pk_group_121","l10n_pk_group_12","False","Inventories","121","asset_current","False","False","",""
"l10n_pk_group_122","l10n_pk_group_12","False","Trade and other receivables","122","asset_current","False","False","",""
"l10n_pk_group_123","l10n_pk_group_12","False","Prepayments and advances","123","asset_current","False","False","",""
"l10n_pk_group_124","l10n_pk_group_12","False","Other Current Assets","124","asset_current","False","False","",""
"l10n_pk_group_125","l10n_pk_group_12","False","Cash and bank balances","125","asset_current","False","False","",""
"l10n_pk_group_2","","False","Liabilities","2","liability_non_current","False","False","",""
"l10n_pk_group_21","l10n_pk_group_2","False","Current Liabilities","21","liability_current","False","False","",""
"l10n_pk_group_211","l10n_pk_group_21","False","Trade and Other Payables","211","liability_current","False","False","",""
"l10n_pk_group_212","l10n_pk_group_21","False","Short Term financing","212","liability_current","False","False","",""
"l10n_pk_group_213","l10n_pk_group_21","False","Provisions - Current Liabilities","213","liability_current","False","False","",""
"l10n_pk_group_214","l10n_pk_group_21","False","Unpaid Dividend","214","liability_current","False","False","",""
"l10n_pk_group_215","l10n_pk_group_21","False","Unclaimed Dividend","215","liability_current","False","False","",""
"l10n_pk_group_216","l10n_pk_group_21","False","Current tax liability","216","liability_current","False","False","",""
"l10n_pk_group_22","l10n_pk_group_2","False","Non Current Liabilities","22","liability_non_current","False","False","",""
"l10n_pk_group_221","l10n_pk_group_22","False","Long Term Financing","221","liability_non_current","False","False","",""
"l10n_pk_group_222","l10n_pk_group_22","False","Deferred Tax Liabilities","222","liability_non_current","False","False","",""
"l10n_pk_group_223","l10n_pk_group_22","False","Employee benefit obligations","223","liability_non_current","False","False","",""
"l10n_pk_group_224","l10n_pk_group_22","False","Provisions- Non Current Liabilities","224","liability_non_current","False","False","",""
"l10n_pk_group_3","","False","Equity","3","equity","False","False","",""
"l10n_pk_group_311","l10n_pk_group_3","False","Share Capital","311","equity","False","False","",""
"l10n_pk_group_312","l10n_pk_group_3","False","Capital Reserves","312","equity","False","False","",""
"l10n_pk_group_313","l10n_pk_group_3","False","Revenue Reserves","313","equity","False","False","",""
"l10n_pk_group_4","","False","Operating Income","4","income_other","False","False","",""
"l10n_pk_group_5","","False","Cost of Revenue","5","expense_direct_cost","False","False","",""
"l10n_pk_group_6","","False","Operating Expenses","6","expense","False","False","",""
"l10n_pk_group_611","l10n_pk_group_6","False","Administrative and general expenses","611","expense","False","False","",""
"l10n_pk_group_621","l10n_pk_group_6","False","Marketing and distribution expenses","621","expense","False","False","",""
"l10n_pk_group_631","l10n_pk_group_6","False","Finance costs","631","expense","False","False","",""
"l10n_pk_group_641","l10n_pk_group_6","False","Income Tax Expense","641","expense","False","False","",""
"l10n_pk_group_7","","False","Other Income","7","income_other","False","False","",""
"l10n_pk_group_8","","False","Other Expenses","8","expense_other","False","False","",""
"l10n_pk_group_811","l10n_pk_group_8","False","Fixed Asset Depreciations","811","expense_depreciation","False","False","",""
"l10n_pk_group_812","l10n_pk_group_8","False","Intangibles Amortizations","812","expense_depreciation","False","False","",""
"l10n_pk_group_813","l10n_pk_group_8","False","Other","813","expense_other","False","False","",""
"l10n_pk_1110100","l10n_pk_group_111","True","Land","1110100","asset_non_current","False","False","Purchases of lands without buildings",""
"l10n_pk_1110200","l10n_pk_group_111","True","Capital Work In Progress","1110200","asset_non_current","False","False","Construction of buildings and costs associated to buildings",""
"l10n_pk_1110300","l10n_pk_group_111","True","Installations","1110300","asset_fixed","False","False","Purchases of installations related to buildings, like solar panels or heater","asset_10_year_linear"
"l10n_pk_1110400","l10n_pk_group_111","True","Accumulated Depreciation - Installations","1110400","asset_fixed","False","False","",""
"l10n_pk_1110500","l10n_pk_group_111","True","Furniture and Fixture","1110500","asset_fixed","False","False","Large expenses related to workplaces","asset_5_year_linear"
"l10n_pk_1110600","l10n_pk_group_111","True","Accumulated Depreciation - Furniture and Fixture","1110600","asset_fixed","False","False","",""
"l10n_pk_1110700","l10n_pk_group_111","True","Building","1110700","asset_fixed","False","False","","asset_30_year_linear"
"l10n_pk_1110800","l10n_pk_group_111","True","Accumulated Depreciation - Buildings","1110800","asset_fixed","False","False","",""
"l10n_pk_1110900","l10n_pk_group_111","True","Plant and Machinery","1110900","asset_fixed","False","False","Other type of property, like plants, machinery or various equipment","asset_5_year_linear"
"l10n_pk_1111000","l10n_pk_group_111","True","Accumulated Depreciation - Plant and Machinery","1111000","asset_fixed","False","False","",""
"l10n_pk_1111100","l10n_pk_group_111","True","Tools and Equipment","1111100","asset_fixed","False","False","Machinery and tools directly related to your business","asset_5_year_linear"
"l10n_pk_1111200","l10n_pk_group_111","True","Accumulated Depreciation - Tools and Equipments","1111200","asset_fixed","False","False","",""
"l10n_pk_1111300","l10n_pk_group_111","True","IT Equipment","1111300","asset_fixed","False","False","Technological products or services bought for your business","asset_3_year_linear"
"l10n_pk_1111400","l10n_pk_group_111","True","Accumulated Depreciation - IT Equipment","1111400","asset_fixed","False","False","",""
"l10n_pk_1111500","l10n_pk_group_111","True","Vehicle","1111500","asset_fixed","False","False","Purchase of a car, including second hand or after-lease contract","asset_5_year_linear"
"l10n_pk_1111600","l10n_pk_group_111","True","Accumulated Depreciation - Motor Vehicles","1111600","asset_fixed","False","False","",""
"l10n_pk_1111700","l10n_pk_group_111","True","Vehicle Accessories","1111700","asset_fixed","False","False","All accessories purchases related to your professional vehicle","asset_3_year_linear"
"l10n_pk_1111800","l10n_pk_group_111","True","Accumulated Depreciation - Vehicle Accessories","1111800","asset_fixed","False","False","",""
"l10n_pk_1120100","l10n_pk_group_112","True","Software and ERP System","1120100","asset_fixed","False","False","","asset_10_year_linear"
"l10n_pk_1120200","l10n_pk_group_112","True","Accumulated Amortization - Software and ERP Systems","1120200","asset_fixed","False","False","",""
"l10n_pk_1130100","l10n_pk_group_113","True","Investment Property","1130100","asset_non_current","False","False","",""
"l10n_pk_1140100","l10n_pk_group_114","True","Investments in Associates","1140100","asset_non_current","False","False","",""
"l10n_pk_1150100","l10n_pk_group_115","True","Investments in Jointly Controlled Entities","1150100","asset_non_current","False","False","",""
"l10n_pk_1160100","l10n_pk_group_116","True","Long Term Investments","1160100","asset_non_current","False","False","",""
"l10n_pk_1170100","l10n_pk_group_117","True","Long-term Loans to Related Parties","1170100","asset_non_current","False","False","",""
"l10n_pk_1180100","l10n_pk_group_118","True","Long Term Deposits","1180100","asset_non_current","False","False","",""
"l10n_pk_1190100","l10n_pk_group_119","True","Biological Assets","1190100","asset_non_current","False","False","",""
"l10n_pk_1210100","l10n_pk_group_121","True","Raw Materials","1210100","asset_current","False","False","",""
"l10n_pk_1210200","l10n_pk_group_121","True","Work in Process","1210200","asset_current","False","False","",""
"l10n_pk_1210300","l10n_pk_group_121","True","Finished Goods","1210300","asset_current","False","False","",""
"l10n_pk_1220100","l10n_pk_group_122","True","Receivable from Customers","1220100","asset_receivable","True","False","",""
"l10n_pk_1220200","l10n_pk_group_122","True","Advances to Suppliers","1220200","asset_current","False","False","",""
"l10n_pk_1220300","l10n_pk_group_122","True","Sales Tax Paid","1220300","asset_current","False","False","",""
"l10n_pk_1220400","l10n_pk_group_122","True","Sales Tax Refundable","1220400","asset_receivable","True","True","",""
"l10n_pk_1220500","l10n_pk_group_122","True","Income Tax Withholding - Advance","1220500","asset_current","False","False","",""
"l10n_pk_1220700","l10n_pk_group_122","True","Sales Withholding Tax- Advance","1220700","asset_current","False","False","",""
"l10n_pk_1220800","l10n_pk_group_122","True","Sales Withholding Tax Refundable","1220800","asset_receivable","True","True","",""
"l10n_pk_1220900","l10n_pk_group_122","True","Further Tax Refundable","1220900","asset_receivable","True","True","",""
"l10n_pk_1221000","l10n_pk_group_122","True","Income Tax withholding Refundable","1221000","asset_receivable","True","True","",""
"l10n_pk_1221100","l10n_pk_group_122","True","POS Receivable","1221100","asset_receivable","True","False","",""
"l10n_pk_1230100","l10n_pk_group_123","True","Prepaid Rent","1230100","asset_current","False","False","",""
"l10n_pk_1230200","l10n_pk_group_123","True","Security Deposits","1230200","asset_current","False","False","",""
"l10n_pk_1230300","l10n_pk_group_123","True","Loan to Employees","1230300","asset_current","False","False","",""
"l10n_pk_1234000","l10n_pk_group_123","True","Deferred expense","1234000","asset_current","False","False","",""
"l10n_pk_1240100","l10n_pk_group_124","True","Other Current Assets","1240100","asset_current","False","False","",""
"l10n_pk_1250400","l10n_pk_group_125","True","Suspense Account","1250400","asset_current","False","False","",""
