"id","country_id","name","tax_payable_account_id","tax_receivable_account_id"
"tax_group_pk_wt","base.pk","Withholding Tax","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_0","base.pk","Tax 0%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_1","base.pk","Tax 1%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_2","base.pk","Tax 2%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_3","base.pk","Tax 3%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_5","base.pk","Tax 5%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_8","base.pk","Tax 8%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_10","base.pk","Tax 10%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_13","base.pk","Tax 13%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_15","base.pk","Tax 15%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_16","base.pk","Tax 16%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_17","base.pk","Tax 17%","l10n_pk_2221005","l10n_pk_1123004"
"tax_group_pk_195","base.pk","Tax 19.5%","l10n_pk_2221005","l10n_pk_1123004"
