id,name,code,country_id:id
port_111,Montreal,111,base.ca
port_113,Halifax,113,base.ca
port_114,Vancouver,114,base.ca
port_115,Saint John,115,base.ca
port_116,Toronto,116,base.ca
port_118,Bayside,118,base.ca
port_120,Port Carties,120,base.ca
port_124,Quebec,124,base.ca
port_125,Prince Rupert,125,base.ca
port_126,Hamilton,126,base.ca
port_131,Boston,131,base.us
port_132,New Haven,132,base.us
port_133,Bridgeport,133,base.us
port_134,New York,134,base.us
port_135,Filadelfia,135,base.us
port_136,Baltimore,136,base.us
port_137,Norfolk,137,base.us
port_139,Charleston,139,base.us
port_140,Savanah,140,base.us
port_141,Miami,141,base.us
port_142,Everglades,142,base.us
port_143,Jacksonville,143,base.us
port_145,Palm Beach,145,base.us
port_146,Baton Rouge,146,base.us
port_147,Columbres,147,base.us
port_148,Pittsburgh,148,base.us
port_149,Duluth,149,base.us
port_150,Milwaukee,150,base.us
port_151,Tampa,151,base.us
port_152,Pensacola,152,base.us
port_153,Mobile,153,base.us
port_154,New Orleans,154,base.us
port_155,Port Arthur,155,base.us
port_156,Galveston,156,base.us
port_157,Corpus Cristi,157,base.us
port_158,Brownsville,158,base.us
port_159,Houston,159,base.us
port_160,Oakland,160,base.us
port_161,Stockton,161,base.us
port_171,Seattle,171,base.us
port_172,Portland,172,base.us
port_173,San Francisco,173,base.us
port_174,Los Angeles,174,base.us
port_175,Long Beach,175,base.us
port_176,San Diego,176,base.us
port_190,Punta Chungo,190,base.cl
port_199,Los Vilos,199,base.cl
port_204,Patache,204,base.cl
port_205,Calbuco,205,base.cl
port_206,Michilla,206,base.cl
port_207,Puerto Angamos,207,base.cl
port_208,Poseidon,208,base.cl
port_209,Tres Puentes,209,base.cl
port_211,Tampico,211,base.mx
port_213,Veracruz,213,base.mx
port_214,Coatzacoalcos,214,base.mx
port_215,Guaymas,215,base.mx
port_216,Mazatlan,216,base.mx
port_217,Manzanillo,217,base.mx
port_218,Acapulco,218,base.mx
port_220,Altamira,220,base.mx
port_221,Cristobal,221,base.pa
port_222,Balboa,222,base.pa
port_223,Colon,223,base.pa
port_225,Paso Guanaco Sonso,225,base.cl
port_232,Buenaventura,232,base.co
port_233,Barranquilla,233,base.co
port_242,Guayaquil,242,base.ec
port_252,Callao,252,base.pe
port_253,Ilo,253,base.pe
port_254,Iquitos,254,base.pe
port_262,Buenos Aires,262,base.ar
port_263,Necochea,263,base.ar
port_264,Mendoza,264,base.ar
port_265,Córdoba,265,base.ar
port_266,Bahia Blanca,266,base.ar
port_267,Comodoro Rivadavia,267,base.ar
port_268,Puerto Madryn,268,base.ar
port_269,Mar Del Plata,269,base.ar
port_270,Rosario,270,base.ar
port_272,Montevideo,272,base.uy
port_282,La Guaira,282,base.ve
port_285,Maracaibo,285,base.ve
port_292,Santos,292,base.br
port_293,Rio De Janeiro,293,base.br
port_294,Rio Grande Del Sur,294,base.br
port_295,Paranagua,295,base.br
port_296,Sao Paulo,296,base.br
port_297,Salvador,297,base.br
port_302,Curazao,302,base.cw
port_411,Shangai,411,base.cn
port_412,Dairen,412,base.cn
port_421,Nampo,421,base.kp
port_422,Busan,422,base.kr
port_431,Manila,431,base.ph
port_442,Osaka,442,base.jp
port_443,Kobe,443,base.jp
port_444,Yokohama,444,base.jp
port_445,Nagoya,445,base.jp
port_446,Shimizui,446,base.jp
port_447,Moji,447,base.jp
port_448,Yawata,448,base.jp
port_449,Fukuyama,449,base.jp
port_451,Kaohsiung,451,base.tw
port_452,Keelung,452,base.tw
port_461,Karhg Island,461,base.ir
port_471,Calcuta,471,base.in
port_481,Chalna,481,base.bd
port_492,Hong Kong,492,base.cn
port_511,Constanza,511,base.ro
port_521,Varna,521,base.bg
port_533,Belgrado,533,base.rs
port_535,Podgoritsa,535,base.me
port_538,Rijeka,538,base.hr
port_542,Genova,542,base.it
port_543,"Liorna, Livorno",543,base.it
port_544,Napoles,544,base.it
port_545,Salerno,545,base.it
port_546,Augusta,546,base.it
port_547,Savona,547,base.it
port_552,La Pallice,552,base.fr
port_553,Le Havre,553,base.fr
port_554,Marsella,554,base.fr
port_555,Burdeos,555,base.fr
port_556,Calais,556,base.fr
port_557,Brest,557,base.fr
port_558,Ruan,558,base.fr
port_562,Cadiz,562,base.es
port_563,Barcelona,563,base.es
port_564,Bilbao,564,base.es
port_565,Huelva,565,base.es
port_566,Sevilla,566,base.es
port_567,Tarragona,567,base.es
port_568,Algeciras,568,base.es
port_569,Valencia,569,base.es
port_571,Liverpool,571,base.uk
port_572,Londres,572,base.uk
port_573,Rochester,573,base.uk
port_574,Eten Salverry,574,base.uk
port_577,Dover,577,base.uk
port_578,Plymouth,578,base.uk
port_581,Helsinski,581,base.fi
port_583,Hanko,583,base.fi
port_584,Kemi,584,base.fi
port_585,Kokkola,585,base.fi
port_586,Kotka,586,base.fi
port_587,Oulo,587,base.fi
port_588,Pietarsaari,588,base.fi
port_589,Pori,589,base.fi
port_591,Bremen,591,base.de
port_592,Hamburgo,592,base.de
port_593,Nuremberg,593,base.de
port_594,Frankfurt,594,base.de
port_595,Dusseldorf,595,base.de
port_597,Cuxhaven,597,base.de
port_598,Rostock,598,base.de
port_599,Oldenburg,599,base.de
port_601,Amberes,601,base.be
port_603,Zeebrugge,603,base.be
port_604,Ghent,604,base.be
port_605,Oostende,605,base.be
port_611,Lisboa,611,base.pt
port_613,Setubal,613,base.pt
port_621,Amsterdam,621,base.nl
port_622,Rotterdam,622,base.nl
