"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","name@ar_001"
"iq_standard_sale_300_alcohol","300%","sale","300.0","percent","Imposed on alcohol and tobacco (cigarettes)","300%","iq_tax_group_sales","base","invoice","","300%. ضريبة على الكحول والتبغ"
"","","","","","","","","tax","invoice","iq_account_200902",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","iq_account_200902",""
"iq_standard_sale_15_cars_travel","15%","sale","15.0","percent","Imposed cars and travel tickets","15%","iq_tax_group_sales","base","invoice","","15%. ضريبة على السيارات وتذاكر السفر"
"","","","","","","","","tax","invoice","iq_account_200902",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","iq_account_200902",""
"iq_standard_sale_20_mobile_internet","20%","sale","20.0","percent","Imposed on mobile recharge cards and internet","20%","iq_tax_group_sales","base","invoice","","20%. ضريبة على بطاقات إعادة شحن الهاتف والإنترنت"
"","","","","","","","","tax","invoice","iq_account_200902",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","iq_account_200902",""
"iq_standard_purchase_3_3_WH","3.3% WH","purchase","-3.3","percent","For all Payments for contracted oil and gas companies","3.3% WH","iq_tax_group_withholding","base","invoice","","3.3%. ضريبة استقطاع للشركات النفطية والغاز"
"","","","","","","","","tax","invoice","iq_account_201001",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","iq_account_201001",""
"iq_standard_purchase_7_WH","7% WH","purchase","-7.0","percent","For all Payments for contracted oil and gas companies","7% WH","iq_tax_group_withholding","base","invoice","","7%. ضريبة استقطاع للشركات النفطية والغاز"
"","","","","","","","","tax","invoice","iq_account_201001",""
"","","","","","","","","base","refund","",""
"","","","","","","","","tax","refund","iq_account_201001",""
