id,code,description
0040,0040,"Apparel & linens"
0110,0110,"Beds, furniture & accessories"
0130,0130,"Blood, tissue & blood supplies"
0210,0210,"Casting supplies"
0320,0320,"Dental supplies and equipment"
0390,0390,"Drugs & medicines"
0400,0400,"Drugs & medicines - solutions & chemicals"
0500,0500,"Food - supplements, nutrients, & supplies"
0670,0670,"Kits, packs & trays"
0750,0750,"Medical equipment - diagnostic"
0760,0760,"Medical equipment - general"
0780,0780,"Medical supplies - catheters"
0790,0790,"Medical supplies - diabetic"
0800,0800,"Medical supplies - dialysis"
0810,0810,"Medical supplies - general"
0820,0820,"Medical supplies - needles & syringes"
0830,0830,"Medical supplies - respiratory"
0840,0840,"Medical supplies - wound closure"
0900,0900,"Oral care"
0990,0990,"Prosthetics & orthotics - implanted"
1000,1000,"Prosthetics & orthotics - non implanted"
10070,10070,"Telecommunication nonrecurring charges"
11022,11022,"Inactive sst skus: postage for direct mail"
1140,1140,"Skin & hygiene"
1150,1150,"Skin & wound care"
1210,1210,"Supplies - non-medical"
1220,1220,"Surgical equipment & supplies"
20105,20105,"Inactive sst skus: inclusion or exclusion from sales tax holiday - all watersense products.  if only specific watersense products or specified watersense classifications on the watersense listing, list those below. "
31010,31010,"Specified digital products (with rights of permanent use) "
31020,31020,"Specified digital products (with rights of less than permanent use) "
31030,31030,"Specified digital products (with rights conditioned on continued payments) "
40,40,"Medical supplies - general"
52490,52490,"Repair and replacement parts which are for single patient use"
60010,60010,"Ancillary services"
60020,60020,"Conference bridging service"
60030,60030,"Detailed telecommunications billing service"
60040,60040,"Directory assistance"
60050,60050,"Vertical service"
60060,60060,"Inactive sst skus: voice mail service"
61000,61000,"Intrastate telecommunications service"
61010,61010,"Interstate telecommunications service"
61020,61020,"International telecommunications service"
61030,61030,"International 800 service"
61040,61040,"International 900 service"
61050,61050,"International fixed wireless service"
61060,61060,"International mobile wireless service"
61070,61070,"International paging service"
61080,61080,"International prepaid calling service"
61090,61090,"International prepaid wireless calling service"
61100,61100,"International private communications service"
61110,61110,"International value-added non-voice data service"
61120,61120,"International residential telecommunications service"
61130,61130,"Interstate 800 service"
61140,61140,"Interstate 900 service"
61150,61150,"Interstate fixed wireless service"
61160,61160,"Interstate mobile wireless service"
61170,61170,"Inactive sst skus: interstate paging service"
61180,61180,"Inactive sst skus: interstate prepaid calling service"
61190,61190,"Interstate prepaid wireless calling service"
61200,61200,"Interstate private communications service"
61210,61210,"Interstate value-added non-voice data service"
61220,61220,"Interstate residential telecommunications service"
61230,61230,"Intrastate 800 service"
61240,61240,"Intrastate 900 service"
61250,61250,"Intrastate fixed wireless service"
61260,61260,"Intrastate mobile wireless service"
61270,61270,"Intrastate paging service"
61280,61280,"Intrastate prepaid calling service"
61290,61290,"Intrastate prepaid wireless calling service"
61300,61300,"Intrastate private communications service"
61310,61310,"Intrastate value-added non-voice data service"
61320,61320,"Intrastate residential telecommunications service"
61325,61325,"Paging service"
61330,61330,"Coin-operated telephone service"
61340,61340,"Pay telephone service"
61350,61350,"Local service as defined by _________________(state)"
AT,AT,"Adjustment for excluded charges - india"
BCT00001,BCT00001,"Brandshop 8 oz bottle of coke"
D0000000,D0000000,"Digital goods"
D0000001,D0000001,"Products transferred electronically other than digital audio visual works, digital audio works, or digital books"
D9999999,D9999999,"Temporary unmapped digital goods sku - taxable default"
DA010000,DA010000,"Digital goods: advertising material (digital only -- no physical media)"
DA030000,DA030000,"Digital goods: art (digital only -- no physical media)"
DA040000,DA040000,"Digital goods: audio (digital only -- no physical media)"
DA040100,DA040100,"Radio subscriptions"
DA050000,DA050000,"Digital audio works"
DA051011,DA051011,"Digital audio works sold to an end user with rights for permanent use"
DA051012,DA051012,"Digital audio works (with rights conditioned on continued payments)"
DA051013,DA051013,"Digital audio works sold to users other than the end user"
DA059399,DA059399,"Digital audio works (with rights of less than permanent use)"
DB010000,DB010000,"Digital goods: blueprints (digital only -- no physical media)"
DB020000,DB020000,"Digital goods: books (digital only -- no physical media)"
DB030000,DB030000,"Digital books"
DB031013,DB031013,"Digital books sold to an end user with rights for permanent use"
DB031014,DB031014,"Digital books (with rights of less than permanent use)"
DB031015,DB031015,"Digital books (with rights conditioned on continued payments)"
DB031016,DB031016,"Digital books sold to users other than the end user"
DC010000,DC010000,"Computer software (business-to-business)"
DC010100,DC010100,"Custom computer software - physical media (business-to-business)"
DC010200,DC010200,"Custom computer software - electronically downloaded (business-to-business)"
DC010300,DC010300,"Custom computer software - load and leave (business-to-business)"
DC010400,DC010400,"Computer software (prewritten/canned) physical media (business-to-business)"
DC010500,DC010500,"Computer software (prewritten/canned) electronically downloaded (business-to-business)"
DC010600,DC010600,"Computer software (prewritten/canned) delivered via load and leave (business-to-business)"
DC011000,DC011000,"Computer software system software"
DC012000,DC012000,"License to use software application via the internet"
DC020000,DC020000,"Computer software (business-to-customer)"
DC020100,DC020100,"Custom computer software - physical media (business-to-customer)"
DC020200,DC020200,"Custom computer software - electronically downloaded (business-to-customer)"
DC020300,DC020300,"Custom computer software - load and leave (business-to-customer)"
DC020400,DC020400,"Computer software - (prewritten/canned) physical media (business-to-customer)"
DC020402,DC020402,"Computer software - non-educational - prewritten/canned - physical media (business-to-business)"
DC020500,DC020500,"Computer software - (prewritten/canned) electronically downloaded (business-to-customer)"
DC020501,DC020501,"Computer software - educational - prewritten/canned - electronically downloaded (business-to-business)"
DC020502,DC020502,"Computer software - non-educational - prewritten/canned - electronically downloaded (business-to-customer)"
DC020503,DC020503,"Computer software - non-educational - prewritten/canned - electronically downloaded - (business-to-business)"
DC020600,DC020600,"Computer software - (prewritten/canned) delivered via load and leave (business-to-customer)"
DC060000,DC060000,"Canned software - license renewals  - periodic license-to-use fee on previously purchased software"
DC070000,DC070000,"Cloud/remote storage"
DD020000,DD020000,"Digital goods: designs / plans (digital only -- no physical media)"
DD040000,DD040000,"Digital goods: documentation (other; digital only -- no physical media)"
DG010000,DG010000,"Digital goods: games"
DG010100,DG010100,"Digital goods: games-physical media"
DG010200,DG010200,"Digital goods: games-streaming / electronic download"
DG010201,DG010201,"Games - streaming / electronic download *see additional code description"
DG010300,DG010300,"Games - electronic download - permanent ownership"
DG010301,DG010301,"Games - streaming / electronic download with less than permanent ownership"
DG010302,DG010302,"Games - streaming / electronic download with less than permanent ownership - note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses"
DG020000,DG020000,"Electronically-delivered gift cards"
DI010000,DI010000,"Digital images"
DI010100,DI010100,"Digital images-physical media"
DI010200,DI010200,"Digital images-streaming / electronic download"
DI010201,DI010201,"Digital images - streaming / electronic download *see additional code description"
DL020000,DL020000,"Digital goods: legal documentation (digital only -- no physical media)"
DM010100,DM010100,"Digital magazines (digital version identical to printed version for non-business use)"
DM020000,DM020000,"Digital goods: mailing lists"
DM020100,DM020100,"Digital goods: mailing lists-physical media"
DM020200,DM020200,"Digital goods: mailing lists-streaming / electronic download"
DM030000,DM030000,"Digital goods: movies"
DM030100,DM030100,"Digital goods: movies-physical media"
DM030200,DM030200,"Digital goods: movies-streaming / electronic download"
DM030201,DM030201,"Movies - streaming / electronic download *see additional code description"
DM040000,DM040000,"Digital goods: music"
DM040100,DM040100,"Digital goods: music-physical media"
DM040200,DM040200,"Digital goods: music-streaming / electronic download"
DM040201,DM040201,"Music - streaming / electronic download *see additional code description"
DN010000,DN010000,"Digital newspaper subscription - access to similar content as in the print edition - for non-business use"
DO010000,DO010000,"Other digital goods -- no physical media"
DP010000,DP010000,"Digital goods: photographs"
DP010100,DP010100,"Digital goods: photographs-physical media"
DP010200,DP010200,"Digital goods: photographs-streaming / electronic download"
DP010201,DP010201,"Photographs - streaming / electronic download *see additional code description"
DV010000,DV010000,"Digital goods: videos"
DV010100,DV010100,"Digital goods: videos-physical media"
DV010200,DV010200,"Digital goods: videos-streaming / electronic download"
DV010201,DV010201,"Videos - streaming / electronic download *see additional code description"
DV017194,DV017194,"Video programming streamed over the internet"
DV020000,DV020000,"Digital audio visual works"
DV021007,DV021007,"Digital audio visual works sold to an end user with rights for permanent use"
DV021008,DV021008,"Digital audio visual works (with rights of less than permanent use)"
DV021009,DV021009,"Digital audio visual works (with rights conditioned on continued payments)"
DV021010,DV021010,"Digital audio visual works (with rights of less than permanent use) *see additional avatax system tax code information"
DV029398,DV029398,"Digital audio visual works sold to users other than the end user"
FR000000,FR000000,"Freight"
FR010000,FR010000,"Delivery by company vehicle"
FR010100,FR010100,"Delivery by company vehicle before passage of title"
FR010200,FR010200,"Delivery by company vehicle after passage of title"
FR020000,FR020000,"Shipping only (not paid directly to common carrier)"
FR020100,FR020100,"Shipping only common carrier - fob destination"
FR020200,FR020200,"Shipping only common carrier - fob origin"
FR020400,FR020400,"Shipping only non-common carrier - fob destination"
FR020500,FR020500,"Shipping only non-common carrier - fob origin"
FR020700,FR020700,"Shipping only direct mail-printed material for mass audience delivery"
FR020800,FR020800,"Shipping charges that exceed the actual cost of delivery"
FR020900,FR020900,"Shipping charges that exceed reasonable and prevailing rates"
FR021004,FR021004,"Postage for direct mail"
FR022000,FR022000,"Shipping - non-common carrier - fob origin - customer has option to separately contract for shipping"
FR023000,FR023000,"Shipping - common carrier - fob origin - customer has option to separately contract for shipping"
FR030000,FR030000,"Shipping and handling combined"
FR030100,FR030100,"Common carrier - fob destination"
FR030700,FR030700,"Shipping and handling-direct mail-printed material for mass audience delivery"
FR040000,FR040000,"Electronically delivered"
FR059314,FR059314,"Freight loading or unloading / charge by seller / mandatory"
FR060000,FR060000,"International freight service - canada"
FR070100,FR070100,"Mandatory insurance charges on shipments"
FR999999,FR999999,"Temporary unmapped freight sku - taxable default"
FR,FR,"Shipping only common carrier - fob destination (backward compatibility)"
INTERNAL,INTERNAL,"Avalocal tax rule sync"
NT,NT,"Non-taxable product"
O0000000,O0000000,"Other"
O9999999,O9999999,"Temporary unmapped other sku - taxable default"
OA020000,OA020000,"Admissions"
OA020100,OA020100,"Admissions-amusement parks"
OA020200,OA020200,"Admissions-concerts"
OA020300,OA020300,"Admissions-other (includes entertainment or amusement)"
OA020310,OA020310,"Admissions - adult entertainment"
OA020400,OA020400,"Admissions-sporting events"
OA020401,OA020401,"Admissions - horse race"
OA020402,OA020402,"Admissions - combative sports"
OA020403,OA020403,"Admissions - motorsports"
OA020500,OA020500,"Admissions-other( does not include entertainment or amusement)"
OA020600,OA020600,"Admissions / green fees / municipally owned golf course"
OA020700,OA020700,"Admissions / green fees / privately owned golf course"
OA020800,OA020800,"Admissions - theatrical/cinematic"
OA020801,OA020801,"Admissions - movies"
OA020900,OA020900,"Admissions - service processing fee"
OA020901,OA020901,"Admissions - facility fee"
OA026346,OA026346,"Admissions - billiards, pool or domino parlors"
OA029338,OA029338,"Admissions - participatory sports or games"
OA029339,OA029339,"Admissions - bowling alley"
OA029340,OA029340,"Admissions - bingo game"
OC030000,OC030000,"Coupons (third party)"
OC040000,OC040000,"Convenience fee associated with online reservation"
OC040100,OC040100,"Convenience fee associated with the sale of green fees for municipally owned golf course"
OC040200,OC040200,"Convenience fee associated with the sale of green fees for privately owned golf course"
OD010000,OD010000,"Discounts"
OD010300,OD010300,"Discounts on tpp"
OD010400,OD010400,"Discount - instant-off manufacturer rebate for taxable item only (requires entry of rebate as a negative amount to ensure proper tax calculation)"
OD010500,OD010500,"Automobile sales and lease / manufacturer rebate / rebate assigned to dealer or seller"
OD010501,OD010501,"Automobile sales and lease / manufacturer rebate / rebate sent directly to purchaser"
OD010502,OD010502,"Automobile sales and lease / trade-in credit"
OD020000,OD020000,"Dues/membership fee"
OD020200,OD020200,"Not-associated with the right to purchase tpp (organization type memberships)"
OD020320,OD020320,"Dues/membership - with no transfer of tpp (retail shopping club)"
OD020400,OD020400,"Dues/membership that guarantees transfer of tpp (magazine subscription comes with membership)"
OD020500,OD020500,"Dues (social, fraternal, non-entertainment)"
OD020600,OD020600,"Membership / dues - qualified charitable / non-profit organization - no tpp transferred"
OD030000,OD030000,"Membership discount cards"
OE010100,OE010100,"Exchange/trade-ins of similar items of general merchandise"
OE010207,OE010207,"Outboard motors"
OE010220,OE010220,"Intercompany expenses"
OF020000,OF020000,"Cancellation fees"
OF020001,OF020001,"Cancellation fees - lodging"
OF030000,OF030000,"Expedite fees"
OF040002,OF040002,"Original interest"
OF040003,OF040003,"Re-billed interest"
OF040004,OF040004,"Third-party interest"
OF040005,OF040005,"Late payment / penalty charge associated with recurring debt / extension of credit"
OF050100,OF050100,"Batteries - core charge fee (refundable deposit)"
OF050200,OF050200,"Battery  bulb  and ballast recycling fee (non-refundable stand-alone fee) "
OF060001,OF060001,"Credit card processing fees / charged by seller"
OF070001,OF070001,"Marketplace facilitator fees - fees or commissions charged for facilitated sales of tangible personal property or services other than lodging"
OF080000,OF080000,"Inspection/building/permit fees relating to real property - for repair, installation or maintenance services (no capital improvement) or for non-safety purposes"
OF080001,OF080001,"Inspection/building/permit fees relating to real property - for capital improvements or for safety purposes"
OF090000,OF090000,"Miscellaneous lodging fee - related to room rental"
OF090001,OF090001,"Early arrival/late departure fee"
OF090002,OF090002,"Resort fee"
OF090003,OF090003,"Pet fee"
OF090004,OF090004,"Rollaway/crib fee"
OF090005,OF090005,"Mandatory cleaning fee"
OF090006,OF090006,"In-room equipment fee"
OF100100,OF100100,"Order processing fee"
OF100101,OF100101,"Small cart fee"
OF200100,OF200100,"Automobile sales and lease / optional fees / long-term lease / vehicle guaranteed asset protection (gap) insurance"
OF300000,OF300000,"Solar / homeowner transfer fee"
OF400000,OF400000,"Colorado retail delivery fee"
OH010000,OH010000,"Handling only charges (separately identified from shipping)"
OL010000,OL010000,"License to use real estate (commercial use)"
OM010000,OM010000,"Monetary donation"
ON010000,ON010000,"Non-refundable deposits"
ON010100,ON010100,"Nonrefundable deposit - right to purchase"
ON030000,ON030000,"Non-taxable transaction"
OO028842,OO028842,"Occasional sales"
OR022300,OR022300,"Rental/lease related charges (tangible personal property -- does not include motor vehicles)-royalty fee"
OR040000,OR040000,"Restocking fees"
OR070000,OR070000,"Royalty fees / intangible / fees (periodic payment, one time charge, based on sales etc.) that are paid for the use of someone's patent, copyright, trademark, name etc that has some measurable economic value."
OS011130,OS011130,"Federal excise taxes"
OS031121,OS031121,"Subscriptions to electronically downloaded products"
OT010100,OT010100,"Travel costs (reimbursed)-associated with installation of prewritten software"
OT010300,OT010300,"Reimbursed travel expenses associated with installation or repair of tpp"
OT010400,OT010400,"Reimbursed travel expenses associated with professional services"
OT010600,OT010600,"Reimbursed services and products expenses associated with legal services"
OT030000,OT030000,"Transaction fees"
P0000000,P0000000,"Tangible personal property (tpp)"
P000000H,P000000H,"Tpp purchased with hostess credits - requires entry of hostess credit as a negative amount to ensure proper tax calculation"
P000100H,P000100H,"Taxable tpp purchased entirely with hostess credits"
P9999999,P9999999,"Temporary unmapped tpp sku - taxable default"
PA0000000,PA0000000,"Product / food"
PA0010000,PA0010000,"Prepared food / intended for immediate consumption"
PA0010100,PA0010100,"Prepared food / bakery / seller prepared / intended for immediate consumption"
PA0020000,PA0020000,"Product / food / beverage"
PA0020100,PA0020100,"Product / food / beverage / bottled water"
PA0020200,PA0020200,"Product / food / beverage / prepared beverage"
PA0020201,PA0020201,"Product / food / beverage / prepared beverage / coffee"
PA0020202,PA0020202,"Product / food / beverage / prepared beverage / tea"
PA0030000,PA0030000,"Expired - do not use"
PA0030100,PA0030100,"Expired - do not use"
PA0030200,PA0030200,"Expired - do not use"
PA0030300,PA0030300,"Expired - do not use"
PA0100100,PA0100100,"Product / food / self-service food / salad bar"
PA020003,PA020003,"Fertilizer: food producing plants  / plant food for food producing plants / root tone"
PA020100,PA020100,"Agricultural-commercial use-machinery and equipment"
PA020111,PA020111,"Agricultural-commercial use - plants (food producing, annual)"
PA020113,PA020113,"Agricultural-commercial use - seeds (food producing) - < 25 lbs"
PA020120,PA020120,"Agricultural livestock-commercial use - testing equipment"
PA020121,PA020121,"Agricultural livestock-commercial use - cleaning equipment and supplies"
PA020122,PA020122,"Agricultural livestock-commercial use - livestock equipment"
PA020123,PA020123,"Agricultural livestock-commercial use - vaccine equipment"
PA020225,PA020225,"Agricultural livestock-commercial use - grooming supplies for livestock"
PA020226,PA020226,"Agricultural livestock-commercial use - hygiene supplies for livestock"
PA020227,PA020227,"Agricultural livestock-commercial use - pesticides, insecticides, and herbicides for livestock"
PA020228,PA020228,"Agricultural livestock-commercial use - livestock identification"
PA020229,PA020229,"Agricultural livestock-commercial use - livestock feed"
PA020230,PA020230,"Agricultural livestock-commercial use - safety supplies"
PA020231,PA020231,"Agricultural livestock-commercial use - litter"
PA020300,PA020300,"Agricultural livestock-commercial use - medicine"
PA020301,PA020301,"Agricultural livestock-commercial use - over the counter medicine and supplements"
PA020302,PA020302,"Agricultural livestock-commercial use - prescription medicine"
PA020303,PA020303,"Agricultural livestock-commercial use - prescription medicine - sold to veterinarians"
PA020304,PA020304,"Agricultural livestock-commercial use - vaccines - sold to veterinarians"
PA020400,PA020400,"Agricultural livestock-commercial use - medical supplies"
PA020401,PA020401,"Agricultural livestock-commercial use - vaccine stabilizers"
PA020402,PA020402,"Agricultural livestock-commercial use - needles & syringes and related equipment"
PA020659,PA020659,"Food producing seeds (vegetable / herb / fruit)"
PA020661,PA020661,"Bulbs fruit and vegetable (onions /  potatoes)"
PA020662,PA020662,"Food producing woody plants"
PA020664,PA020664,"Insecticides / fungicides for food producing plants"
PA020665,PA020665,"Flower seeds"
