"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"syscebnl_tva_sale_18","18%","","","18.0","percent","sale","syscebnl_tax_group_18","base","invoice","","base_sale_18","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_sale_18","","","","",""
"","","","","","","","","base","refund","","base_sale_18","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_sale_18","","","","",""
"syscebnl_tva_purchase_18","18%","","","18.0","percent","purchase","syscebnl_tax_group_18","base","invoice","","base_purchase","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","base","refund","","base_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","tax_purchase","","","","",""
"syscebnl_tva_sale_9","9%","","","9.0","percent","sale","syscebnl_tax_group_9","base","invoice","","base_sale_9","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_sale_9","","","","",""
"","","","","","","","","base","refund","","base_sale_9","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_sale_9","","","","",""
"syscebnl_tva_purchase_9","9%","","","9.0","percent","purchase","syscebnl_tax_group_9","base","invoice","","base_purchase","","","","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","base","refund","","base_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","tax_purchase","","","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","export","","","0% (exportation)","syscebnl_fiscal_position_template_2","syscebnl_tva_sale_9,syscebnl_tva_sale_18"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","export","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"syscebnl_tva_import_18","18% EX","18% (import)","","18.0","","purchase","syscebnl_tax_group_18","base","invoice","","base_sale_18rc||base_purchase","","","18% (importation)","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_18"
"","","","","","","","","tax","invoice","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_sale_18","-100","","","",""
"","","","","","","","","base","refund","","base_sale_18rc||base_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_sale_18","-100","","","",""
"syscebnl_tva_import_9","9% EX","9% (import)","","9.0","","purchase","syscebnl_tax_group_9","base","invoice","","base_sale_9rc||base_purchase","","","9% (importation)","syscebnl_fiscal_position_template_2","syscebnl_tva_purchase_9"
"","","","","","","","","tax","invoice","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_sale_9","-100","","","",""
"","","","","","","","","base","refund","","base_sale_9rc||base_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_sale_9","-100","","","",""
"syscebnl_tva_self_delivery_18","18% SD","18% (self delivery)","False","18.0","","purchase","syscebnl_tax_group_18","base","invoice","","base_self_18||base_purchase","","18% LASM","18% (livraison à soi-même)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_self_18","-100","","","",""
"","","","","","","","","base","refund","","base_self_18||base_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_self_18","-100","","","",""
"syscebnl_tva_self_delivery_9","9% SD","9% (self delivery)","False","9.0","","purchase","syscebnl_tax_group_9","base","invoice","","base_self_9||base_purchase","","9% LASM","9% (livraison à soi-même)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","invoice","syscebnl_443","tax_self_9","-100","","","",""
"","","","","","","","","base","refund","","base_self_9||base_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_445","tax_purchase","","","","",""
"","","","","","","","","tax","refund","syscebnl_443","tax_self_9","-100","","","",""
"syscebnl_tva_exempt_legal_0","0% LEG","0% (legally exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","sale_exempt_legal","","","0% (exonérées légales)","syscebnl_fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
