"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@sl"
"gd_fp_do","Domestic partner","20","1","1","base.si","","","","","","Domači partner"
"gd_fp_do_no_vat","Domestic partner (non VAT)","25","1","","base.si","","","","","","Domači partner (brez DDV)"
"gd_fp_eu","Partner EU","30","1","1","","base.europe","gd_taxr_3","gd_taxe_out_0_eu_goods_1","gd_acc_120000","gd_acc_121000","Partner EU"
"","","","","","","","gd_taxr_2","gd_taxe_out_0_eu_goods_1","","",""
"","","","","","","","l10n_si_vat_5_sale","gd_taxe_out_0_eu_goods_1","","",""
"","","","","","","","gd_taxp_3","gd_taxe_in_22_eu_goods_1","","",""
"","","","","","","","gd_taxp_2","gd_taxe_in_95_eu_goods_1","","",""
"","","","","","","","gd_taxe_out_22_no_service_1","gd_taxe_out_0_eu_service_1","","",""
"","","","","","","","gd_taxe_out_95_no_service_1","gd_taxe_out_0_eu_service_1","","",""
"","","","","","","","gd_taxe_out_5_no_service_1","gd_taxe_out_0_eu_service_1","","",""
"","","","","","","","gd_taxe_in_22_no_service_1","l10n_si_vat_22_purchase_services_eu","","",""
"","","","","","","","gd_taxe_in_95_no_service_1","gd_taxe_in_95_no_service_1","","",""
"","","","","","","","l10n_si_vat_5_purchase","l10n_si_vat_5_purchase_goods_eu","","",""
"","","","","","","","","","gd_acc_220000","gd_acc_221000",""
"","","","","","","","","","gd_acc_760000","gd_acc_761000",""
"","","","","","","","","","gd_acc_762000","gd_acc_763000",""
"","","","","","","","","","gd_acc_230000","gd_acc_230100",""
"gd_fp_do1","EU partner without MS","30","1","","","base.europe","","","gd_acc_120000","gd_acc_121000","Partner EU brez DŠ"
"","","","","","","","","","gd_acc_760000","gd_acc_761000",""
"","","","","","","","","","gd_acc_762000","gd_acc_763000",""
"","","","","","","","","","gd_acc_220000","gd_acc_221000",""
"","","","","","","","","","gd_acc_230000","gd_acc_230100",""
"gd_fp_ne","3. World Partner","40","1","","","","gd_taxp_3","gd_taxe_in_22_3w_goods_1","gd_acc_120000","gd_acc_121000","Partner 3. svet"
"","","","","","","","gd_taxp_2","gd_taxe_in_95_3w_goods_1","","",""
"","","","","","","","gd_taxr_3","gd_taxe_out_0_3w_goods_1","","",""
"","","","","","","","gd_taxr_2","gd_taxe_out_0_3w_goods_1","","",""
"","","","","","","","gd_taxe_out_95_no_service_1","gd_taxe_out_0_3w_service_1","","",""
"","","","","","","","gd_taxe_out_22_no_service_1","gd_taxe_out_0_3w_service_1","","",""
"","","","","","","","gd_taxe_out_5_no_service_1","gd_taxe_out_0_3w_service_1","","",""
"","","","","","","","l10n_si_vat_5_sale","gd_taxe_out_0_3w_goods_1","","",""
"","","","","","","","gd_taxe_in_22_no_service_1","gd_taxe_in_22_3w_service_1","","",""
"","","","","","","","gd_taxe_in_95_no_service_1","gd_taxe_in_95_3w_service_1","","",""
"","","","","","","","","","gd_acc_220000","gd_acc_221000",""
"","","","","","","","","","gd_acc_760000","gd_acc_761000",""
"",""," ","","","","","","","gd_acc_762000","gd_acc_763000",""
"","","","","","","","","","gd_acc_230000","gd_acc_230100",""
