"id","sequence","invoice_label","description","name","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@sl"
"gd_taxr_1","30","0%","0% output VAT - deductible","0% D","0.00","percent","sale","tax_group_0","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 0% - s pravico do odbitka"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxr_2","20","9,5%","9.5% output VAT - goods","9.5% G","9.50","percent","sale","tax_group_95","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 9,5% - blago"
"","","","","","","","","","","100.00","tax","invoice","+22||+ir_15a","gd_acc_260010",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-22||-ir_15a","gd_acc_260010",""
"gd_taxr_3","10","22%","22% Output VAT - goods","22% G","22.00","percent","sale","tax_group_22","","100.00","base","invoice","+11||+ir_7","","Izstopni DDV 22% - blago"
"","","","","","","","","","","100.00","tax","invoice","+21||+ir_14","gd_acc_260000",""
"","","","","","","","","","","100.00","base","refund","-11||-ir_7","",""
"","","","","","","","","","","100.00","tax","refund","-21||-ir_14","gd_acc_260000",""
"gd_taxp_1","60","0%","0% input VAT - does not go on the books","0% Not in Books","0.00","percent","purchase","tax_group_0","","100.00","base","invoice","","","Vstopni DDV 0% - ne gre v knjigo"
"","","","","","","","","","","100.00","tax","invoice","","",""
"","","","","","","","","","","100.00","base","refund","","",""
"","","","","","","","","","","100.00","tax","refund","","",""
"gd_taxp_2","50","9,5%","Input VAT 9.5% - goods","9.5% G","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 9,5% - blago"
"","","","","","","","","","","100.00","tax","invoice","+42||+pr_19","gd_acc_160010",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-42||-pr_19","gd_acc_160010",""
"gd_taxp_3","40","22%","22% input VAT - goods","22% G","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 22% - blago"
"","","","","","","","","","","100.00","tax","invoice","+41||+pr_18","gd_acc_160000",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-41||-pr_18","gd_acc_160000",""
"gd_taxp_nr_1","70","9,5%","9.5% input VAT - non-deductible - goods","9.5% ND G","9.50","percent","purchase","tax_group_95","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 9,5% - neodbitni - blago"
"","","","","","","","","","","100.00","tax","invoice","+pr_17b","",""
"","","","","","","","","","","100.00","base","refund","-31||-pr_8a","",""
"","","","","","","","","","","100.00","tax","refund","-pr_17b","",""
"gd_taxp_nr_2","80","22%","22% input VAT - non-deductible - goods","22% ND G","22.00","percent","purchase","tax_group_22","","100.00","base","invoice","+31||+pr_8a","","Vstopni DDV 22% - neodbitni - blago"
