"id","code","account_type","name","reconcile","non_trade","name@sl"
"gd_acc_000000","000000","asset_non_current","Good name","False","","Dobro ime"
"gd_acc_002000","002000","asset_non_current","Deferred development costs","False","","Odloženi stroški razvijanja"
"gd_acc_003000","003000","asset_non_current","Property and other rights","False","","Premoženjske in druge pravice"
"gd_acc_005000","005000","asset_fixed","Other intangible assets","False","","Druga neopredmetena sredstva"
"gd_acc_007000","007000","asset_non_current","Long-term active accruals","False","","Dolgoročne aktivne časovne razmejitve"
"gd_acc_008000","008000","asset_non_current","Amortisation adjustment to intangible assets","False","","Popravek vrednosti neopredmetenih sredstev zaradi amortiziranja"
"gd_acc_009000","009000","asset_non_current","Impairment of intangible assets","False","","Oslabitev vrednosti neopredmetenih sredstev"
"gd_acc_010000","010000","asset_non_current","Investment property valued according to the cost model","False","","Naložbene nepremičnine, vrednotene po modelu nabavne vrednosti"
"gd_acc_011000","011000","asset_non_current","Investment property valued using the fair value model","False","","Naložbene nepremičnine, vrednotene po modelu poštene vrednosti"
"gd_acc_015000","015000","asset_non_current","Allowance for depreciation of investment property","False","","Popravek vrednosti naložbenih nepremičnin zaradi amortiziranja"
"gd_acc_017000","017000","asset_non_current","Investment property under construction or development","False","","Naložbene nepremičnine v gradnji oziroma izdelavi"
"gd_acc_019000","019000","asset_non_current","Impairment of investment property","False","","Oslabitev vrednosti naložbenih nepremičnin"
"gd_acc_020000","020000","asset_fixed","Land valued using the cost model","False","","Zemljišča, vrednotena po modelu nabavne vrednosti"
"gd_acc_021000","021000","asset_fixed","Buildings valued using the cost model","False","","Zgradbe, vrednotene po modelu nabavne vrednosti"
"gd_acc_021100","021100","asset_fixed","Buildings - leasing","False","","Zgradbe - leasing"
"gd_acc_022000","022000","asset_fixed","Land valued using the revaluation model","False","","Zemljišča, vrednotena po modelu revaloriziranja"
"gd_acc_022100","022100","asset_fixed","Land valued according to the revaluation model","False","","Zemljišča, vrednotena po modelu prevrednotenja"
"gd_acc_023000","023000","asset_fixed","Buildings valued according to the revaluation model","False","","Zgradbe, vrednotene po modelu revaloriziranja"
"gd_acc_026000","026000","asset_fixed","Investing in foreign-owned real estate","False","","Vlaganja v nepremičnine  v tuji lasti"
"gd_acc_027000","027000","asset_fixed","Real estate under construction or construction","False","","Nepremičnine v gradnji oziroma izdelavi"
"gd_acc_031000","031000","asset_fixed","Impairment of land value","False","","Oslabitev vrednosti zemljišč"
"gd_acc_032000","032000","asset_fixed","Correction of the value of land (quarries, waste disposal sites) due to depreciation","False","","Popravek vrednosti zemljišč (kamnolomov, odlagališč odpadkov) zaradi amortiziranja"
"gd_acc_035000","035000","asset_fixed","Correction of the value of buildings due to depreciation","False","","Popravek vrednosti zgradb zaradi amortiziranja"
"gd_acc_035100","035100","asset_fixed","Correction of the value of buildings - leasing","False","","Popravek vrednosti zgradb - leasing"
"gd_acc_036000","036000","asset_fixed","Correction of the value of investments in foreign-owned real estate","False","","Popravek vrednosti vlaganj v nepremičnine v tuji lasti"
"gd_acc_039000","039000","asset_fixed","Impairment of value of buildings","False","","Oslabitev vrednosti zgradb"
"gd_acc_040000","040000","asset_fixed","Equipment and spare parts valued according to the cost model","False","","Oprema in nadomestni deli, vrednoteni po modelu nabavne vrednosti"
