"id","code_prefix_start","name","name@sl"
"gd_acc_group_0","0","Long-term assets","Dolgoročna sredstva"
"gd_acc_group_00","00","Intangible assets and long-term accrued costs and deferred revenue","Neopredmetena sredstva in dolgoročne pasivne časovne razmejitve"
"gd_acc_group_01","01","Investment property","Naložbene nepremičnine"
"gd_acc_group_02","02","Real estate","Nepremičnina"
"gd_acc_group_03","03","Impairment and impairment of real estate","Oslabitev in slabitev nepremičnin"
"gd_acc_group_04","04","Equipment and other tangible fixed assets","Oprema in druga opredmetena osnovna sredstva"
"gd_acc_group_05","05","Adjustment and impairment of equipment and other property, plant and equipment","Prilagoditev in oslabitev opreme in drugih opredmetenih osnovnih sredstev"
"gd_acc_group_06","06","Long-term financial investments, except loans","Dolgoročne finančne naložbe, razen posojil"
"gd_acc_group_07","07","Long-term loans and receivables given for unpaid called-up capital","Dolgoročna posojila in terjatve, dana za nevplačan vpoklicani kapital"
"gd_acc_group_08","08","Long-term operating receivables","Dolgoročne poslovne terjatve"
"gd_acc_group_09","09","Deferred tax assets","Odložene terjatve za davek"
"gd_acc_group_1","1","Short-term assets, except inventories, and short-term accrued and deferred income","Kratkoročna sredstva, razen zalog, ter kratkoročne pasivne časovne razmejitve"
"gd_acc_group_10","10","Cash on hand and immediately realizable securities","Gotovina v blagajni in takoj unovčljivi vrednostni papirji"
"gd_acc_group_11","11","Balances with banks and other financial institutions","Stanja pri bankah in drugih finančnih institucijah"
"gd_acc_group_12","12","Short-term trade receivables","Kratkoročne terjatve do kupcev"
"gd_acc_group_13","13","Short-term advances and securities given","Kratkoročni predujmi in dane varščine"
"gd_acc_group_14","14","Short-term operating receivables for a foreign account","Kratkoročne poslovne terjatve za tuj račun"
"gd_acc_group_15","15","Short-term receivables related to financial income","Kratkoročne terjatve iz finančnih prihodkov"
"gd_acc_group_16","16","Other short-term receivables","Druge kratkoročne terjatve"
"gd_acc_group_17","17","Short-term financial investments, except loans","Kratkoročne finančne naložbe, razen posojil"
"gd_acc_group_18","18","Short-term loans and short-term receivables for unpaid capital","Kratkoročna posojila in kratkoročne terjatve za nevplačan kapital"
"gd_acc_group_19","19","Short-term accrued costs and deferred revenue","Kratkoročne pasivne časovne razmejitve"
