id,chart_template_id:id,code,name,account_type,reconcile
au_11110,l10n_au.l10n_au_chart_template,11110,Bank,asset_cash,FALSE
au_11130,l10n_au.l10n_au_chart_template,11130,Petty Cash,asset_cash,FALSE
au_11140,l10n_au.l10n_au_chart_template,11140,Cash Drawer,asset_cash,FALSE
au_11180,l10n_au.l10n_au_chart_template,11180,Undeposited Funds,asset_current,TRUE
au_11190,l10n_au.l10n_au_chart_template,11190,Electronic Clearing,asset_current,TRUE
au_11200,l10n_au.l10n_au_chart_template,11200,Trade Debtors,asset_receivable,TRUE
au_11201,l10n_au.l10n_au_chart_template,11201,Trade Debtors (PoS),asset_receivable,TRUE
au_11210,l10n_au.l10n_au_chart_template,11210,Less Prov'n for Doubtful Debts,asset_current,FALSE
au_11310,l10n_au.l10n_au_chart_template,11310,Raw Materials,asset_current,FALSE
au_11320,l10n_au.l10n_au_chart_template,11320,Finished Goods,asset_current,FALSE
au_11330,l10n_au.l10n_au_chart_template,11330,Trading Stock on Hand,asset_current,FALSE
au_11340,l10n_au.l10n_au_chart_template,11340,Goods Shipped Not Invoiced,asset_current,FALSE
au_12100,l10n_au.l10n_au_chart_template,12100,Deposits Paid,asset_prepayments,FALSE
au_12200,l10n_au.l10n_au_chart_template,12200,Prepaid Insurance,asset_current,FALSE
au_13110,l10n_au.l10n_au_chart_template,13110,Manufacturing Plant at Cost,asset_fixed,FALSE
au_13120,l10n_au.l10n_au_chart_template,13120,Manufac. Plant Accum Dep,asset_fixed,FALSE
au_13130,l10n_au.l10n_au_chart_template,13130,Manufacturing Equipment Cost,asset_fixed,FALSE
au_13140,l10n_au.l10n_au_chart_template,13140,Manufac. Equip Accum Dep,asset_fixed,FALSE
au_13210,l10n_au.l10n_au_chart_template,13210,Furniture & Fixtures at Cost,asset_fixed,FALSE
au_13220,l10n_au.l10n_au_chart_template,13220,Furniture & Fixtures Accum Dep,asset_fixed,FALSE
au_13310,l10n_au.l10n_au_chart_template,13310,Office Equip at Cost,asset_fixed,FALSE
au_13320,l10n_au.l10n_au_chart_template,13320,Office Equip Accum Dep,asset_fixed,FALSE
au_13410,l10n_au.l10n_au_chart_template,13410,Motor Vehicles at Cost,asset_fixed,FALSE
au_13420,l10n_au.l10n_au_chart_template,13420,Motor Vehicles Accum Dep,asset_fixed,FALSE
au_21110,l10n_au.l10n_au_chart_template,21110,Credit Card,liability_current,FALSE
au_21200,l10n_au.l10n_au_chart_template,21200,Trade Creditors,liability_payable,TRUE
au_21210,l10n_au.l10n_au_chart_template,21210,A/P Accrual - Inventory,liability_current,FALSE
au_21310,l10n_au.l10n_au_chart_template,21310,GST Collected,liability_current,FALSE
au_21330,l10n_au.l10n_au_chart_template,21330,GST Paid,asset_current,FALSE
au_21350,l10n_au.l10n_au_chart_template,21350,Fuel Tax Credits Accrued,liability_current,FALSE
au_21355,l10n_au.l10n_au_chart_template,21355,WET Payable,liability_current,FALSE
au_21360,l10n_au.l10n_au_chart_template,21360,Import Duty Payable,liability_current,FALSE
au_21370,l10n_au.l10n_au_chart_template,21370,Voluntary Withholdings Payable,liability_current,FALSE
au_21380,l10n_au.l10n_au_chart_template,21380,ABN Withholdings Payable,liability_current,FALSE
au_21410,l10n_au.l10n_au_chart_template,21410,Payroll Accruals Payable,liability_current,FALSE
au_21420,l10n_au.l10n_au_chart_template,21420,PAYG Withholding Payable,liability_current,FALSE
au_21600,l10n_au.l10n_au_chart_template,21600,Customer Deposits,liability_current,FALSE
au_21700,l10n_au.l10n_au_chart_template,21700,Other Current Liabilities,liability_current,FALSE
au_22100,l10n_au.l10n_au_chart_template,22100,Mortgages Payable,liability_non_current,FALSE
au_22200,l10n_au.l10n_au_chart_template,22200,Notes Payable,liability_non_current,FALSE
au_22300,l10n_au.l10n_au_chart_template,22300,Other Long Term Liabilities,liability_non_current,FALSE
au_31100,l10n_au.l10n_au_chart_template,31100,Capital Investment,equity,FALSE
au_31200,l10n_au.l10n_au_chart_template,31200,Capital Drawings,equity,FALSE
au_38000,l10n_au.l10n_au_chart_template,38000,Retained Earnings,equity,FALSE
au_39000,l10n_au.l10n_au_chart_template,39000,Current Year Earnings,equity_unaffected,FALSE
au_39999,l10n_au.l10n_au_chart_template,39999,Historical Balancing,equity,FALSE
au_41110,l10n_au.l10n_au_chart_template,41110,Sales Product #1,income,FALSE
au_41120,l10n_au.l10n_au_chart_template,41120,Sales Product #2,income,FALSE
au_41130,l10n_au.l10n_au_chart_template,41130,Sales Product #3,income,FALSE
au_42000,l10n_au.l10n_au_chart_template,42000,Wholesale Sales,income,FALSE
au_43000,l10n_au.l10n_au_chart_template,43000,Consignment Sales,income,FALSE
au_44000,l10n_au.l10n_au_chart_template,44000,Freight Income,income,FALSE
au_45000,l10n_au.l10n_au_chart_template,45000,Late Fees Collected,income_other,FALSE
au_46000,l10n_au.l10n_au_chart_template,46000,Miscellaneous Income,income_other,FALSE
au_47000,l10n_au.l10n_au_chart_template,47000,Fuel Tax Credits,income_other,FALSE
au_51110,l10n_au.l10n_au_chart_template,51110,Cost of Goods Sold #1,expense_direct_cost,FALSE
au_51120,l10n_au.l10n_au_chart_template,51120,Cost of Goods Sold # 2,expense_direct_cost,FALSE
au_51130,l10n_au.l10n_au_chart_template,51130,Cost of Goods Sold # 3,expense_direct_cost,FALSE
au_52000,l10n_au.l10n_au_chart_template,52000,Wholesale Cost of Sales,expense_direct_cost,FALSE
