"id","name","sequence","description","invoice_label","type_tax_use","amount_type","amount","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids"
"nz_tax_sale_15","15%","1","Sale (15%)","GST Sales (15%)","sale","percent","15.0","tax_group_gst_15","base","invoice","BOX 5","","l10n_nz_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","BOX 5","nz_21310","",""
"","","","","","","","","","base","refund","BOX 5","","",""
"","","","","","","","","","tax","refund","BOX 5","nz_21310","",""
"nz_tax_sale_0","0% EX","3","Zero/Export (0%) Sale","Zero Rated (Export) Sales","sale","percent","0.0","tax_group_0","base","invoice","BOX 5||BOX 6","","fiscal_position_os_partner","nz_tax_sale_15"
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","BOX 5||BOX 6","","",""
"","","","","","","","","","tax","refund","","","",""
"nz_tax_purchase_15","15%","1","Purch (15%)","GST Purchases (15%)","purchase","percent","15.0","tax_group_gst_15","base","invoice","BOX 11","","l10n_nz_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","BOX 11","nz_21330","",""
"","","","","","","","","","base","refund","BOX 11","","",""
"","","","","","","","","","tax","refund","BOX 11","nz_21330","",""
"nz_tax_purchase_0","0% F","3","Zero/Import (0%) Purch","GST Free Purchases","purchase","percent","0.0","tax_group_0","base","invoice","","","fiscal_position_os_partner","nz_tax_purchase_15"
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","","","",""
"","","","","","","","","","tax","refund","","","",""
"nz_tax_purchase_taxable_import","0% TPS","4","Purch (Imports Taxable)","Purchase (Taxable Imports) - Tax Paid Separately","purchase","percent","0.0","tax_group_0","base","invoice","","","fiscal_position_os_partner",""
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","","","",""
"","","","","","","","","","tax","refund","","","",""
"nz_tax_purchase_gst_only","100% ONLY","5","GST Only - Imports","GST Only on Imports","purchase","division","100.0","tax_group_100","base","invoice","","","l10n_nz_domestic_fiscal_position",""
"","","","","","","","","","tax","invoice","BOX 13","nz_21330","",""
"","","","","","","","","","base","refund","","","",""
"","","","","","","","","","tax","refund","BOX 13","nz_21330","",""
