id,name,chart_template_id/id,code,user_type_id/id,reconcile
egy_account_100101,Right of use Asset (IFRS 16),l10n_eg.egypt_chart_template_standard,100101,account.data_account_type_fixed_assets,False
egy_account_100102,Accumulated Depreciation right use asset (IFRS 16),l10n_eg.egypt_chart_template_standard,100102,account.data_account_type_fixed_assets,False
egy_account_100103,VAT Receivable,l10n_eg.egypt_chart_template_standard,100103,account.data_account_type_non_current_assets,False
egy_account_101004,Outstanding Receipts,l10n_eg.egypt_chart_template_standard,101004,account.data_account_type_current_assets,False
egy_account_101005,Main Safe,l10n_eg.egypt_chart_template_standard,101005,account.data_account_type_current_assets,False
egy_account_101006,Main Safe - Foreign Currency,l10n_eg.egypt_chart_template_standard,101006,account.data_account_type_current_assets,False
egy_account_101007,Visa & Master Credit Cards,l10n_eg.egypt_chart_template_standard,101007,account.data_account_type_current_assets,False
egy_account_101008,Gateway Credit Cards,l10n_eg.egypt_chart_template_standard,101008,account.data_account_type_current_assets,False
egy_account_101009,Manual Visa & Master Cards,l10n_eg.egypt_chart_template_standard,101009,account.data_account_type_current_assets,False
egy_account_101010,PayPal Account,l10n_eg.egypt_chart_template_standard,101010,account.data_account_type_current_assets,False
egy_account_102011,Accounts Receivable,l10n_eg.egypt_chart_template_standard,102011,account.data_account_type_receivable,True
egy_account_102012,Accounts Receivable (PoS),l10n_eg.egypt_chart_template_standard,102012,account.data_account_type_receivable,True
egy_account_102013,Post Dated Cheques Received,l10n_eg.egypt_chart_template_standard,102013,account.data_account_type_current_assets,False
egy_account_102014,Other Receivable,l10n_eg.egypt_chart_template_standard,102014,account.data_account_type_current_assets,False
egy_account_102015,Other Debtors,l10n_eg.egypt_chart_template_standard,102015,account.data_account_type_current_assets,False
egy_account_103016,Shipment Insurance,l10n_eg.egypt_chart_template_standard,103016,account.data_account_type_current_assets,False
egy_account_103017,Shipments Documentation Charges,l10n_eg.egypt_chart_template_standard,103017,account.data_account_type_current_assets,False
egy_account_103018,Shipment Other Charges,l10n_eg.egypt_chart_template_standard,103018,account.data_account_type_current_assets,False
egy_account_103019,Handling Difference in Inventory,l10n_eg.egypt_chart_template_standard,103019,account.data_account_type_current_assets,False
egy_account_103020,Items Delivered to Customs on temprary Base,l10n_eg.egypt_chart_template_standard,103020,account.data_account_type_current_assets,False
egy_account_104021,Prepaid Medical Insurance,l10n_eg.egypt_chart_template_standard,104021,account.data_account_type_current_assets,False
egy_account_104022,Prepaid Life Insurance,l10n_eg.egypt_chart_template_standard,104022,account.data_account_type_current_assets,False
egy_account_104023,Prepaid Office Rent,l10n_eg.egypt_chart_template_standard,104023,account.data_account_type_current_assets,False
egy_account_104024,Prepaid Other Insurance,l10n_eg.egypt_chart_template_standard,104024,account.data_account_type_current_assets,False
egy_account_104025,Prepaid License Fees,l10n_eg.egypt_chart_template_standard,104025,account.data_account_type_current_assets,False
egy_account_104026,Prepaid Maintenance,l10n_eg.egypt_chart_template_standard,104026,account.data_account_type_current_assets,False
egy_account_104027,Prepaid Site Hosting Fees,l10n_eg.egypt_chart_template_standard,104027,account.data_account_type_current_assets,False
