"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids"
"sale_tax_template","15%","","","15","sale","tax_group_15","invoice","100","base","","template_generic_domestic_fiscal_position",""
"","","","","","","","invoice","100","tax","tax_received","",""
"","","","","","","","refund","100","base","","",""
"","","","","","","","refund","100","tax","tax_received","",""
"purchase_tax_template","15%","","","15","purchase","tax_group_15","invoice","100","base","","template_generic_domestic_fiscal_position",""
"","","","","","","","invoice","100","tax","tax_paid","",""
"","","","","","","","refund","100","base","","",""
"","","","","","","","refund","100","tax","tax_paid","",""
"sale_export_tax_template","0% Exports","","","0","sale","tax_group_0","invoice","100","base","","template_generic_export_fiscal_position","sale_tax_template"
"","","","","","","","invoice","100","tax","","",""
"","","","","","","","refund","100","base","","",""
"","","","","","","","refund","100","tax","","",""
"purchase_import_tax_template","0% Imports","","","0","purchase","tax_group_0","invoice","100","base","","template_generic_export_fiscal_position","purchase_tax_template"
"","","","","","","","invoice","100","tax","","",""
"","","","","","","","refund","100","base","","",""
"","","","","","","","refund","100","tax","","",""
