"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@el","description@tr","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"VAT_S_IN_CY_19_G","1","Standard rate of 19% for goods sold in country","19%","19%","19.0","percent","sale","tax_group_19","100","base","invoice","6","","Τυπικός συντελεστής 19% για προϊόντα που πωλούνται στη χώρα","Ülkede satılan mallar için %19'luk standart oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_S_IN_CY_19_S","2","Standard rate of 19% for services sold in country","19% S","19% S","19.0","percent","sale","tax_group_19","100","base","invoice","6","","Τυπικός συντελεστής 19% για υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan hizmetler için %19'luk standart oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_P_IN_CY_19_G","3","Standard rate of 19% for goods purchased in country","19%","19%","19.0","percent","purchase","tax_group_19","100","base","invoice","7","","Τυπικός συντελεστής 19% για αγαθά που αγοράζονται στη χώρα","Ülkede satın alınan mallar için %19'luk standart oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_P_IN_CY_19_S","4","Standard rate of 19% for services purchased in country","19% S","19% S","19.0","percent","purchase","tax_group_19","100","base","invoice","7","","Τυπικός συντελεστής 19% για υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan hizmetler için %19'luk standart oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_S_IN_CY_9_G","5","Standard rate of 9% for goods sold in country","9%","9%","9.0","percent","sale","tax_group_9","100","base","invoice","6","","Τυπικός συντελεστής 9% για προϊόντα που πωλούνται στη χώρα","Ülkede satılan mallar için %9'luk standart oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_S_IN_CY_9_S","6","Reduced rate of 9% for services sold in country","9% S","9% S","9.0","percent","sale","tax_group_9","100","base","invoice","6","","Μειωμένο ποσοστό 9% για υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan hizmetler için %9'luk indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_P_IN_CY_9_G","7","Reduced rate of 9% for goods purchased in country","9%","9%","9.0","percent","purchase","tax_group_9","100","base","invoice","7","","Μειωμένο ποσοστό 9% για αγαθά που αγοράζονται στη χώρα","Ülkede satın alınan mallar için indirimli oran %9","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_P_IN_CY_9_S","8","Reduced rate of 9% for services purchased in country","9% S","9% S","9.0","percent","purchase","tax_group_9","100","base","invoice","7","","Μειωμένο ποσοστό 9% για υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan hizmetler için %9 indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_S_IN_CY_5_G","9","Reduced rate of 5% for goods sold in country","5%","5%","5.0","percent","sale","tax_group_5","100","base","invoice","6","","Μειωμένος συντελεστής 5% για προϊόντα που πωλούνται στη χώρα","Ülkede satılan mallar için %5 indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_S_IN_CY_5_S","10","Reduced rate of 5% for services sold in country","5% S","5% S","5.0","percent","sale","tax_group_5","100","base","invoice","6","","Μειωμένο ποσοστό 5% για υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan hizmetler için %5 indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_P_IN_CY_5_G","11","Reduced rate of 5% for goods purchased in country","5%","5%","5.0","percent","purchase","tax_group_5","100","base","invoice","7","","Μειωμένο ποσοστό 5% για προϊόντα που αγοράζονται στη χώρα","Ülkede satın alınan mallar için %5 indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_P_IN_CY_5_S","12","Reduced rate of 5% for services purchased in country","5% S","5% S","5.0","percent","purchase","tax_group_5","100","base","invoice","7","","Μειωμένο ποσοστό 5% για υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan hizmetler için %5 indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_S_IN_CY_3_G","13","Reduced rate of 3% for goods sold in country","3%","3%","3.0","percent","sale","tax_group_3","100","base","invoice","6","","Μειωμένος συντελεστής 3% για προϊόντα που πωλούνται στη χώρα","Ülkede satılan mallar için indirimli oran %3","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_S_IN_CY_3_S","14","Reduced rate of 3% for services sold in country","3% S","3% S","3.0","percent","sale","tax_group_3","100","base","invoice","6","","Μειωμένο ποσοστό 3% για υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan hizmetler için %3'lük indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","1","cy_2201","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","1","cy_2201","","","","",""
"VAT_P_IN_CY_3_G","15","Reduced rate of 3% for goods purchased in country","3%","3%","3.0","percent","purchase","tax_group_3","100","base","invoice","7","","Μειωμένο ποσοστό 3% για προϊόντα που αγοράζονται στη χώρα","Ülkede satın alınan mallar için indirimli oran %3","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_P_IN_CY_3_S","16","Reduced rate of 3% for services purchased in country","3% S","3% S","3.0","percent","purchase","tax_group_3","100","base","invoice","7","","Μειωμένο ποσοστό 3% για υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan hizmetler için %3 indirimli oran","fiscal_position_cy_person_private,fiscal_position_cy_national","",""
"","","","","","","","","","100","tax","invoice","4","cy_2202","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2202","","","","",""
"VAT_S_IN_CY_0","17","Zero rate for goods and services sold in country","0%","0%","0.0","percent","sale","tax_group_0","100","base","invoice","6","","Μηδενικός συντελεστής για αγαθά και υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan mal ve hizmetler için sıfır oran","fiscal_position_cy_national,fiscal_position_cy_person_private","",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"VAT_P_IN_CY_0","18","Zero rate for goods and services purchased in country","0%","0%","0.0","percent","purchase","tax_group_0","100","base","invoice","7","","Μηδενικός συντελεστής για αγαθά και υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan mal ve hizmetler için sıfır oran","fiscal_position_cy_national,fiscal_position_cy_person_private","",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"RC_S_IN_CY","19","Reverse charge rate for goods and services sold in country","19% RC","19% RC","19.0","percent","sale","tax_group_19","100","base","invoice","6","","Ποσοστό αντίστροφης χρέωσης για αγαθά και υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan mal ve hizmetler için ters ücret oranı","fiscal_position_cy_national,fiscal_position_cy_person_private","",""
"","","","","","","","","","100","tax","invoice","","cy_2203","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","","cy_2203","","","","",""
"RC_P_IN_CY","20","Reverse charge rate for goods and services purchased in country","19% RC","19% RC","19.0","percent","purchase","tax_group_19","100","base","invoice","7","","Ποσοστό αντίστροφης χρέωσης για αγαθά και υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan mal ve hizmetler için ters ücret oranı","fiscal_position_cy_national,fiscal_position_cy_person_private","",""
"","","","","","","","","","100","tax","invoice","4","cy_2204","","","","",""
"","","","","","","","","","-100","tax","invoice","1","cy_2204","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","4","cy_2203","","","","",""
"","","","","","","","","","-100","tax","refund","1","cy_2203","","","","",""
"EXEMPT_S","21","Exempt rate for goods and services sold in country","0% E","0% E","0.0","percent","sale","tax_group_0","100","base","invoice","6","","Ποσοστό απαλλαγής για αγαθά και υπηρεσίες που πωλούνται στη χώρα","Ülkede satılan mal ve hizmetler için muafiyet oranı","fiscal_position_cy_exempt","VAT_S_IN_CY_19_S,VAT_S_IN_CY_5_S,VAT_S_IN_CY_9_S,VAT_S_IN_CY_3_S,VAT_S_IN_CY_3_G,VAT_S_IN_CY_5_G,VAT_S_IN_CY_9_G,VAT_S_IN_CY_19_G",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","6","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"EXEMPT_P","22","Exempt rate for goods and services purchased in country","0% E","0% E","0.0","percent","purchase","tax_group_0","100","base","invoice","7","","Ποσοστό απαλλαγής για αγαθά και υπηρεσίες που αγοράζονται στη χώρα","Ülkede satın alınan mal ve hizmetler için muafiyet oranı","fiscal_position_cy_exempt","VAT_P_IN_CY_9_S,VAT_P_IN_CY_3_S,VAT_P_IN_CY_5_G,VAT_P_IN_CY_5_S,VAT_P_IN_CY_9_G,VAT_P_IN_CY_19_S,VAT_P_IN_CY_3_G,VAT_P_IN_CY_19_G",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","7","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
"VAT_S_OUT_EU","23","VAT rate for goods and services sold outside of the EU","0% OEU","0% OEU","0.0","percent","sale","tax_group_0","100","base","invoice","6||9","","Συντελεστής ΦΠΑ για αγαθά και υπηρεσίες που πωλούνται εκτός ΕΕ","AB dışında satılan mal ve hizmetler için KDV oranı","fiscal_position_cy_abroad","VAT_S_IN_CY_19_S,VAT_S_IN_CY_5_S,VAT_S_IN_CY_9_S,VAT_S_IN_CY_3_S,VAT_S_IN_CY_3_G,VAT_S_IN_CY_5_G,VAT_S_IN_CY_9_G,VAT_S_IN_CY_19_G",""
"","","","","","","","","","100","tax","invoice","","","","","","",""
"","","","","","","","","","100","base","refund","6||9","","","","","",""
"","","","","","","","","","100","tax","refund","","","","","","",""
