"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@pl"
"vs_kraj_23","23% G","","23%","23.0","percent","sale","0","tax_group_vat_23","","","base","invoice","+K_19","","","23% T"
"","","","","","","","","","","","tax","invoice","+K_20","chart22030400","",""
"","","","","","","","","","","","base","refund","-K_19","","",""
"","","","","","","","","","","","tax","refund","-K_20","chart22030400","",""
"vs_kraj_22","22% G","","22%","22.0","percent","sale","","tax_group_vat_22","","","base","invoice","+K_19","","","22% T"
"","","","","","","","","","","","tax","invoice","+K_20","chart22030100","",""
"","","","","","","","","","","","base","refund","-K_19","","",""
"","","","","","","","","","","","tax","refund","-K_20","chart22030100","",""
"vs_kraj_8","8%","","8%","8.0","percent","sale","","tax_group_vat_8","","","base","invoice","+K_17","","",""
"","","","","","","","","","","","tax","invoice","+K_18","chart22030500","",""
"","","","","","","","","","","","base","refund","-K_17","","",""
"","","","","","","","","","","","tax","refund","-K_18","chart22030500","",""
"vs_kraj_7","7%","","7%","7.0","percent","sale","","tax_group_vat_7","","","base","invoice","+K_17","","",""
"","","","","","","","","","","","tax","invoice","+K_18","chart22030200","",""
"","","","","","","","","","","","base","refund","-K_17","","",""
"","","","","","","","","","","","tax","refund","-K_18","chart22030200","",""
"vs_kraj_5","5%","","5%","5.0","percent","sale","","tax_group_vat_5","","","base","invoice","+K_15","","",""
"","","","","","","","","","","","tax","invoice","+K_16","chart22030600","",""
"","","","","","","","","","","","base","refund","-K_15","","",""
"","","","","","","","","","","","tax","refund","-K_16","chart22030600","",""
"vs_kraj_3","3%","","3%","3.0","percent","sale","","tax_group_vat_3","","","base","invoice","+K_15","","",""
"","","","","","","","","","","","tax","invoice","+K_16","chart22030300","",""
"","","","","","","","","","","","base","refund","-K_15","","",""
"","","","","","","","","","","","tax","refund","-K_16","chart22030300","",""
"vs_kraj_0","0%","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_13","","",""
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_13","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_zwrot_podróżnych_0","0% Travel","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_14","","","0% Podróż"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_14","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_kraj_zw","0% Exempt","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_10","","","0% Zwolnione"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_10","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_kraj_zw_gold","0% Exempt Gold","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_10||Gold","","","0% Zwolnione Złota"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_10||Gold","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_kraj_usl_23","23% S","","23%","23.0","percent","sale","","tax_group_vat_23","service","","base","invoice","+K_19","","","23% U"
"","","","","","","","","","","","tax","invoice","+K_20","chart22030400","",""
"","","","","","","","","","","","base","refund","-K_19","","",""
"","","","","","","","","","","","tax","refund","-K_20","chart22030400","",""
"vs_kraj_usl_22","22% S","","22%","22.0","percent","sale","","tax_group_vat_22","service","","base","invoice","+K_19","","","22% U"
"","","","","","","","","","","","tax","invoice","+K_20","chart22030100","",""
"","","","","","","","","","","","base","refund","-K_19","","",""
"","","","","","","","","","","","tax","refund","-K_20","chart22030100","",""
"vz_kraj_23","23% G","","23%","23.0","percent","purchase","0","tax_group_vat_23","","","base","invoice","+K_42","","","23% T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"vz_kraj_22","22% G","","22%","22.0","percent","purchase","","tax_group_vat_22","","","base","invoice","+K_42","","","22% T"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020100","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020100","",""
"vz_kraj_8","8%","","8%","8.0","percent","purchase","","tax_group_vat_8","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","+K_43","chart22020500","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020500","",""
"vz_kraj_7","7%","","7%","7.0","percent","purchase","","tax_group_vat_7","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","+K_43","chart22020200","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020200","",""
"vz_kraj_5","5%","","5%","5.0","percent","purchase","","tax_group_vat_5","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","+K_43","chart22020600","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020600","",""
"vz_kraj_3","3%","","3%","3.0","percent","purchase","","tax_group_vat_3","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","+K_43","chart22020300","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020300","",""
"vz_kraj_0","0%","","0%","0.0","percent","purchase","","tax_group_vat_0","","","base","invoice","+K_42","","",""
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_kraj_zw","0% Exempt","","0%","0.0","percent","purchase","","tax_group_vat_0","","","base","invoice","+K_42","","","0% Zwolnione"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_kraj_usl_23","23% S","","23%","23.0","percent","purchase","","tax_group_vat_23","service","","base","invoice","+K_42","","","23% U"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"vz_kraj_usl_22","22% S","","22%","22.0","percent","purchase","","tax_group_vat_22","service","","base","invoice","+K_42","","","22% U"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020100","",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020100","",""
"vp_leas_sale","23% - vehicle leasing","","23%","23.0","percent","sale","1","tax_group_vat_23","","","base","invoice","+K_42","","","23% - leasing pojazdu"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","60",""
"","","","","","","","","","","","tax","invoice","","chart76140000","40",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","60",""
"","","","","","","","","","","","tax","refund","","chart76140000","40",""
"vp_leas_purchase","23% - vehicle leasing","","23%","23.0","percent","purchase","1","tax_group_vat_23","","","base","invoice","+K_42","","","23% - leasing pojazdu"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","60",""
"","","","","","","","","","","","tax","invoice","","chart76140000","40",""
"","","","","","","","","","","","base","refund","-K_42","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","60",""
"","","","","","","","","","","","tax","refund","","chart76140000","40",""
"vs_stal","0% Steel","","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_31","","","0% Stal"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_31","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vz_stal","23% Steel","","23%","23.0","percent","purchase","","tax_group_vat_0","consu","False","base","invoice","+K_42||+K_31","","","23% Stal"
"","","","","","","","","","","","tax","invoice","+K_43","chart22020400","",""
"","","","","","","","","","","","tax","invoice","-K_32","chart22030400","-100",""
"","","","","","","","","","","","base","refund","-K_42||-K_31","","",""
"","","","","","","","","","","","tax","refund","-K_43","chart22020400","",""
"","","","","","","","","","","","tax","refund","+K_32","chart22030400","-100",""
"vs_unia","0% EU G","","0%","0.0","percent","sale","","tax_group_vat_0","consu","","base","invoice","+K_21","","","0% EU T"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_unia_i42","0% EU I_42","0% I_42","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_21||+I_42","","","0% EU I_42"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21||-I_42","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_unia_triangular","0% EU T 2","0% EU T 2nd Payer","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_21||+Triangular Sale","","","0% EU T 2"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21||-Triangular Sale","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_unia_i63","0% EU I_63","0% I_63","0%","0.0","percent","sale","","tax_group_vat_0","consu","False","base","invoice","+K_21||+I_63","","","0% EU I_63"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_21||-I_63","","",""
"","","","","","","","","","","","tax","refund","","","",""
