id,description,invoice_label,name,sequence,amount,amount_type,type_tax_use,tax_group_id,active,tax_scope,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent,children_tax_ids,invoice_legal_notes,price_include_override,fiscal_position_ids,original_tax_ids,tax_exigibility,cash_basis_transition_account_id,include_base_amount,l10n_it_exempt_reason,l10n_it_withholding_type,l10n_it_withholding_reason,l10n_it_pension_fund_type,name@it,description@it
22v,"",22%,22%,30,22.0,percent,sale,tax_group_iva_22,"","",base,invoice,+02,"","","","","","intra_private,it","","","","","","","","",22%,""
"","","","","","","","","","","",tax,invoice,+4v,2601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,2601,"","","","","","","","","","","","","","",""
10v,"",10%,10%,40,10.0,percent,sale,tax_group_iva_10,"","",base,invoice,+02,"","","","","","intra_private,it","","","","","","","","",10%,""
"","","","","","","","","","","",tax,invoice,+4v,2601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,2601,"","","","","","","","","","","","","","",""
5v,"",5%,5%,50,5.0,percent,sale,tax_group_iva_5,False,"",base,invoice,+02,"","","","","","intra_private,it","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,+4v,2601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,2601,"","","","","","","","","","","","","","",""
4v,"",4%,4%,60,4.0,percent,sale,tax_group_iva_4,False,"",base,invoice,+02,"","","","","","intra_private,it","","","","","","","","","",""
"","","","","","","","","","","",tax,invoice,+4v,2601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-02,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-4v,2601,"","","","","","","","","","","","","","",""
00v,"",0%,0%,70,0.0,percent,sale,tax_group_fuori,"","",base,invoice,"","","","",Art. 15 DPR 633/1972,"","intra_private,it","","","","",N1,"","","","",""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
22am,"",22%,22% G,80,22.0,percent,purchase,tax_group_iva_22,"",consu,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",22% M,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
10am,"",10%,10% G,90,10.0,percent,purchase,tax_group_iva_10,"",consu,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",10% M,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
5am,"",5%,5% G,100,5.0,percent,purchase,tax_group_iva_5,False,consu,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",5% M,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
4am,"",4%,4% G,110,4.0,percent,purchase,tax_group_iva_4,False,consu,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",4% M,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
00am,"",0%,0% G,120,0.0,percent,purchase,tax_group_fuori,"",consu,base,invoice,+03,"","","",Art. 15 DPR 633/1972,"","intra_private,it","","","","",N1,"","","",0% M,""
"","","","","","","","","","","",tax,invoice,"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,"","","","","","","","","","","","","","","","",""
22as,"",22%,22% S,130,22.0,percent,purchase,tax_group_iva_22,"",service,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",22% S,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
10as,"",10%,10% S,140,10.0,percent,purchase,tax_group_iva_10,"",service,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",10% S,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
5as,"",5%,5% S,150,5.0,percent,purchase,tax_group_iva_5,False,service,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",5% S,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
"","","","","","","","","","","",base,refund,-03,"","","","","","","","","","","","","","","",""
"","","","","","","","","","","",tax,refund,-5v,1601,"","","","","","","","","","","","","","",""
4as,"",4%,4% S,160,4.0,percent,purchase,tax_group_iva_4,False,service,base,invoice,+03,"","","","","","intra_private,it","","","","","","","","",4% S,""
"","","","","","","","","","","",tax,invoice,+5v,1601,"","","","","","","","","","","","","","",""
