"id","code","name","account_type","reconcile","non_trade","tag_ids","name@it"
"1101","1101","Planting costs","asset_non_current","False","","l10n_it.account_tag_B_ATT","Costi di impianto"
"1106","1106","Software","asset_non_current","False","","l10n_it.account_tag_B_ATT","Software"
"1108","1108","Startup","asset_non_current","False","","l10n_it.account_tag_B_ATT","Avviamento"
"1111","1111","Provision for depreciation of start-up costs","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento costi di impianto"
"1116","1116","Provision for software amortization","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento software"
"1118","1118","Goodwill amortization provision","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento avviamento"
"1201","1201","Buildings","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fabbricati"
"1202","1202","Plant and machinery","asset_non_current","False","","l10n_it.account_tag_B_ATT","Impianti e macchinari"
"1204","1204","Commercial equipment","asset_non_current","False","","l10n_it.account_tag_B_ATT","Attrezzature commerciali"
"1205","1205","Office machines","asset_non_current","False","","l10n_it.account_tag_B_ATT","Macchine d'ufficio"
"1206","1206","Furniture","asset_non_current","False","","l10n_it.account_tag_B_ATT","Arredamento"
"1207","1207","Vehicles","asset_non_current","False","","l10n_it.account_tag_B_ATT","Automezzi"
"1208","1208","Durable packaging","asset_non_current","False","","l10n_it.account_tag_B_ATT","Imballaggi durevoli"
"1211","1211","Building depreciation fund","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento fabbricati"
"1212","1212","Provision for depreciation of plant and machinery","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento impianti e macchinari"
"1214","1214","Allowance for depreciation of business equipment","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento attrezzature commerciali"
"1215","1215","Provision for depreciation of office machines","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento macchine d'ufficio"
"1216","1216","Furniture depreciation fund","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento arredamento"
"1217","1217","Provision for vehicle depreciation","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento automezzi"
"1218","1218","Durable packaging depreciation fund","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fondo ammortamento imballaggi durevoli"
"1220","1220","Fixed assets suppliers on account","asset_non_current","False","","l10n_it.account_tag_B_ATT","Fornitori immobilizzazioni c/acconti"
"1301","1301","Active mortgages","asset_fixed","False","","l10n_it.account_tag_B_ATT","Mutui attivi"
"1401","1401","Consumable materials","asset_current","False","","l10n_it.account_tag_C_ATT","Materie di consumo"
"1404","1404","Goods","asset_current","False","","l10n_it.account_tag_C_ATT","Merci"
"1410","1410","Suppliers down payments","asset_current","False","","l10n_it.account_tag_C_ATT","Acconti dei fornitori"
"1501","1501","Customer receivables","asset_receivable","True","","l10n_it.account_tag_C_ATT","Crediti verso i clienti"
"1502","1502","Miscellaneous trade receivables","asset_current","True","","l10n_it.account_tag_C_ATT","Crediti commerciali diversi"
"1503","1503","Clients expenses in advance","asset_current","True","","l10n_it.account_tag_C_ATT","Spese dei clienti in anticipo"
"1505","1505","Bills of exchange receivable","asset_current","True","","l10n_it.account_tag_C_ATT","Cambiali attive"
"1506","1506","Change them at a discount","asset_current","True","","l10n_it.account_tag_C_ATT","Cambiali allo sconto"
"1507","1507","Change in collection","asset_current","True","","l10n_it.account_tag_C_ATT","Cambiali all'incasso"
"1508","1508","Accounts receivable (PoS)","asset_receivable","True","","l10n_it.account_tag_C_ATT","Crediti v/clienti (PoS)"
"1509","1509","Invoices to be issued","asset_current","True","","l10n_it.account_tag_C_ATT","Fatture da emettere"
"1510","1510","Outstanding receivables","asset_current","True","","l10n_it.account_tag_C_ATT","Crediti insoluti"
"1511","1511","Outstanding bills of exchange","asset_current","True","","l10n_it.account_tag_C_ATT","Cambiali insolute"
"1531","1531","Receivables to be settled","asset_current","True","","l10n_it.account_tag_C_ATT","Crediti da liquidare"
"1540","1540","Allowance for doubtful accounts","asset_current","True","","l10n_it.account_tag_C_ATT","Fondo svalutazione crediti"
"1541","1541","Provision for credit risks","asset_current","True","","l10n_it.account_tag_C_ATT","Fondo rischi su crediti"
"1601","1601","VAT credit","asset_current","False","","l10n_it.account_tag_C_ATT","Credito IVA"
"1602","1602","VAT down payment","asset_current","False","","l10n_it.account_tag_C_ATT","Acconto IVA"
"1605","1605","VAT receivables","asset_current","False","","l10n_it.account_tag_C_ATT","Crediti per IVA"
"1607","1607","Down payment taxes","asset_current","False","","l10n_it.account_tag_C_ATT","Imposte sull'acconto"
"1608","1608","Tax credits","asset_current","False","","l10n_it.account_tag_C_ATT","Crediti per imposte"
"1609","1609","Receivables for withholdings incurred","asset_current","False","","l10n_it.account_tag_C_ATT","Crediti per ritenute subite"
"1610","1610","Receivables for deposits","asset_current","False","","l10n_it.account_tag_C_ATT","Crediti per cauzioni"
"1620","1620","Staff down payments","asset_current","False","","l10n_it.account_tag_C_ATT","Pagamenti anticipati del personale"
"1630","1630","Social security institution receivables","asset_current","False","","l10n_it.account_tag_C_ATT","Crediti dell'ente previdenziale"
"1640","1640","Miscellaneous debtors","asset_current","False","","l10n_it.account_tag_C_ATT","Debitori diversi"
"1901","1901","Accrued income","asset_current","False","","l10n_it.account_tag_D_ATT","Ratei attivi"
"1902","1902","Prepaid expenses","asset_current","False","","l10n_it.account_tag_D_ATT","Risconti attivi"
"2101","2101","Net worth","equity","False","","l10n_it.account_tag_A_PASS","Patrimonio netto"
"2102","2102","Operating profit","income","False","","l10n_it.account_tag_A_PASS","Utile d'esercizio"
"2103","2103","Operating loss","expense","False","","l10n_it.account_tag_A_PASS","Perdita d'esercizio"
"2104","2104","Extra management withdrawals","income","False","","l10n_it.account_tag_A_PASS","Prelevamenti extra gestione"
"2105","2105","Holder withholdings incurred","equity","False","","l10n_it.account_tag_A_PASS","Ritenute del titolare subite"
"2201","2201","Provision for taxes","liability_current","False","","l10n_it.account_tag_B_PASS","Fondo per imposte"
"2204","2204","Liability fund","liability_current","False","","l10n_it.account_tag_B_PASS","Fondo responsabilità civile"
"2205","2205","Provision for future expenses","liability_current","False","","l10n_it.account_tag_B_PASS","Fondo spese future"
"2211","2211","Scheduled maintenance fund","liability_current","False","","l10n_it.account_tag_B_PASS","Fondo manutenzioni programmate"
"2301","2301","TFRL debts","liability_current","False","","l10n_it.account_tag_C_PASS","Debiti per TFRL"
"2410","2410","Mortgages payable","liability_current","False","","l10n_it.account_tag_D_PASS","Mutui passivi"
"2411","2411","Banks grants","liability_current","False","","l10n_it.account_tag_D_PASS","Sovvenzioni delle banche"
"2420","2420","Banks in collection","liability_current","False","","l10n_it.account_tag_D_PASS","Banche in raccolta"
"2421","2421","Banks RIBA account in collection","liability_current","False","","l10n_it.account_tag_D_PASS","Conto RIBA delle banche in raccolta"
"2422","2422","Banks account bills in collection","liability_current","False","","l10n_it.account_tag_D_PASS","Conti correnti bancari in incasso"
"2423","2423","Bank account advances on invoices","liability_current","False","","l10n_it.account_tag_D_PASS","Anticipi bancari su fatture"
"2440","2440","Debts to other lenders","liability_current","False","","l10n_it.account_tag_D_PASS","Debiti verso altri finanziatori"
"2501","2501","Accounts payable","liability_payable","True","","l10n_it.account_tag_D_PASS","Debiti v/fornitori"
"2503","2503","Bills of exchange","liability_current","True","","l10n_it.account_tag_D_PASS","Cambiali passive"
"2520","2520","Invoices to be received","liability_current","True","","l10n_it.account_tag_D_PASS","Fatture da ricevere"
"2521","2521","Debts to be settled","liability_current","True","","l10n_it.account_tag_D_PASS","Debiti da liquidare"
"2530","2530","Customers down payments","liability_current","True","","l10n_it.account_tag_D_PASS","Acconti dei clienti"
"2601","2601","VAT debt","liability_current","False","","l10n_it.account_tag_D_PASS","Debito IVA"
"2602","2602","Payables for withholding taxes to be paid","liability_current","False","","l10n_it.account_tag_D_PASS","Debiti per ritenute da versare"
"2605","2605","Treasury VAT","liability_payable","True","True","l10n_it.account_tag_D_PASS","Tesoro IVA"
"2606","2606","Taxes payable","liability_current","False","","l10n_it.account_tag_D_PASS","Debiti per imposte"
"2607","2607","Funds with VAT Split Payment","liability_payable","True","True","l10n_it.account_tag_D_PASS","Erario c/IVA Split Payment"
"2608","2608","VAT Split Payment","liability_current","False","","l10n_it.account_tag_D_PASS","IVA c/Split Payment"
"2619","2619","Payables for deposits","liability_current","False","","l10n_it.account_tag_D_PASS","Debiti per cauzioni"
"2620","2620","Staff salaries","liability_current","False","","l10n_it.account_tag_D_PASS","Stipendi del personale"
"2621","2621","Staff liquidations","liability_current","False","","l10n_it.account_tag_D_PASS","Liquidazioni del personale"
"2622","2622","Customers disposal","liability_current","False","","l10n_it.account_tag_D_PASS","Smaltimento dei clienti"
"2630","2630","Social security debts","liability_current","False","","l10n_it.account_tag_D_PASS","Debiti previdenziali"
"2640","2640","Miscellaneous creditors","liability_current","False","","l10n_it.account_tag_D_PASS","Creditori diversi"
"2701","2701","Accrued expenses","liability_current","False","","l10n_it.account_tag_E_PASS","Ratei passivi"
"2702","2702","Deferred income","liability_current","False","","l10n_it.account_tag_E_PASS","Risconti passivi"
"2801","2801","Opening balance","liability_current","False","","","Bilancio di apertura"
"2802","2802","Closing balance sheet","liability_current","False","","","Bilancio di chiusura"
