id,code,name,user_type_id,reconcile
1101,1101,costi di impianto ,account.data_account_type_current_assets,True
1106,1106,software ,account.data_account_type_current_assets,True
1108,1108,avviamento ,account.data_account_type_current_assets,True
1111,1111,fondo ammortamento costi di impianto ,account.data_account_type_current_assets,True
1116,1116,fondo ammortamento software ,account.data_account_type_current_assets,True
1118,1118,fondo ammortamento avviamento ,account.data_account_type_current_assets,True
1201,1201,fabbricati ,account.data_account_type_current_assets,True
1202,1202,impianti e macchinari ,account.data_account_type_current_assets,True
1204,1204,attrezzature commerciali ,account.data_account_type_current_assets,True
1205,1205,macchine d'ufficio ,account.data_account_type_current_assets,True
1206,1206,arredamento ,account.data_account_type_current_assets,True
1207,1207,automezzi ,account.data_account_type_current_assets,True
1208,1208,imballaggi durevoli ,account.data_account_type_current_assets,True
1211,1211,fondo ammortamento fabbricati ,account.data_account_type_current_assets,True
1212,1212,fondo ammortamento impianti e macchinari ,account.data_account_type_current_assets,True
1214,1214,fondo ammortamento attrezzature commerciali ,account.data_account_type_current_assets,True
1215,1215,fondo ammortamento macchine d'ufficio ,account.data_account_type_current_assets,True
1216,1216,fondo ammortamento arredamento ,account.data_account_type_current_assets,True
1217,1217,fondo ammortamento automezzi ,account.data_account_type_current_assets,True
1218,1218,fondo ammortamento imballaggi durevoli ,account.data_account_type_current_assets,True
1220,1220,fornitori immobilizzazioni c/acconti ,account.data_account_type_current_assets,True
1301,1301,mutui attivi ,account.data_account_type_current_assets,True
1401,1401,materie di consumo ,account.data_account_type_current_assets,True
1404,1404,merci ,account.data_account_type_current_assets,True
1410,1410,fornitori c/acconti ,account.data_account_type_current_assets,True
1501,1501,crediti v/clienti ,account.data_account_type_receivable,True
1502,1502,crediti commerciali diversi ,account.data_account_type_current_assets,True
1503,1503,clienti c/spese anticipate ,account.data_account_type_current_assets,True
1505,1505,cambiali attive ,account.data_account_type_current_assets,True
1506,1506,cambiali allo sconto ,account.data_account_type_current_assets,True
1507,1507,cambiali all'incasso ,account.data_account_type_current_assets,True
1508,1508,crediti v/clienti (PoS) ,account.data_account_type_receivable,True
1509,1509,fatture da emettere ,account.data_account_type_current_assets,True
1510,1510,crediti insoluti ,account.data_account_type_current_assets,True
1511,1511,cambiali insolute ,account.data_account_type_current_assets,True
1531,1531,crediti da liquidare ,account.data_account_type_current_assets,True
1540,1540,fondo svalutazione crediti ,account.data_account_type_current_assets,True
1541,1541,fondo rischi su crediti ,account.data_account_type_current_assets,True
1601,1601,IVA n/credito ,account.data_account_type_current_assets,True
1602,1602,IVA c/acconto ,account.data_account_type_current_assets,True
1605,1605,crediti per IVA ,account.data_account_type_current_assets,True
1607,1607,imposte c/acconto ,account.data_account_type_current_assets,True
1608,1608,crediti per imposte ,account.data_account_type_current_assets,True
1609,1609,crediti per ritenute subite ,account.data_account_type_current_assets,True
1610,1610,crediti per cauzioni ,account.data_account_type_current_assets,True
1620,1620,personale c/acconti ,account.data_account_type_current_assets,True
1630,1630,crediti v/istituti previdenziali ,account.data_account_type_current_assets,True
1640,1640,debitori diversi ,account.data_account_type_current_assets,True
1901,1901,ratei attivi ,account.data_account_type_current_assets,True
1902,1902,risconti attivi ,account.data_account_type_current_assets,True
2101,2101,patrimonio netto ,account.data_account_type_current_liabilities,True
2102,2102,utile d'esercizio ,account.data_account_type_current_liabilities,True
2103,2103,perdita d'esercizio ,account.data_account_type_current_liabilities,True
2104,2104,prelevamenti extra gestione ,account.data_account_type_current_liabilities,True
2105,2105,titolare c/ritenute subite ,account.data_account_type_current_liabilities,True
2201,2201,fondo per imposte ,account.data_account_type_current_liabilities,True
2204,2204,fondo responsabilità civile ,account.data_account_type_current_liabilities,True
2205,2205,fondo spese future ,account.data_account_type_current_liabilities,True
2211,2211,fondo manutenzioni programmate ,account.data_account_type_current_liabilities,True
2301,2301,debiti per TFRL ,account.data_account_type_current_liabilities,True
2410,2410,mutui passivi ,account.data_account_type_current_liabilities,True
2411,2411,banche c/sovvenzioni ,account.data_account_type_current_liabilities,True
