"id","name","code","account_type","chart_template_id:id","tag_ids/id","reconcile"
"kz1000","Cash",1000,"asset_cash","l10n_kz.l10nkz_chart_template","","True"
"kz1010","Cash on hand",1010,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"l10nkz_chart_template_liquidity_transfer","Cash in transit",1020,"asset_current","l10nkz_chart_template","","True"
"kz1030","Cash in current bank accounts",1030,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1040","Cash on correspondent accounts",1040,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1050","Cash in savings accounts",1050,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1060","Restricted cash",1060,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1070","Cash accounting for electronic cash",1070,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1080","Other cash",1080,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1090","Valuation allowance for cash impairment losses",1090,"asset_cash","l10n_kz.l10nkz_chart_template","","False"
"kz1100","Short-term financial assets",1100,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1110","Short-term financial assets measured at amortized cost",1110,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1120","Short-term financial assets measured at fair value through other comprehensive income",1120,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1130","Short-term financial assets at fair value through profit or loss",1130,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1140","Derivative financial instruments",1140,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1150","Short term interest receivable",1150,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1160","Other current financial assets",1160,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1170","Provision for impairment losses on short-term financial assets",1170,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1200","Short-term accounts receivable",1200,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1210","Short-term accounts receivable from buyers and customers",1210,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1220","Short-term accounts receivable from subsidiaries",1220,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1230","Short-term accounts receivable from associates and joint ventures",1230,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1240","Short-term accounts receivable from branches and divisions",1240,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1250","Short-term accounts receivable from employees",1250,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1260","Short-term lease receivables",1260,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1270","Other short-term receivables",1270,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1280","Estimated reserve for impairment of short-term accounts receivable",1280,"asset_receivable","l10n_kz.l10nkz_chart_template","","True"
"kz1300","Inventories",1300,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1310","Raw materials and supplies",1310,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1320","Finished goods",1320,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1330","Goods",1330,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1340","Work in progress",1340,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1350","Other inventories",1350,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1360","Valuation allowance for inventory impairment",1360,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1370","Right-of-use asset",1370,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1400","Current tax assets",1400,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1410","Corporate income tax",1410,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1420","Value added tax",1420,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1430","Other taxes and other obligatory payments to the budget",1430,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1500","Non-current assets held for sale",1500,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1510","Non-current assets held for sale",1510,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1520","Disposal groups held for sale",1520,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1530","Valuation allowance for impairment losses on long-lived assets (or disposal groups) held for sale",1530,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1600","Biological assets",1600,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1610","Plants",1610,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1620","Animals",1620,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1630","Estimated allowance for impairment losses on biological assets",1630,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1700","Other current assets",1700,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1710","Short term advances paid",1710,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1720","Deferred expenses",1720,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1730","Short-term contract assets",1730,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1740","Valuation allowance for losses on impairment of short-term contract assets",1740,"asset_current","l10n_kz.l10nkz_chart_template","","False"
"kz1750","Other current assets",1750,"asset_non_current","l10n_kz.l10nkz_chart_template","","False"
"kz2000","Long-term financial assets",2000,"asset_non_current","l10n_kz.l10nkz_chart_template","","False"
"kz2010","Long term financial assets measured at amortized cost",2010,"asset_non_current","l10n_kz.l10nkz_chart_template","","False"
"kz2020","Long term financial assets at fair value through other comprehensive income",2020,"asset_non_current","l10n_kz.l10nkz_chart_template","","False"
"kz2030","Long term financial assets at fair value through profit or loss",2030,"asset_non_current","l10n_kz.l10nkz_chart_template","","False"
"kz2040","Derivative financial instruments",2040,"asset_non_current","l10n_kz.l10nkz_chart_template","","False"
