"id","name","sequence","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids","description@nb_NO","invoice_label@nb_NO"
"tax2","25%","0","1 Input VAT high rate 25%","Deduction for incoming VAT","25.0","percent","purchase","tax_group_25","base","invoice","","","","1 Inngående mva høy sats 25%","Fradrag for inngående mva"
"","","","","","","","","","tax","invoice","chart2711","","+1 Tax","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart2711","","-1 Tax","",""
"tax1","0%","","0 No VAT treatment 0%","No VAT treatment (acquisitions)","0.0","percent","purchase","tax_group_0","base","invoice","","","","0 Ingen mvabehandling 0%","Ingen mvabehandling(anskaffelser)"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tax3","25%","","3 Output VAT high rate 25%","Output VAT","25.0","percent","sale","tax_group_25","base","invoice","","","+3 Base","3 Utgående mva høy sats 25%","Utgående mva"
"","","","","","","","","","tax","invoice","chart2701","","+3 Tax","",""
"","","","","","","","","","base","refund","","","-3 Base","",""
"","","","","","","","","","tax","refund","chart2701","","-3 Tax","",""
"tax4","0%","","5 VAT-free sales 0%","VAT-free sale","0.0","percent","sale","tax_group_0","base","invoice","","","+5 Base","5 Mvafritt salg 0%","Mvafritt salg"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","-5 Base","",""
"","","","","","","","","","tax","refund","","","","",""
"tax5","0% T","","6 Turnover outside the VAT Act 0%","Turnover outside the VAT Act","0.0","percent","sale","tax_group_0","base","invoice","","","+6 Base","6 Omsetning utenfor mvaloven 0%","Omsetning utenfor merverdiavgiftsloven"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","-6 Base","",""
"","","","","","","","","","tax","refund","","","","",""
"tax6","0% EXEMPT","","7 No VAT treatment (income) 0%","No VAT treatment (income)","0.0","percent","sale","tax_group_0","base","invoice","","","","7 Ingen mvabehandling(inntekter) 0%","Ingen mvabehandling(inntekter)"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tax7","15%","","11 Input VAT average rate 15%","Deduction for incoming VAT","15.0","percent","purchase","tax_group_15","base","invoice","","","","11 Inngående mva middel sats 15%","Fradrag for inngående mva"
"","","","","","","","","","tax","invoice","chart2713","","+11 Tax","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart2713","","-11 Tax","",""
"tax8","11,11% Fish","","12 Including VAT raw fish 11%","Deduction for incoming VAT","11.11","percent","purchase","tax_group_15","base","invoice","","","","12 Inngående mva råfisk 11%","Fradrag for inngående mva"
"","","","","","","","","","tax","invoice","chart2710","","+12 Tax","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart2710","","-12 Tax","",""
"tax9","12%","","13 Input VAT low rate 12%","Deduction for incoming VAT","12.0","percent","purchase","tax_group_12","base","invoice","","","","13 Inngående mva lav sats 12%","Fradrag for inngående mva"
"","","","","","","","","","tax","invoice","chart2714","","+13 Tax","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart2714","","-13 Tax","",""
"tax10","25% EX","","14 Import VAT high rate 25%","Deduction for import VAT","25.0","percent","purchase","tax_group_25","base","invoice","","","","14 Innførselsmva høy sats 25%","Fradrag for innførselsmva"
"","","","","","","","","","tax","invoice","chart2711","","+14 Tax","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart2711","","-14 Tax","",""
"tax11","15% EX","","15 Import VAT average rate 15%","Deduction for import VAT","15.0","percent","purchase","tax_group_15","base","invoice","","","","15 Innførselsmva middel sats 15%","Fradrag for innførselsmva"
"","","","","","","","","","tax","invoice","chart2713","","+15 Tax","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","chart2713","","-15 Tax","",""
"tax12","0% EX G","","20 Basis for importing goods zero rate 0%","Basis for importing goods","0.0","percent","purchase","tax_group_0","base","invoice","","","","20 Grunnlag ved innførsel av varer nullsats 0%","Grunnlag ved innførsel av varer"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tax13","25% EX G","","21 Basis for importing goods high rate 25%","Basis for importing goods","25.0","percent","purchase","tax_group_25","base","invoice","","","","21 Grunnlag ved innførsel av varer høy sats 25%","Grunnlag ved innførsel av varer"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tax14","15% EX G","","22 Basis for importing goods average rate 15%","Basis for importing goods","15.0","percent","purchase","tax_group_15","base","invoice","","","","22 Grunnlag ved innførsel av varer middel sats 15%","Grunnlag ved innførsel av varer"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tax15","15%","","31 Output VAT average rate 15%","Output VAT","15.0","percent","sale","tax_group_15","base","invoice","","","+31 Base","31 Utgående mva middel sats 15%","Utgående mva"
"","","","","","","","","","tax","invoice","chart2703","","+31 Tax","",""
"","","","","","","","","","base","refund","","","-31 Base","",""
"","","","","","","","","","tax","refund","chart2703","","-31 Tax","",""
"tax16","11% Fish","","32 Output VAT raw fish 11%","Output VAT","11.0","percent","sale","tax_group_15","base","invoice","","","+32 Base","32 Utgående mva råfisk 11%","Utgående mva"
"","","","","","","","","","tax","invoice","chart2700","","+32 Tax","",""
"","","","","","","","","","base","refund","","","-32 Base","",""
"","","","","","","","","","tax","refund","chart2700","","-32 Tax","",""
"tax17","12%","","33 Output VAT low rate 12%","Output VAT","12.0","percent","sale","tax_group_12","base","invoice","","","+33 Base","33 Utgående mva lav sats 12%","Utgående mva"
"","","","","","","","","","tax","invoice","chart2704","","+33 Tax","",""
"","","","","","","","","","base","refund","","","-33 Base","",""
"","","","","","","","","","tax","refund","chart2704","","-33 Tax","",""
"tax18","0% R","","51 Domestic turnover with reverse tax obligation zero rate 0%","Inland turnover with reverse tax liability","0.0","percent","sale","tax_group_0","base","invoice","","","+51 Base","51 Innenlands omsetning med omvendt avgiftsplikt nullsats 0%","Innlands omsetning med omvendt avgiftsplikt"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","-51 Base","",""
"","","","","","","","","","tax","refund","","","","",""
"tax19","0% EX","","52 Export of goods and services zero rate 0%","Export of goods and services","0.0","percent","sale","tax_group_0","base","invoice","","","+52 Base","52 Utførsel av varer og tjenester nullsats 0%","Utførsel av varer og tjenester"
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","-52 Base","",""
"","","","","","","","","","tax","refund","","","","",""
"tax20","25% EX G D","","81 Import of goods with deduction for import VAT high rate 25%","Import of goods with deduction for import VAT","25.0","percent","purchase","tax_group_25","base","invoice","","","+81 Base","81 Innførsel av varer med fradrag for innførselsmva høy sats 25%","Innførsel av varer med fradrag for innførselsmva"
"","","","","","","","","","tax","invoice","chart2741","","+81 Tax","",""
"","","","","","","","","","tax","invoice","chart2727","-100","+81 Tax","",""
"","","","","","","","","","base","refund","","","-81 Base","",""
"","","","","","","","","","tax","refund","chart2741","","-81 Tax","",""
"","","","","","","","","","tax","refund","chart2727","-100","-81 Tax","",""
"tax21","25% EX G ND","","82 Import of goods without deduction for import VAT high rate 25%","Import of goods without deduction for import VAT","25.0","percent","purchase","tax_group_25","base","invoice","","","+82 Base","82 Innførsel av varer uten fradrag for innførselsmva høy sats 25%","Innførsel av varer uten fradrag for innførselsmva"
"","","","","","","","","","tax","invoice","chart2741","","+82 Tax","",""
"","","","","","","","","","base","refund","","","-82 Base","",""
"","","","","","","","","","tax","refund","chart2741","","-82 Tax","",""
"tax22","15% EX G D","","83 Import of goods with deduction for import VAT average rate 15%","Import of goods with deduction for import VAT","15.0","percent","purchase","tax_group_15","base","invoice","","","+83 Base","83 Innførsel av varer med fradrag for innførselsmva middel sats 15%","Innførsel av varer med fradrag for innførselsmva"
"","","","","","","","","","tax","invoice","chart2742","","+83 Tax","",""
"","","","","","","","","","tax","invoice","chart2728","-100","+83 Tax","",""
"","","","","","","","","","base","refund","","","-83 Base","",""
"","","","","","","","","","tax","refund","chart2742","","-83 Tax","",""
"","","","","","","","","","tax","refund","chart2728","-100","-83 Tax","",""
"tax23","15% EX G ND","","84 Import of goods without deduction for import VAT average rate 15%","Import of goods without deduction for import VAT","15.0","percent","purchase","tax_group_15","base","invoice","","","+84 Base","84 Innførsel av varer uten fradrag for innførselsmva middel sats 15%","Innførsel av varer uten fradrag for innførselsmva"
"","","","","","","","","","tax","invoice","chart2742","","+84 Tax","",""
"","","","","","","","","","base","refund","","","-84 Base","",""
"","","","","","","","","","tax","refund","chart2742","","-84 Tax","",""
