"id","code","name","account_type","tag_ids","reconcile","name@nb_NO"
"no_a_cash","1000","Research and development","asset_current","","False","Forskning og utvikling"
"chart1010","1010","Research and development, self-developed","asset_current","","False","Forskning og utvikling, egenutviklet"
"chart1020","1020","Concessions","asset_current","","False","Konsesjoner"
"chart1030","1030","Patents","asset_current","","False","Patenter"
"chart1040","1040","Licenses","asset_current","","False","Lisenser"
"chart1050","1050","Trademarks","asset_current","","False","Varemerker"
"chart1060","1060","Others rights","asset_current","","False","Andre rettigheter"
"chart1070","1070","Deferred tax benefit","asset_current","","False","Utsatt skattefordel"
"chart1080","1080","Goodwill","asset_current","","False","Velvilje"
"chart1100","1100","Buildings","asset_current","","False","Bygninger"
"chart1120","1120","Building facilities","asset_current","","False","Bygningsmessige anlegg"
"chart1130","1130","Construction in progress","asset_current","","False","Anlegg under utførelse"
"chart1140","1140","Agricultural and forestry properties","asset_current","","False","Jord- og skogbrukseiendommer"
"chart1150","1150","Plots and others plots of land","asset_current","","False","Tomter og andre grunnarealer"
"chart1160","1160","Housing including land","asset_current","","False","Boliger inklusive tomter"
"chart1190","1190","Others fixed assets","asset_current","","False","Andre anleggsmidler"
"chart1200","1200","Machinery and equipment","asset_current","","False","Maskiner og anlegg"
"chart1210","1210","Machines and facilities under construction","asset_current","","False","Maskiner og anlegg under utførelse"
"chart1220","1220","Ships, rigs, planes","asset_current","","False","Skip, rigger, fly"
"chart1230","1230","Cars","asset_current","","False","Biler"
"chart1239","1239","Wagon trains, trucks and buses","asset_current","","False","Vogntog, lastebiler og busser"
"chart1240","1240","Others means of transport","asset_current","","False","Andre transportmidler"
"chart1249","1249","Others means of transport","asset_current","","False","Andre transportmidler"
"chart1250","1250","Inventory","asset_current","","False","Inventar"
"chart1260","1260","Fixed building equipment with other depreciation","asset_current","","False","Fast bygningsinventar med annen avskrivning"
"chart1270","1270","Tools etc.","asset_current","","False","Verktøy mv."
"chart1280","1280","Office machines","asset_current","","False","Kontormaskiner"
"chart1290","1290","Others operating assets","asset_current","","False","Andre driftsmidler"
"chart1300","1300","Investments in subsidiaries","asset_current","","False","Investeringer i datterselskaper"
"chart1310","1310","Investments other companies in the same group","asset_current","","False","Investeringer annet foretak i samme konsern"
"chart1320","1320","Loans to companies in the same group","asset_current","","False","Lån til foretak samme konsern"
"chart1330","1330","Investments in affiliated companies","asset_current","","False","Investeringer i tilknyttede selskap"
"chart1340","1340","Loans to affiliated companies","asset_current","","False","Lån til tilknyttede selskap"
"chart1350","1350","Investments in stocks and shares","asset_current","","False","Investeringer i aksjer og andeler"
"chart1360","1360","Bonds","asset_current","","False","Obligasjoner"
"chart1370","1370","Claims on owners, board members, etc.","asset_current","","False","Fordringer på eiere, styremedlemmer mv."
"chart1380","1380","Receivables from employees","asset_current","","False","Fordringer på ansatte"
"chart1390","1390","Others long-term receivables","asset_current","","False","Andre langsiktige fordringer"
"chart1399","1399","Others changes","asset_current","","False","Andre fordringer"
"chart1400","1400","Raw materials and purchased semi-finished products","asset_current","","False","Råvarer og innkjøpte halvfabrikata"
"chart1401","1401","Semi-finished products","asset_current","","False","Halvfabrikata"
"chart1420","1420","Goods under production","asset_current","","False","Varer under tilvirkning"
"chart1440","1440","Finished self-made goods","asset_current","","False","Ferdige egentilvirkede varer"
"chart1460","1460","Purchased goods for resale","asset_current","","False","Innkjøpte varer for videresalg"
"chart1480","1480","Advance payment to suppliers","asset_current","","False","Forskuddsbetaling til leverandører"
"chart1481","1481","Short-term receivables from suppliers","asset_current","","False","Kortsiktige fordringer hos leverandører"
"chart1500","1500","Accounts receivable","asset_receivable","","True","Kundefordringer"
"chart1501","1501","Accounts Receivable (PoS)","asset_receivable","","True","Kundefordringer (PoS)"
"chart1509","1509","Accounts receivable not entered in the ledger","asset_current","","False","Ikke reskontroførte kundefordringer"
"chart1513","1513","Uninvoiced accounts receivable","asset_current","","False","Ikke fakturerte kundefordringer"
"chart1514","1514","Accounts receivable - services","asset_current","","False","Kundfordringer - tjenester"
"chart1520","1520","Other short-term receivables","asset_current","","False",""
"chart1530","1530","Earned, not invoiced operating income","asset_current","","False","Opptjente, ikke fakturerte driftsinntekter"
"chart1550","1550","Accounts receivable from companies in the same group","asset_current","","False","Kundefordringer på selskap samme konsern"
"chart1560","1560","Others claims on companies within the same group","asset_current","","False","Andre fordringer på selskap innen samme konsern"
"chart1570","1570","Other short-term receivables","asset_current","","False",""
"chart1571","1571","Salary advance","asset_current","","False","Lønnsforskudd"
"chart1572","1572","Others short-term loans to employees","asset_current","","False","Andre kortsiktige lån til ansatte"
"chart1579","1579","Others short-term receivables","asset_current","","False","Andre kortsiktige fordringer"
"chart1580","1580","Provision for losses on receivables","asset_current","","False","Avsetning tap på fordringer"
"chart1600","1600","Output VAT","asset_current","","False","Utgående merverdiavgift"
"chart1601","1601","Outbound VAT high rate","asset_current","","False","Utgående merverdiavgift høy sats"
"chart1602","1602","Outgoing VAT buy earn. from abroad","asset_current","","False","Utgående merverdiavgift kjøp tjen. fra utlandet"
"chart1603","1603","Outgoing value added tax medium rate","asset_current","","False","Utgående merverdiavgift middels sats"
"chart1604","1604","Outbound VAT low rate","asset_current","","False","Utgående merverdiavgift lav sats"
"chart1605","1605","Basis outgoing VAT, high rate","asset_current","","False","Grunnlag utgående merverdiavgift, høy sats"
"chart1606","1606","Basis outgoing value added tax, medium rate","asset_current","","False","Grunnlag utgående merverdiavgift, middels sats"
"chart1607","1607","Basis outgoing VAT, low rate","asset_current","","False","Grunnlag utgående merverdiavgift, lav sats"
"chart1610","1610","Input VAT","asset_current","","False","Inngående merverdiavgift"
"chart1611","1611","Input VAT high rate","asset_current","","False","Inngående merverdiavgift høy sats"
"chart1612","1612","Incoming VAT buy earn. from abroad","asset_current","","False","Inngående merverdiavgift kjøp tjen. fra utlandet"
"chart1613","1613","Input VAT medium rate","asset_current","","False","Inngående merverdiavgift middels sats"
"chart1614","1614","Input VAT low rate","asset_current","","False","Inngående merverdiavgift lav sats"
"chart1640","1640","Settlement Account VAT","asset_current","","False","Oppgjørskonto merverdiavgift"
"chart1670","1670","Requirements for public subsidies","asset_current","","False","Krav på offentlige tilskudd"
"chart1700","1700","Prepaid rent","asset_current","","False","Forskuddsbetalt leie"
"chart1710","1710","Interest paid in advance","asset_current","","False","Forskuddsbetalt rente"
"chart1720","1720","Salary paid in advance","asset_current","","False","Forskuddsbetalt lønn"
"chart1740","1740","Prepaid expenses not accrued","asset_current","","False","Forskuddsbetalt, ikke påløpt lønn"
"chart1749","1749","Others prepaid costs","asset_current","","False","Andre forskuddbetalte kostnader"
"chart1750","1750","Accrued rental income","asset_current","","False","Påløpte leieinntekter"
"chart1760","1760","Accrued interest income","asset_current","","False","Påløpte renteinntekter"
"chart1780","1780","Requirements for payment of company capital","asset_current","","False","Krav på innbetaling av selskapskapital"
"chart1790","1790","Interim account","asset_current","","False","Interimskonto"
"chart1800","1800","Shares & shares in companies in the same cons.","asset_current","","False","Aksjer & andeler i foretak i samme kons."
"chart1810","1810","Market-based shares","asset_current","","False","Markesdbaserte aksjer"
"chart1820","1820","Others shares","asset_current","","False","Andre aksjer"
"chart1830","1830","Market-based bonds","asset_current","","False","Markedsbaserte obligasjoner"
"chart1840","1840","Others bonds","asset_current","","False","Andre obligasjoner"
"chart1850","1850","Market-based certificates","asset_current","","False","Markedsbaserte sertifikater"
"chart1860","1860","Others certificates","asset_current","","False","Andre sertifikater"
"chart1870","1870","Others market-based financial instruments","asset_current","account.account_tag_financing","False","Andre markedsbaserte finansielle instrumenter"
"chart1880","1880","Others financial instruments","asset_current","account.account_tag_financing","False","Andre finansielle instrumenter"
"chart1890","1890","Shares outside the group","asset_current","","False","Andeler utenfor konsern"
"chart1905","1905","Cash Euro","asset_current","","False","Kontanter Euro"
"chart1908","1908","Cash, other currency","asset_current","","False","Kontanter, annen valuta"
"chart1910","1910","Cash register","asset_current","","False","Kasse"
"chart1918","1918","Cash differentials","asset_current","","False","Kassedifferenser"
"chart1919","1919","Box in transfer","asset_current","","False","Kasse i transfer"
"chart1921","1921","Bank deposits 2","asset_current","","False","Bankinnskudd 2"
"chart1942","1942","Bank unallocated deposit","asset_current","","False","Bank ikke allokert innbetaling"
"chart1944","1944","Bank not identified payment","asset_current","","False","Bank ikke identifisert innbetaling"
"chart1950","1950","Bank deposit for tax deductions","asset_current","","False","Bankinnskudd for skattetrekk"
"chart1980","1980","Currency account Euro","asset_current","","False","Valutakonto Euro"
"chart2000","2000","Share capital","equity","","False","Aksjekapital"
"chart2010","2010","Own shares","equity","","False","Egne aksjer"
"chart2020","2020","Premium fund","equity","","False","Overkursfond"
"chart2030","2030","Other equity","equity","","False","Annen innskutt egenkapital"
"chart2036","2036","Foundation expenses","equity","","False","Stiftelsesutgifter"
"chart2040","2040","Fund for valuation differences","equity","","False","Fond for vurderingsforskjeller"
"chart2050","2050","Other equity","equity","","False","Annen innskutt egenkapital"
"chart2055","2055","Deposit cash","equity","","False","Innskudd kontanter"
"chart2060","2060","Private withdrawal","equity","","False","Privatuttak"
"chart2070","2070","Withholding tax","equity","","False","Forskuddsskatt"
"chart2080","2080","Uncovered loss","equity","","False","Udekket tap"
"chart2098","2090","Profit or loss from previous year","equity","","False","Gevinst eller tap fra foregående år"
"chart2100","2100","Pension obligations","liability_current","","False","Pensjonsforpliktelser"
"chart2120","2120","Deferred tax","liability_current","","False","Utsatt skatt"
"chart2140","2140","Set aside for warranty & service instructions","liability_current","","False","Avsetn. for garanti- & serviceforpl."
"chart2160","2160","unearned income","liability_current","","False","Uopptjent inntekt"
"chart2180","2180","Others provisions for commitments","liability_current","","False","Andre avsetninger for forpiktelser"
"chart2188","2188","Provision for VAT due","liability_current","","False","Avsetning for skyldig merverdiavgift"
"chart2200","2200","Convertible loans","liability_current","","False","Konvertible lån"
"chart2210","2210","Bond loan","liability_current","","False","Obligsjonslån"
"chart2220","2220","Debt to credit institutions","liability_current","","False","Gjeld til kredittinstitusjoner"
"chart2240","2240","Mortgage loans","liability_current","","False","Pantelån"
"chart2251","2251","Debt to employees","liability_current","","False","Gjeld til ansatte"
"chart2255","2255","Debt to owners","liability_current","","False","Gjeld til eiere"
"chart2260","2260","Debt to companies in the same group","liability_current","","False","Gjeld til selskap i samme konsern"
"chart2270","2270","Others foreign currency loans","liability_current","","False","Andre valutalån"
"chart2280","2280","Quiet stakeholder contributions and corresponding loan capital","liability_current","","False","Stille interessentinnskudd og ansv. lånekapital"
"chart2299","2299","Other long-term debt","liability_current","","False","Annen langsiktig gjeld"
"chart2300","2300","Convertible loans","liability_current","","False","Konvertible lån"
"chart2320","2320","Certificate loan","liability_current","","False","Sertifikatlån"
"chart2340","2340","Others foreign currency loans","liability_current","","False","Andre valutalån"
"chart2360","2360","Construction loan","liability_current","","False","Byggelån"
"chart2380","2380","Overdraft","liability_current","","True","Kassakreditt"
"chart2390","2390","Other debts to credit institutions","liability_current","","False","Annen gjeld til kredittinstitusjon"
"chart2400","2400","Accounts payable","liability_payable","","True","Leverandørgjeld"
"chart2409","2409","Accounts payable not entered in the ledger","liability_current","","False","Ikke reskontroført leverandørgjeld"
"chart2441","2441","Accounts payable - services","liability_payable","","True","Leverandørgjeld - tjenester"
