"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@de","name@fr"
"account_fiscal_position_template_LU_NO","Not liable to VAT","0","","","","","","","",""
"account_fiscal_position_template_LU_LU","Luxembourgish Taxable Person","1","1","1","base.lu","","","","",""
"account_fiscal_position_template_private_LU_IC","EU private","2","1","","","base.europe","","","EU privat","EU privé"
"account_fiscal_position_template_LU_IC","Intra-Community Taxable Person","3","1","1","","base.europe","lu_2015_tax_VB-PA-17","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-16","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-14","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-13","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-8","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2015_tax_VB-PA-7","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2011_tax_VB-PA-3","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2011_tax_VB-PA-0","lu_2011_tax_VB-IC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-17","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-16","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-14","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-13","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-8","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2015_tax_VP-PA-7","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2011_tax_VP-PA-3","lu_2011_tax_VP-IC-0","",""
"","","","","","","","lu_2015_tax_FB-PA-17","lu_2015_tax_FB-IC-17","",""
"","","","","","","","lu_2015_tax_FB-PA-16","lu_2015_tax_FB-IC-16","",""
"","","","","","","","lu_2015_tax_FB-PA-14","lu_2015_tax_FB-IC-14","",""
"","","","","","","","lu_2015_tax_FB-PA-13","lu_2015_tax_FB-IC-13","",""
"","","","","","","","lu_2015_tax_FB-PA-8","lu_2015_tax_FB-IC-8","",""
"","","","","","","","lu_2015_tax_FB-PA-7","lu_2015_tax_FB-IC-7","",""
"","","","","","","","lu_2011_tax_FB-PA-3","lu_2011_tax_FB-IC-3","",""
"","","","","","","","lu_2011_tax_FB-PA-0","lu_2011_tax_FB-IC-0","",""
"","","","","","","","lu_2015_tax_FP-PA-17","lu_2015_tax_FP-IC-17","",""
"","","","","","","","lu_2015_tax_FP-PA-16","lu_2015_tax_FP-IC-16","",""
"","","","","","","","lu_2015_tax_FP-PA-14","lu_2015_tax_FP-IC-14","",""
"","","","","","","","lu_2015_tax_FP-PA-13","lu_2015_tax_FP-IC-13","",""
"","","","","","","","lu_2015_tax_FP-PA-8","lu_2015_tax_FP-IC-8","",""
"","","","","","","","lu_2015_tax_FP-PA-7","lu_2015_tax_FP-IC-7","",""
"","","","","","","","lu_2011_tax_FP-PA-3","lu_2011_tax_FP-IC-3","",""
"","","","","","","","lu_2011_tax_FP-PA-0","lu_2011_tax_FP-IC-0","",""
"","","","","","","","lu_2015_tax_IB-PA-17","lu_2015_tax_IB-IC-17","",""
"","","","","","","","lu_2015_tax_IB-PA-16","lu_2015_tax_IB-IC-16","",""
"","","","","","","","lu_2015_tax_IB-PA-14","lu_2015_tax_IB-IC-14","",""
"","","","","","","","lu_2015_tax_IB-PA-13","lu_2015_tax_IB-IC-13","",""
"","","","","","","","lu_2015_tax_IB-PA-8","lu_2015_tax_IB-IC-8","",""
"","","","","","","","lu_2015_tax_IB-PA-7","lu_2015_tax_IB-IC-7","",""
"","","","","","","","lu_2011_tax_IB-PA-3","lu_2011_tax_IB-IC-3","",""
"","","","","","","","lu_2011_tax_IB-PA-0","lu_2011_tax_IB-IC-0","",""
"","","","","","","","lu_2015_tax_IP-PA-17","lu_2015_tax_IP-IC-17","",""
"","","","","","","","lu_2015_tax_IP-PA-16","lu_2015_tax_IP-IC-16","",""
"","","","","","","","lu_2015_tax_IP-PA-14","lu_2015_tax_IP-IC-14","",""
"","","","","","","","lu_2015_tax_IP-PA-13","lu_2015_tax_IP-IC-13","",""
"","","","","","","","lu_2015_tax_IP-PA-8","lu_2015_tax_IP-IC-8","",""
"","","","","","","","lu_2015_tax_IP-PA-7","lu_2015_tax_IP-IC-7","",""
"","","","","","","","lu_2011_tax_IP-PA-3","lu_2011_tax_IP-IC-3","",""
"","","","","","","","lu_2011_tax_IP-PA-0","lu_2011_tax_IP-IC-0","",""
"","","","","","","","lu_2015_tax_AB-PA-17","lu_2015_tax_AB-IC-17","",""
"","","","","","","","lu_2015_tax_AB-PA-16","lu_2015_tax_AB-IC-16","",""
"","","","","","","","lu_2015_tax_AB-PA-14","lu_2015_tax_AB-IC-14","",""
"","","","","","","","lu_2015_tax_AB-PA-13","lu_2015_tax_AB-IC-13","",""
"","","","","","","","lu_2015_tax_AB-PA-8","lu_2015_tax_AB-IC-8","",""
"","","","","","","","lu_2015_tax_AB-PA-7","lu_2015_tax_AB-IC-7","",""
"","","","","","","","lu_2011_tax_AB-PA-3","lu_2011_tax_AB-IC-3","",""
"","","","","","","","lu_2011_tax_AB-PA-0","lu_2011_tax_AB-IC-0","",""
"","","","","","","","lu_2015_tax_AP-PA-17","lu_2015_tax_AP-IC-17","",""
"","","","","","","","lu_2015_tax_AP-PA-16","lu_2015_tax_AP-IC-16","",""
"","","","","","","","lu_2015_tax_AP-PA-14","lu_2015_tax_AP-IC-14","",""
"","","","","","","","lu_2015_tax_AP-PA-13","lu_2015_tax_AP-IC-13","",""
"","","","","","","","lu_2015_tax_AP-PA-8","lu_2015_tax_AP-IC-8","",""
"","","","","","","","lu_2015_tax_AP-PA-7","lu_2015_tax_AP-IC-7","",""
"","","","","","","","lu_2011_tax_AP-PA-3","lu_2011_tax_AP-IC-3","",""
