"id","code_prefix_start","code_prefix_end","name","name@de","name@fr"
"account_group_1","1","","EQUITY, PROVISIONS AND FINANCIAL LIABILITIES ACCOUNTS","KONTEN FÜR EIGENKAPITAL, RÜCKSTELLUNGEN UND FINANZIELLE VERBINDLICHKEITEN","COMPTES DE CAPITAUX PROPRES, DE PROVISIONS ET DE PASSIFS FINANCIERS"
"account_group_10","10","","Subscribed capital or branches' assigned capital and owner's account","Gezeichnetes Kapital oder zugewiesenes Kapital der Zweigniederlassungen und Eigentümerkonto","Capital souscrit ou capital attribué par les succursales et compte du propriétaire"
"account_group_101","101","","Subscribed capital","Gezeichnetes Kapital","Capital souscrit"
"account_group_102","102","","Subscribed capital not called","Gezeichnetes nicht eingefordertes Kapital","Capital souscrit non appelé"
"account_group_103","103","","Subscribed capital called but unpaid","Gezeichnetes eingefordertes und nicht eingezahltes Kapital","Capital souscrit appelé et non versé"
"account_group_104","104","","Capital of individual companies, corporate partnerships and similar","Kapital von Einzelkaufleuten, Personenhandelsgesellschaften und ähnlichen","Capital des entreprises individuelles, des sociétés de personnes et assimilées"
"account_group_105","105","","Endowment of branches","Dotationskapital von Niederlassungen","Dotation des succursales"
"account_group_106","106","","Account of the owner or the co-owners","Konto des Eigentümers oder der Miteigentümer","Compte du propriétaire ou des copropriétaires"
"account_group_11","11","","Share premium and similar premiums","Aktienagio und ähnliche Prämien","Primes d'émission et primes assimilées"
"account_group_111","111","","Share premium","Ausgabeagio","Primes d'émission"
"account_group_112","112","","Merger premium","Agio bei Verschmelzungen","Primes de fusion"
"account_group_113","113","","Contribution premium","Agio bei Einlagen","Primes d'apport"
"account_group_114","114","","Premiums on conversion of bonds into shares","Agio bei der Umwandlung von Anleihen in Aktien","Primes de conversion d'obligations en actions"
"account_group_115","115","","Capital contribution without issue of shares","Kapitaleinlagen ohne Ausgabe von Anteilen","Apport en capitaux propres non rémunéré par des  titres"
"account_group_12","12","","Revaluation reserves","Neubewertungsrücklagen","Réserves de réévaluation"
"account_group_122","122","","Reserves in application of the equity method","Rücklagen durch Anwendung der Kapitalanteilsmethode","Réserves de mise en équivalence"
"account_group_123","123","","Temporarily not taxable currency translation adjustments","Rücklagen aus der Währungsumrechnung (unversteuert)","Plus-values sur écarts de conversion immunisées"
"account_group_128","128","","Other revaluation reserves","Sonstige Neubewertungsrücklagen","Autres réserves de réévaluation"
"account_group_13","13","","Reserves","Reserven","Réserves"
"account_group_131","131","","Legal reserve","Gesetzliche Rücklage","Réserve légale"
"account_group_132","132","","Reserves for own shares or own corporate units","Rücklagen für eigene Aktien oder eigene Anteile","Réserve pour actions propres ou parts propres"
"account_group_133","133","","Reserves provided for by the articles of association","Satzungsmäßige Rücklagen","Réserves statutaires"
"account_group_138","138","","Other reserves, including fair-value reserve","Sonstige Rücklagen, einschließlich der Neubewertungsrücklage","Autres réserves, y compris la réserve de juste valeur"
"account_group_1381","1381","","Other reserves available for distribution","Sonstige freie Rücklagen","Autres réserves disponibles"
"account_group_1382","1382","","Other reserves not available for distribution","Sonstige nicht zur Ausschüttung verfügbare Rücklagen","Autres réserves non distribuables"
"account_group_13821","13821","","Reserve for net wealth tax (NWT)","Vermögenssteuerrücklage","Réserve pour l'impôt sur la fortune (IF)"
"account_group_13822","13822","","Reserves in application of fair value","Rücklagen durch Anwendung des beizulegenden Zeitwerts (Fair Value)","Réserves en application de la juste valeur"
"account_group_13823","13823","","Temporarily not taxable capital gains","Vorübergehend nicht steuerpflichtige Kapitalgewinne","Plus-values temporairement non imposables"
"account_group_138231","138231","","Temporarily not taxable capital gains to reinvest","Sonderposten mit Rücklageanteil, zur Wiederanlage bestimmt","Plus-values immunisées à réinvestir"
"account_group_138232","138232","","Temporarily not taxable capital gains reinvested","Sonderposten mit Rücklageanteil, wiederangelegt","Plus-values immunisées réinvesties"
"account_group_13828","13828","","Reserves not available for distribution not mentioned above","Gebundene Rücklagen welche nicht oben aufgelistet wurden","Réserves non disponibles non visées ci-dessus"
"account_group_14","14","","Result for the financial year and results brought forward","Ergebnis des Haushaltsjahres und Ergebnisvortrag","Résultat de l'exercice et résultats reportés"
