id,code_prefix_start,code_prefix_end,name,chart_template_id/id
l10n_pk_group_1,1,,"Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_111,111,,"Non Current Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1111,1111,,"Property, Plant and Equipment",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1112,1112,,"Intangible Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1113,1113,,"Investment Property",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1114,1114,,"Long Term Investments",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1115,1115,,"Long Term Deposits",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1116,1116,,"Biological Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1117,1117,,"Investments in Associates",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1118,1118,,"Investments in Jointly Controlled Entities",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1119,1119,,"Other Financial Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_112,112,,"Current Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1121,1121,,"Trade Receivable",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1122,1122,,"Loans and Advances",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1123,1123,,"Trade Deposits and Short Term Prepayments",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1124,1124,,"Other Current Assets",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1125,1125,,"Stock in Trade",l10n_pk.l10n_pk_chart_template
l10n_pk_group_1126,1126,,"Cash and Bank",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2,2,,"Equity and Liabilities",l10n_pk.l10n_pk_chart_template
l10n_pk_group_21,21,,"Equity",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2111,2111,,"Share Capital",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2112,2112,,"Reserves",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2113,2113,,"Revaluation Surplus on Property and Equipment",l10n_pk.l10n_pk_chart_template
l10n_pk_group_22,22,,"Liabilities",l10n_pk.l10n_pk_chart_template
l10n_pk_group_221,221,,"Non Current Liabilities",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2211,2211,,"Long Term Financing",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2212,2212,,"Deferred Liabilities",l10n_pk.l10n_pk_chart_template
l10n_pk_group_222,222,,"Current Liabilities",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2221,2221,,"Trade and Payables",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2222,2222,,"Short Term Borrowings",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2223,2223,,"Provisions",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2224,2224,,"Unpaid Dividend",l10n_pk.l10n_pk_chart_template
l10n_pk_group_2225,2225,,"Unclaimed Dividend",l10n_pk.l10n_pk_chart_template
l10n_pk_group_3,3,,"Revenue",l10n_pk.l10n_pk_chart_template
l10n_pk_group_3111,3111,,"Sales",l10n_pk.l10n_pk_chart_template
l10n_pk_group_3112,3112,,"Other Income",l10n_pk.l10n_pk_chart_template
l10n_pk_group_4,4,,"Expenses",l10n_pk.l10n_pk_chart_template
l10n_pk_group_41,41,,"Cost of Sales",l10n_pk.l10n_pk_chart_template
l10n_pk_group_42,42,,"General and Administrative Expenses",l10n_pk.l10n_pk_chart_template
l10n_pk_group_421,421,,"Staff Cost",l10n_pk.l10n_pk_chart_template
l10n_pk_group_422,422,,"Other Operating and General Expenses",l10n_pk.l10n_pk_chart_template
l10n_pk_group_43,43,,"Selling and Distribution Expenses",l10n_pk.l10n_pk_chart_template
l10n_pk_group_44,44,,"Banking and Finance Costs",l10n_pk.l10n_pk_chart_template
l10n_pk_group_45,45,,"Income Tax Expense",l10n_pk.l10n_pk_chart_template
