"id","name","country_id","tax_receivable_account_id","tax_payable_account_id","advance_tax_payment_account_id","name@fr","name@de"
"tax_group_0","0% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 0%","MwSt. 0%"
"tax_group_3","3% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 3%","MwSt. 3%"
"tax_group_6","6% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 6%","MwSt. 6%"
"tax_group_7","7% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 7%","MwSt. 7%"
"tax_group_8","8% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 8%","MwSt. 8%"
"tax_group_10","10% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 10%","MwSt. 10%"
"tax_group_12","12% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 12%","MwSt. 12%"
"tax_group_13","13% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 13%","MwSt. 13%"
"tax_group_14","14% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 14%","MwSt. 14%"
"tax_group_15","15% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 15%","MwSt. 15%"
"tax_group_16","16% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 16%","MwSt. 16%"
"tax_group_17","17% VAT","base.lu","lu_2011_account_421612","lu_2011_account_461412","lu_2011_account_421613","TVA 17%","MwSt. 17%"
