"id","code_prefix_start","name","name@bg"
"l10n_bg_group_1","1","Capital accounts","Сметки за капитали"
"l10n_bg_group_10","10","Capital","Капитал"
"l10n_bg_group_11","11","Capital reserves","Капиталови резерви"
"l10n_bg_group_12","12","Financial results","Финансови резултати"
"l10n_bg_group_13","13","Specific non-capital reserves","Специфични некапиталови резерви"
"l10n_bg_group_14","14","Cash issues","Парични емисии"
"l10n_bg_group_15","15","Loans received","Получени заеми"
"l10n_bg_group_16","16","Attracted funds on deposit accounts","Привлечени средства по депозитни сметки"
"l10n_bg_group_17","17","Borrowed funds on current and other accounts","Привлечени средства по разплащателни и други сметки"
"l10n_bg_group_18","18","Funds raised on accounts of participants in insurance funds","Привлечени средства по сметки на участници в осигурителни фондове"
"l10n_bg_group_19","19","Premiums and discounts on financial instruments","Премии и сконто по финансови инструменти"
"l10n_bg_group_2","2","Accounts for fixed assets","Сметки за дълготрайни активи"
"l10n_bg_group_20","20","Tangible fixed assets","Дълготрайни материални активи"
"l10n_bg_group_21","21","Tangible fixed assets","Дълготрайни материални активи"
"l10n_bg_group_22","22","Long-term financial assets","Дългосрочни финансови активи"
"l10n_bg_group_23","23","Goodwill","Търговска репутация"
"l10n_bg_group_24","24","Depreciation","Амортизация"
"l10n_bg_group_26","26","Long-term receivables and loans","Дългосрочни вземания и предоставени заеми"
"l10n_bg_group_27","27","Long-term biological assets","Дълготрайни биологични активи"
"l10n_bg_group_3","3","Accounts for inventories","Сметки за стоково-материални запаси"
"l10n_bg_group_30","30","Materials, products and goods","Материали, продукция и стоки"
"l10n_bg_group_31","31","Current biological assets","Краткотрайни биологични активи"
"l10n_bg_group_4","4","Accounts for settlements","Сметки за разчети"
"l10n_bg_group_40","40","Providers and related accounts","Доставчици и свързани с тях сметки"
"l10n_bg_group_41","41","Customers and related accounts","Клиенти и свързани с тях сметки"
"l10n_bg_group_42","42","Staff and partners","Персонал и съдружници"
"l10n_bg_group_43","43","Translation estimates and internal estimates","Разчети по преводи и вътрешни разчети"
"l10n_bg_group_44","44","Receivables from absences, deductions and litigation","Вземания по съдебни спорове"
"l10n_bg_group_45","45","Estimates from the budget and departments","Разчети с бюджета и с ведомства"
"l10n_bg_group_46","46","Settlements with insurers","Разчети с осигурители"
"l10n_bg_group_47","47","Settlements with international financial institutions","Разчети с международни финансови институции"
"l10n_bg_group_48","48","Insurance and co-insurance estimates","Разчети по застраховане и съзастраховане"
"l10n_bg_group_49","49","Miscellaneous debtors and creditors","Разни дебитори и кредитори"
"l10n_bg_group_5","5","Accounts for financial resources","Сметки за финансови средства"
"l10n_bg_group_50","50","Cash","Парични средства"
"l10n_bg_group_51","51","Current financial assets","Краткосрочни финансови активи"
"l10n_bg_group_52","52","Current receivables and loans","Краткосрочни вземания и заеми"
"l10n_bg_group_6","6","Expense accounts","Сметки за разходи"
"l10n_bg_group_60","60","Costs by economic elements","Разходи по икономически елементи"
"l10n_bg_group_61","61","Activity costs","Разходи за дейността"
"l10n_bg_group_62","62","Financial costs","Финансови разходи"
"l10n_bg_group_63","63","Impairment loss (expense)","Загуба (разходи) от обезценка"
"l10n_bg_group_65","65","Prepaid expenses","Разходи за бъдещи периоди"
"l10n_bg_group_66","66","Direct insurance costs","Разходи за пряко застраховане"
"l10n_bg_group_67","67","Passive reinsurance expenses","Разходи по пасивно презастраховане"
"l10n_bg_group_68","68","Active reinsurance expenses","Разходи по активно презастраховане"
"l10n_bg_group_69","69","Exceptional costs","Извънредни разходи"
"l10n_bg_group_7","7","Income accounts","Сметки за приходи"
"l10n_bg_group_70","70","Sales revenue","Приходи от продажби"
"l10n_bg_group_71","71","Revenues in non-profit enterprises","Приходи в предприятия с нестопанска дейност"
"l10n_bg_group_72","72","Financial income","Финансови приходи"
"l10n_bg_group_73","73","Income from recovered impairment losses","Приходи от възстановени загуби от обезценка"
"l10n_bg_group_75","75","Deferred income and financing","Приходи за бъдещи периоди и финансирания"
"l10n_bg_group_76","76","Income from direct insurance","Приходи от пряко застраховане"
"l10n_bg_group_77","77","Passive reinsurance income","Приходи от пасивно презастраховане"
"l10n_bg_group_78","78","Income from active reinsurance","Приходи от активно презастраховане"
"l10n_bg_group_79","79","Extraordinary income","Извънредни приходи"
"l10n_bg_group_9","9","Conditional liabilities and contingent assets accounts","Сметки за условни пасиви и условни активи"
"l10n_bg_group_91","91","Foreign tangible and intangible assets","Чужди материални и нематериални активи"
"l10n_bg_group_92","92","Foreign financial assets","Чужди финансови активи"
"l10n_bg_group_93","93","Debtors on contingent receivables","Дебитори по условни вземания"
"l10n_bg_group_94","94","Contingent assets","Условни активи"
"l10n_bg_group_95","95","Contingent creditors","Кредитори по условни задължения"
"l10n_bg_group_96","96","Own assets not included in economic turnover","Собствени активи, невключени в стопански оборот"
"l10n_bg_group_97","97","Own liabilities not included in economic turnover","Собствени пасиви, невключени в стопански оборот"
"l10n_bg_group_98","98","Miscellaneous contingent asset accounts","Разни сметки за условни активи"
"l10n_bg_group_99","99","Various contingent liability accounts","Разни сметки за условни пасиви"
