"id","name","code","account_type","tag_ids","reconcile","name@ru"
"kz1000","Cash","1000","asset_cash","","False","Денежные средства"
"kz1010","Cash on hand","1010","asset_cash","","False","Денежные средства в кассе"
"kz1030","Cash in current bank accounts","1030","asset_cash","","False","Денежные средства на текущих банковских счетах"
"kz1040","Cash on correspondent accounts","1040","asset_cash","","False","Денежные средства на корреспондентских счетах"
"kz1050","Cash in savings accounts","1050","asset_cash","","False","Денежные средства на сберегательных счетах"
"kz1060","Restricted cash","1060","asset_cash","","False","Денежные средства, ограниченные в использовании"
"kz1070","Cash accounting for electronic cash","1070","asset_cash","","False","Учет электронных денежных средств"
"kz1080","Other cash","1080","asset_cash","","False","Прочие денежные средства"
"kz1090","Valuation allowance for cash impairment losses","1090","asset_cash","","False","Оценочный резерв под убытки от обесценения денежных средств"
"kz1100","Short-term financial assets","1100","asset_current","","False","Краткосрочные финансовые активы"
"kz1110","Short-term financial assets measured at amortized cost","1110","asset_current","","False","Краткосрочные финансовые активы, оцениваемые по амортизированной стоимости"
"kz1120","Short-term financial assets measured at fair value through other comprehensive income","1120","asset_current","","False","Краткосрочные финансовые активы, оцениваемые по справедливой стоимости через прочий совокупный доход"
"kz1130","Short-term financial assets at fair value through profit or loss","1130","asset_current","","False","Краткосрочные финансовые активы, оцениваемые по справедливой стоимости через прибыль или убыток"
"kz1140","Derivative financial instruments","1140","asset_current","","False","Производные финансовые инструменты"
"kz1150","Short term interest receivable","1150","asset_current","","False","Краткосрочные вознаграждения к получению"
"kz1160","Other current financial assets","1160","asset_current","","False","Прочие краткосрочные финансовые активы"
"kz1170","Provision for impairment losses on short-term financial assets","1170","asset_current","","False","Оценочный резерв под убытки от обесценения краткосрочных финансовых активов"
"kz1200","Short-term accounts receivable","1200","asset_receivable","","True","Краткосрочная дебиторская задолженность"
"kz1210","Short-term accounts receivable from buyers and customers","1210","asset_receivable","","True","Краткосрочная дебиторская задолженность покупателей и заказчиков"
"kz1220","Short-term accounts receivable from subsidiaries","1220","asset_receivable","","True","Краткосрочная дебиторская задолженность дочерних организаций"
"kz1230","Short-term accounts receivable from associates and joint ventures","1230","asset_receivable","","True","Краткосрочная дебиторская задолженность ассоциированных и совместных организаций"
"kz1240","Short-term accounts receivable from branches and divisions","1240","asset_receivable","","True","Краткосрочная дебиторская задолженность филиалов и структурных подразделений"
"kz1250","Short-term accounts receivable from employees","1250","asset_receivable","","True","Краткосрочная дебиторская задолженность работников"
"kz1260","Short-term lease receivables","1260","asset_receivable","","True","Краткосрочная дебиторская задолженность по аренде"
"kz1270","Other short-term receivables","1270","asset_receivable","","True","Прочая краткосрочная дебиторская задолженность"
"kz1280","Estimated reserve for impairment of short-term accounts receivable","1280","asset_receivable","","True","Оценочный резерв под убытки от обесценения краткосрочной дебиторской задолженности"
"kz1300","Inventories","1300","asset_current","","False","Запасы"
"kz1310","Raw materials and supplies","1310","asset_current","","False","Сырье и материалы"
"kz1320","Finished goods","1320","asset_current","","False","Готовая продукция"
"kz1330","Goods","1330","asset_current","","False","Товары"
"kz1340","Work in progress","1340","asset_current","","False","Незавершенное производство"
"kz1350","Other inventories","1350","asset_current","","False","Прочие запасы"
"kz1360","Valuation allowance for inventory impairment","1360","asset_current","","False","Оценочный резерв под убытки от обесценения запасов"
"kz1370","Right-of-use asset","1370","asset_current","","False","Актив по праву на возврат запасов"
"kz1400","Current tax assets","1400","asset_current","","False","Текущие налоговые активы"
"kz1410","Corporate income tax","1410","asset_current","","False","Корпоративный подоходный налог"
"kz1420","Value added tax","1420","asset_current","","False","Налог на добавленную стоимость"
"kz1430","Other taxes and other obligatory payments to the budget","1430","asset_current","","False","Прочие налоги и другие обязательные платежи в бюджет"
"kz1500","Non-current assets held for sale","1500","asset_current","","False","Долгосрочные активы, предназначенные для продажи"
"kz1510","Non-current assets held for sale","1510","asset_current","","False","Долгосрочные активы, предназначенные для продажи"
"kz1520","Disposal groups held for sale","1520","asset_current","","False","Группы на выбытие, предназначенные для продажи"
"kz1530","Valuation allowance for impairment losses on long-lived assets (or disposal groups) held for sale","1530","asset_current","","False","Оценочный резерв под убытки от обесценения долгосрочных активов (или выбывающих групп), предназначенных для продажи"
"kz1600","Biological assets","1600","asset_current","","False","Биологические активы"
"kz1610","Plants","1610","asset_current","","False","Растения"
"kz1620","Animals","1620","asset_current","","False","Животные"
"kz1630","Estimated allowance for impairment losses on biological assets","1630","asset_current","","False","Оценочный резерв под убытки от обесценения биологических активов"
"kz1700","Other current assets","1700","asset_current","","False","Прочие краткосрочные активы"
"kz1710","Short term advances paid","1710","asset_current","","False","Краткосрочные авансы выданные"
"kz1720","Deferred expenses","1720","asset_current","","False","Расходы будущих периодов"
"kz1730","Short-term contract assets","1730","asset_current","","False","Краткосрочные активы по договорам"
"kz1740","Valuation allowance for losses on impairment of short-term contract assets","1740","asset_current","","False","Оценочный резерв под убытки от обесценения краткосрочных активов по договорам"
"kz1750","Other current assets","1750","asset_non_current","","False","Прочие краткосрочные активы"
"kz2000","Long-term financial assets","2000","asset_non_current","","False","Долгосрочные финансовые активы"
"kz2010","Long term financial assets measured at amortized cost","2010","asset_non_current","","False","Долгосрочные финансовые активы, оцениваемые по амортизированной стоимости"
"kz2020","Long term financial assets at fair value through other comprehensive income","2020","asset_non_current","","False","Долгосрочные финансовые активы, оцениваемые по справедливой стоимости через прочий совокупный доход"
"kz2030","Long term financial assets at fair value through profit or loss","2030","asset_non_current","","False","Долгосрочные финансовые активы, оцениваемые по справедливой стоимости через прибыль или убыток"
"kz2040","Derivative financial instruments","2040","asset_non_current","","False","Производные финансовые инструменты"
"kz2050","Long-term benefits receivable","2050","asset_non_current","","False","Долгосрочные вознаграждения к получению"
"kz2060","Equity instruments","2060","asset_non_current","","False","Долевые инструменты"
"kz2070","Other non-current financial assets","2070","asset_non_current","","False","Прочие долгосрочные финансовые активы"
"kz2080","Valuation allowance for long term financial assets","2080","asset_non_current","","False","Оценочный резерв под убытки от обесценения долгосрочных финансовых активов"
"kz2100","Long-term accounts receivable","2100","asset_non_current","","False","Долгосрочная дебиторская задолженность"
"kz2110","Long-term accounts receivable from buyers and customers","2110","asset_non_current","","False","Долгосрочная задолженность покупателей и заказчиков"
"kz2120","Long-term accounts receivable from subsidiaries","2120","asset_non_current","","False","Долгосрочная дебиторская задолженность дочерних организаций"
"kz2130","Long-term accounts receivable from associates and joint ventures","2130","asset_non_current","","False","Долгосрочная дебиторская задолженность ассоциированных и совместных организаций"
"kz2140","Long-term accounts receivable from affiliates and subsidiaries","2140","asset_non_current","","False","Долгосрочная дебиторская задолженность филиалов и структурных подразделений"
"kz2150","Long-term accounts receivable from employees","2150","asset_non_current","","False","Долгосрочная дебиторская задолженность работников"
"kz2160","Long-term lease receivables","2160","asset_non_current","","False","Долгосрочная дебиторская задолженность по аренде"
"kz2170","Other long-term receivables","2170","asset_non_current","","False","Прочая долгосрочная дебиторская задолженность"
"kz2180","Valuation allowance for impairment of long-term accounts receivable","2180","asset_non_current","","False","Оценочный резерв под убытки от обесценения долгосрочной дебиторской задолженности"
"kz2200","Investments accounted for using the equity method","2200","asset_non_current","","False","Инвестиции, учитываемые методом долевого участия"
"kz2210","Investments accounted for using the equity method","2210","asset_non_current","","False","Инвестиции, учитываемые методом долевого участия"
"kz2220","Investments accounted for under the historical cost method","2220","asset_non_current","","False","Инвестиции, учитываемые по первоначальной стоимости"
"kz2230","Valuation allowance for impairment losses on investments","2230","asset_non_current","","False","Оценочный резерв под убытки от обесценения инвестиций"
"kz2300","Investment property","2300","asset_non_current","","False","Инвестиционное имущество"
"kz2310","Investment property","2310","asset_non_current","","False","Инвестиционное имущество"
"kz2320","Depreciation of investment property","2320","asset_non_current","","False","Амортизация инвестиционного имущества"
"kz2330","Valuation allowance for impairment of investment property","2330","asset_non_current","","False","Оценочный резерв под убытки от обесценения инвестиционного имущества"
"kz2400","Property, plant and equipment","2400","asset_non_current","","False","Основные средства"
"kz2410","Property, plant and equipment","2410","asset_non_current","","False","Основные средства"
"kz2420","Depreciation of property, plant and equipment","2420","asset_non_current","","False","Амортизация основных средств"
"kz2430","Valuation allowance for impairment of property, plant and equipment","2430","asset_non_current","","False","Оценочный резерв под убытки от обесценения основных средств"
"kz2440","Right to use an asset","2440","asset_non_current","","False","Право пользования активом"
"kz2450","Depreciation of the right to use the asset","2450","asset_non_current","","False","Амортизация права пользования активом"
"kz2460","Loss from impairment of the right to use the asset","2460","asset_non_current","","False","Убыток от обесценения права пользования активом"
"kz2500","Biological assets","2500","asset_non_current","","False","Биологические активы"
"kz2510","Plants","2510","asset_non_current","","False","Растения"
"kz2520","Animals","2520","asset_non_current","","False","Животные"
"kz2530","Depreciation of biological assets","2530","asset_non_current","","False","Амортизация биологических активов"
"kz2540","Valuation allowance for impairment losses on biological assets","2540","asset_non_current","","False","Оценочный резерв под убытки от обесценения биологических активов"
"kz2600","Exploration and evaluation assets","2600","asset_non_current","","False","Разведочные и оценочные активы"
"kz2610","Exploration and evaluation assets","2610","asset_non_current","","False","Разведочные и оценочные активы"
"kz2620","Depreciation of Exploration and Appraisal Assets","2620","asset_non_current","","False","Амортизация разведочных и оценочных активов"
"kz2630","Appraisal allowance for losses on impairment of exploration and evaluation assets","2630","asset_non_current","","False","Оценочный резерв под убытки от обесценения разведочных и оценочных активов"
"kz2700","Intangible assets","2700","asset_fixed","","False","Нематериальные активы"
"kz2710","Goodwill","2710","asset_fixed","","False","Гудвилл"
"kz2720","Impairment of goodwill","2720","asset_fixed","","False","Обесценение гудвилла"
"kz2730","Other intangible assets","2730","asset_fixed","","False","Прочие нематериальные активы"
"kz2740","Amortization of other intangible assets","2740","asset_fixed","","False","Амортизация прочих нематериальных активов"
"kz2750","Valuation allowance for impairment losses on other intangible assets","2750","asset_fixed","","False","Оценочный резерв под убытки от обесценения прочих нематериальных активов"
"kz2760","Right to use the asset","2760","asset_fixed","","False","Право пользования активом"
"kz2770","Amortization of right to use an asset","2770","asset_fixed","","False","Амортизация права пользования активом"
"kz2780","Valuation allowance for impairment losses on right to use assets","2780","asset_fixed","","False","Оценочный резерв под убытки от обесценения права пользования активом"
"kz2800","Deferred tax assets","2800","asset_fixed","","False","Отложенные налоговые активы"
"kz2810","Deferred corporate income tax assets","2810","asset_fixed","","False","Отложенные налоговые активы по корпоративному подоходному налогу"
"kz2900","Other non-current assets","2900","asset_fixed","","False","Прочие долгосрочные активы"
"kz2910","Long term advances paid","2910","asset_fixed","","False","Долгосрочные авансы выданные"
"kz2920","Deferred expenses","2920","asset_fixed","","False","Расходы будущих периодов"
"kz2930","Construction in progress","2930","asset_fixed","","False","Незавершенное строительство"
"kz2940","Long-term contractual assets","2940","asset_fixed","","False","Долгосрочные активы по договорам"
"kz2950","Valuation allowance for losses on impairment of long-lived assets","2950","asset_fixed","","False","Оценочный резерв под убытки от обесценения долгосрочных активов по договорам"
"kz2960","Contractual costs","2960","asset_fixed","","False","Затраты по договорам"
"kz2970","Amortization of Contract Costs","2970","asset_fixed","","False","Амортизация затрат по договорам"
"kz2980","Valuation allowance for losses on impairment of contract costs","2980","asset_fixed","","False","Оценочный резерв под убытки от обесценения затрат по договорам"
"kz2990","Other non-current assets, which include other groups of non-current assets not shown in the previous groupings","2990","asset_fixed","","False","Прочие долгосрочные активы, где учитываются прочие группы долгосрочных активов, не указанные в предыдущих группах"
"kz3000","Current financial liabilities","3000","liability_current","","False","Краткосрочные финансовые обязательства"
"kz3010","Current financial liabilities measured at amortized cost","3010","liability_current","","False","Краткосрочные финансовые обязательства, оцениваемые по амортизированной стоимости"
"kz3020","Current financial liabilities at amortized cost","3020","liability_current","","False","Краткосрочные финансовые обязательства, оцениваемые по справедливой стоимости через прибыль или убыток"
"kz3030","Derivative financial instruments","3030","liability_current","","False","Производные финансовые инструменты"
"kz3040","Short-term payables on dividends and participants income","3040","liability_current","","False",""
"kz3050","Short-term benefits payable","3050","liability_current","","False","Краткосрочные вознаграждения к выплате"
"kz3060","Current portion of long-term financial liabilities at amortized cost","3060","liability_current","","False","Текущая часть долгосрочных финансовых обязательств, оцениваемых по амортизированной стоимости"
"kz3070","Current portion of long-term financial liabilities at fair value through profit or loss","3070","liability_current","","False","Текущая часть долгосрочных финансовых обязательств, оцениваемых по справедливой стоимости через прибыль или убытки"
"kz3080","Other current financial liabilities","3080","liability_current","","False","Прочие краткосрочные финансовые обязательства"
"kz3100","Tax liabilities","3100","liability_current","","False","Обязательства по налогам"
"kz3110","Corporate income tax payable","3110","liability_current","","False","Корпоративный подоходный налог, подлежащий уплате"
"kz3120","Individual income tax","3120","liability_current","","False","Индивидуальный подоходный налог"
"kz3130","Value added tax","3130","liability_current","","False","Налог на добавленную стоимость"
"kz3140","Excise tax","3140","liability_current","","False","Акцизы"
"kz3150","Social tax","3150","liability_current","","False","Социальный налог"
"kz3160","Land tax","3160","liability_current","","False","Земельный налог"
"kz3170","Vehicle tax","3170","liability_current","","False","Налог на транспортные средства"
"kz3180","Property tax","3180","liability_current","","False","Налог на имущество"
"kz3190","Other taxes","3190","liability_current","","False","Прочие налоги"
"kz3200","Other compulsory and voluntary payments","3200","liability_current","","False","Обязательства по другим обязательным и добровольным платежам"
"kz3210","Social insurance liabilities","3210","liability_current","","False","Обязательства по социальному страхованию"
"kz3220","Retirement benefit obligations","3220","liability_current","","False","Обязательства по пенсионным отчислениям"
"kz3230","Other liabilities on other obligatory payments","3230","liability_current","","False","Прочие обязательства по другим обязательным платежам"
"kz3240","Other liabilities on other voluntary payments","3240","liability_current","","False","Прочие обязательства по другим добровольным платежам"
"kz3300","Short-term accounts payable","3300","liability_payable","","True","Краткосрочная кредиторская задолженность"
