"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"tva_sale_19","19% G","19% goods","","19.0","percent","sale","tax_group_19","base","invoice","","NE_1","","","19% biens","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","NE_8","","","","",""
"","","","","","","","","base","refund","","NE_1","","","","",""
"","","","","","","","","tax","refund","pcg_4431","NE_8","","","","",""
"tva_sale_service_19","19% S","19% services","","19.0","percent","sale","tax_group_19","base","invoice","","NE_2","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","NE_8","","","","",""
"","","","","","","","","base","refund","","NE_2","","","","",""
"","","","","","","","","tax","refund","pcg_4431","NE_8","","","","",""
"tva_sale_self_19","19% SD","19% Self-delivery","","19.0","percent","none","tax_group_19","base","invoice","","NE_3","","19% LASM","19% Livraison à soi-même","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4431","NE_8","","","","",""
"","","","","","","","","tax","invoice","pcg_4452","NE_16","-100","","","",""
"","","","","","","","","base","refund","","NE_3","","","","",""
"","","","","","","","","tax","refund","pcg_4431","NE_8","","","","",""
"","","","","","","","","tax","refund","pcg_4452","NE_16","-100","","","",""
"tva_purchase_19","19%","","","19.0","percent","purchase","tax_group_19","base","invoice","","","","","","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4452","NE_13","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","pcg_4452","NE_13","","","","",""
"tva_purchase_invest_19","19% INV","19% (local invest purchases)","","19.0","percent","purchase","tax_group_19","base","invoice","","","","","19% (achats d'investissements locaux)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","pcg_4452","NE_11","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","pcg_4452","NE_11","","","","",""
"tva_export_0","0% EX","0% (export)","","0.0","","sale","tax_group_0","base","invoice","","NE_5","","","0% (exportation)","fiscal_position_template_2","tva_sale_19,tva_sale_service_19"
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","NE_5","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_import_19","19% EX","19% (import)","","19.0","","purchase","tax_group_19","base","invoice","","","","","19% (importation)","fiscal_position_template_2","tva_purchase_19"
"","","","","","","","","tax","invoice","pcg_4431","NE_8","-100","","","",""
"","","","","","","","","tax","invoice","pcg_4452","NE_12","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","pcg_4431","NE_8","-100","","","",""
"","","","","","","","","tax","refund","pcg_4452","NE_12","","","","",""
"tva_import_invest_19","19% INV EX","19% (import of invest purchases)","","19.0","","purchase","tax_group_19","base","invoice","","","","","19% (importation d'achats d'investissements)","fiscal_position_template_2","tva_purchase_invest_19"
"","","","","","","","","tax","invoice","pcg_4431","NE_8","-100","","","",""
"","","","","","","","","tax","invoice","pcg_4452","NE_10","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","pcg_4431","NE_8","-100","","","",""
"","","","","","","","","tax","refund","pcg_4452","NE_10","","","","",""
"tva_exempt_0","0%","0% (exempt)","","0.0","","sale","tax_group_0","base","invoice","","NE_6","","","0% (exonéré)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","NE_6","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","tax_group_0","base","invoice","","","","","0% (exonéré)","fiscal_position_template_1",""
"","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","tax","refund","","","","","","",""
