"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@fr"
"syscebnl_tva_sale_18","18%","","","18.0","percent","sale","syscebnl_tax_group_18","base","invoice","+sale_base","","",""
"","","","","","","","","tax","invoice","+sale_tax","syscebnl_443","",""
"","","","","","","","","base","refund","-sale_base","","",""
"","","","","","","","","tax","refund","-sale_tax","syscebnl_443","",""
"syscebnl_tva_purchase_good_18","18% G","18% goods","","18.0","percent","purchase","syscebnl_tax_group_18","base","invoice","+goods_base","","","18% Produits"
"","","","","","","","","tax","invoice","+goods_tax","syscebnl_445","",""
"","","","","","","","","base","refund","-goods_base","","",""
"","","","","","","","","tax","refund","-goods_tax","syscebnl_445","",""
"syscebnl_tva_purchase_service_18","18% S","18% services","","18.0","percent","purchase","syscebnl_tax_group_18","base","invoice","+services_base","","",""
"","","","","","","","","tax","invoice","+services_tax","syscebnl_445","",""
"","","","","","","","","base","refund","-services_base","","",""
"","","","","","","","","tax","refund","-services_tax","syscebnl_445","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","+export","","","0% (exportation)"
"","","","","","","","","tax","invoice","","","",""
"","","","","","","","","base","refund","-export","","",""
"","","","","","","","","tax","refund","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","+import_base","","","0% (importation)"
"","","","","","","","","tax","invoice","","","",""
"","","","","","","","","base","refund","-import_base","","",""
"","","","","","","","","tax","refund","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","+sale_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","",""
"","","","","","","","","base","refund","-sale_exempt","","",""
"","","","","","","","","tax","refund","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","+purc_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","",""
"","","","","","","","","base","refund","-purc_exempt","","",""
"","","","","","","","","tax","refund","","","",""

