"id","name","code","parent_id:id"
"gd_ddv_code_1","Mentis d.o.o.","1",
"gd_ddv_code_10","Osnove DDV","10","gd_ddv_code_1"
"gd_ddv_code_101","Osnove - izstopni DDV","101","gd_ddv_code_10"
"gd_ddv_code_1011","Prodaja oproščena DDV","1011","gd_ddv_code_101"
"gd_ddv_code_1012","Prodaja po znižani stopnji DDV","1012","gd_ddv_code_101"
"gd_ddv_code_1013","Prodaja po osnovni stopnji DDV","1013","gd_ddv_code_101"
"gd_ddv_code_102","Osnove - vstopni DDV","102","gd_ddv_code_10"
"gd_ddv_code_1021","Nabave oproščene DDV","1021","gd_ddv_code_102"
"gd_ddv_code_1022","Nabave po znižani stopnji DDV","1022","gd_ddv_code_102"
"gd_ddv_code_1023","Nabave po osnovni stopnji DDV","1023","gd_ddv_code_102"
"gd_ddv_code_11","Bilanca DDV","11","gd_ddv_code_1"
"gd_ddv_code_111","Izstopni DDV","111","gd_ddv_code_11"
"gd_ddv_code_1111","Izstopni DDV - znižana stopnja","1111","gd_ddv_code_111"
"gd_ddv_code_1112","Izstopni DDV - osnovna stopnja","1112","gd_ddv_code_111"
"gd_ddv_code_112","Vstopni DDV","112","gd_ddv_code_11"
"gd_ddv_code_1121","Vstopni DDV - znižana stopnja","1121","gd_ddv_code_112"
"gd_ddv_code_1122","Vstopni DDV - osnovna stopnja","1122","gd_ddv_code_112"
