id,name,description
,303,Honorarios profesionales y demás pagos por servicios relacionados con el título profesional
,304,Servicios predomina el intelecto no relacionados con el título profesional
,304A,Comisiones y demás pagos por servicios predomina intelecto no relacionados con el título profesional
,304B,Pagos a notarios y registradores de la propiedad y mercantil por sus actividades ejercidas como tales
,304C,Pagos a deportistas, entrenadores, árbitros, miembros del cuerpo técnico por sus actividades ejercidas como tales
,304D,Pagos a artistas por sus actividades ejercidas como tales
,304E,Honorarios y demás pagos por servicios de docencia
,307,Servicios predomina la mano de obra
,308,Utilización o aprovechamiento de la imagen o renombre
,309,Servicios prestados por medios de comunicación y agencias de publicidad
,310,Servicio de transporte privado de pasajeros o transporte público o privado de carga
,311,Por pagos a través de liquidación de compra (nivel cultural o rusticidad)
,312,Transferencia de bienes muebles de naturaleza corporal
,312A,Compra de bienes de origen agrícola, avícola, pecuario, apícola, cunícula, bioacuático, y forestal
,314A,Regalías por concepto de franquicias de acuerdo a Ley de Propiedad Intelectual - pago a personas naturales
,314B,Cánones, derechos de autor,  marcas, patentes y similares de acuerdo a Ley de Propiedad Intelectual – pago a personas naturales
,314C,Regalías por concepto de franquicias de acuerdo a Ley de Propiedad Intelectual  - pago a sociedades
,314D,Cánones, derechos de autor,  marcas, patentes y similares de acuerdo a Ley de Propiedad Intelectual – pago a sociedades
,319,Cuotas de arrendamiento mercantil, inclusive la de opción de compra
,320,Por arrendamiento bienes inmuebles
,322,Seguros y reaseguros (primas y cesiones)
,323,Por rendimientos financieros pagados a naturales y sociedades  (No a IFIs)
,323A,Por RF: depósitos Cta. Corriente
,323B1,Por RF:  depósitos Cta. Ahorros Sociedades
,323E,Por RF: depósito a plazo fijo  gravados
,323E2,Por RF: depósito a plazo fijo exentos
,323F,Por rendimientos financieros: operaciones de reporto - repos
,323G,Por RF: inversiones (captaciones) rendimientos distintos de aquellos pagados a IFIs
,323H,Por RF: obligaciones
,323I,Por RF: bonos convertible en acciones
,323 M,Por RF: Inversiones en títulos valores en renta fija gravados 
,323 N,Por RF: Inversiones en títulos valores en renta fija exentos
,323 O,Por RF: Intereses pagados a bancos y otras entidades sometidas al control de la Superintendencia de Bancos y de la Economía Popular y Solidaria
,323 P,Por RF: Intereses pagados por entidades del sector público a favor de sujetos pasivos
,323Q,Por RF: Otros intereses y rendimientos financieros gravados 
,323R,Por RF: Otros intereses y rendimientos financieros exentos
,324A,Por RF: Intereses en operaciones de crédito entre instituciones del sistema financiero y entidades economía popular y solidaria
,324B,Por RF: Por inversiones entre instituciones del sistema financiero y entidades economía popular y solidaria
,325,Anticipo dividendos
,325A,Dividendos anticipados préstamos accionistas, beneficiarios o partícipes
,326,Dividendos distribuidos que correspondan al impuesto a la renta único establecido en el art. 27 de la lrti
,327,Dividendos distribuidos a personas naturales residentes cuando la sociedad que distribuye aplicó tarifa del 22% IR
,328,Dividendos distribuidos a sociedades residentes
,329,dividendos distribuidos a fideicomisos residentes
,330,Dividendos gravados distribuidos en acciones (reinversión de utilidades sin derecho a reducción tarifa IR) cuando la sociedad que distribuye aplicó tarifa del 22% IR
,331,Dividendos exentos distribuidos en acciones (reinversión de utilidades con derecho a reducción tarifa IR) 
,332,Otras compras de bienes y servicios no sujetas a retención
,332A,Por la enajenación ocasional de acciones o participaciones y títulos valores
,332B,Compra de bienes inmuebles
,332C,Transporte público de pasajeros
,332D,Pagos en el país por transporte de pasajeros o transporte internacional de carga, a compañías nacionales o extranjeras de aviación o marítimas
,332E,Valores entregados por las cooperativas de transporte a sus socios
,332F,Compraventa de divisas distintas al dólar de los Estados Unidos de América
,332G,Pagos con tarjeta de crédito 
,332H,Pago al exterior tarjeta de crédito reportada por la Emisora de tarjeta de crédito, solo recap
,332I,Pago a través de convenio de debito (Clientes IFI`s)
,333,Enajenación de derechos representativos de capital y otros derechos cotizados en bolsa ecuatoriana
