id,name,description
,01,Crédito Tributario para declaración de IVA
,02,Costo o Gasto para declaración de Imp. Renta
,03,Activo Fijo - Crédito Tributario para declaración de IVA
,04,Activo Fijo - Costo o Gasto para declaración de IR
,05,Liquidación Gastos de Viaje, hospedaje y alimentación Gastos Imp. Renta
,06,Inventario - Crédito Tributario para declaración de IVA
,07,Inventario - Costo o Gasto para declaración de IR
,08,Valor pagado para solicitar Reembolso de Gasto
,09,Reembolso por Siniestros
,10,Distribución de Dividendos, Beneficios o Utilidades
,11,Convenios de débito o recaudación para IFI´s
,12,Impuestos y retenciones presuntivos
,13,Valores reconocidos por entidades del sector público a favor de sujetos pasivos
,00,Casos especiales cuyo sustento no aplica en las opciones anteriores
