"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@fr","name@fr"
"syscebnl_tva_sale_19_25","19.25%","","True","","19.25","percent","sale","syscebnl_tax_group_19_25","base","invoice","+CM_10_base","","","",""
"","","","","","","","","","tax","invoice","+CM_10_tax","syscebnl_443","","",""
"","","","","","","","","","base","refund","-CM_10_base","","","",""
"","","","","","","","","","tax","refund","-CM_10_tax","syscebnl_443","","",""
"syscebnl_tva_purchase_good_19_25","19.25% G","19.25% local goods","True","","19.25","percent","purchase","syscebnl_tax_group_19_25","base","invoice","","","","19.25% sur les achats locaux",""
"","","","","","","","","","tax","invoice","+CM_18","syscebnl_445","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-CM_18","syscebnl_445","","",""
"syscebnl_tva_purchase_services_19_25","19.25% S","19.25% on services","True","","19.25","percent","purchase","syscebnl_tax_group_19_25","base","invoice","","","","19.25% sur les services",""
"","","","","","","","","","tax","invoice","+CM_19","syscebnl_445","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","-CM_19","syscebnl_445","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","True","","0.0","","sale","syscebnl_tax_group_0","base","invoice","+CM_13","","","0% (exportation)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","-CM_13","","","",""
"","","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","True","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","0% (importation)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","True","","0.0","","sale","syscebnl_tax_group_0","base","invoice","+CM_14","","","0% (exonéré)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","-CM_14","","","",""
"","","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","True","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","","","0% (exonéré)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
