id,parent_id:id,code,sign,tax_code,name,info
lv_tax_code_template_001,,1,0,,Template,
lv_tax_code_template_050,lv_tax_code_template_001,50,0,,Pievienotās vērtības nodoklis,PVN deklarācijas 70 vai 80 rinda
lv_tax_code_template_420,lv_tax_code_template_050,420,1,70 – 80,"Valsts budžetā maksājamā nodokļa summa (+), no valsts budžeta atmaksājamā nodokļa summa (-)",
lv_tax_code_template_100,lv_tax_code_template_420,100,0,40,"KOPĒJĀ DARĪJUMU VĒRTĪBA (latos), no tās:",
lv_tax_code_template_110,lv_tax_code_template_100,110,1,41,Ar PVN standartlikmi apliekamie darījumi,
lv_tax_code_template_120,lv_tax_code_template_100,120,1,41.1,"Iekšzemē veiktie darījumi, par kuriem nodokli maksā preču vai pakalpojumu saņēmējs",
lv_tax_code_template_130,lv_tax_code_template_100,130,1,42,Ar PVN samazināto likmi apliekamie darījumi,
lv_tax_code_template_140,lv_tax_code_template_100,140,1,43,"Ar PVN 0% likmi apliekamie darījumi, tai skaitā:",
lv_tax_code_template_150,lv_tax_code_template_140,150,1,44,"- darījumi, kas veikti brīvostās un SEZ",
lv_tax_code_template_160,lv_tax_code_template_140,160,1,45,- uz ES dalībvalstīm piegādātās preces,
lv_tax_code_template_170,lv_tax_code_template_140,170,1,46,- ārpuskopienas preču piegādes muitas noliktavās un brīvajās zonās,
lv_tax_code_template_180,lv_tax_code_template_140,180,1,47,- uz ES dalībvalstīm piegādātie jaunie transportlīdzekļi,
lv_tax_code_template_190,lv_tax_code_template_140,190,1,48,- par sniegtajiem pakalpojumiem,
lv_tax_code_template_200,lv_tax_code_template_140,200,1,48.1,- eksportētās preces,
lv_tax_code_template_210,lv_tax_code_template_100,210,1,48.2,Citās valstīs veiktie darījumi,
lv_tax_code_template_220,lv_tax_code_template_100,220,1,49,Ar PVN neapliekamie darījumi,
lv_tax_code_template_230,lv_tax_code_template_100,230,0,50,No ES dalībvalstīm saņemtās preces un pakalpojumi (standartlikme),
lv_tax_code_template_240,lv_tax_code_template_100,240,0,51,No ES dalībvalstīm saņemtās preces (samazinātā likme),
lv_tax_code_template_250,lv_tax_code_template_420,250,1,,APRĒĶINĀTAIS PVN (latos):,
lv_tax_code_template_260,lv_tax_code_template_250,260,1,52,Ar PVN standartlikmi apliekamiem darījumiem,
lv_tax_code_template_270,lv_tax_code_template_250,270,1,53,Ar PVN samazināto likmi apliekamiem darījumiem,
lv_tax_code_template_280,lv_tax_code_template_250,280,1,54,Par saņemtajiem pakalpojumiem,
lv_tax_code_template_290,lv_tax_code_template_250,290,1,55,"Ar PVN standartlikmi apliekamām precēm un pakalpojumiem, kas saņemti no ES dalībvalstīm",
lv_tax_code_template_300,lv_tax_code_template_250,300,1,56,"Ar PVN samazināto likmi apliekamām precēm, kas saņemtas no ES dalībvalstīm",
lv_tax_code_template_310,lv_tax_code_template_420,310,-1,60,"PVN SUMMA PAR SAŅEMTAJĀM PRECĒM UN PAKALPOJUMIEM (latos), no tā:",
lv_tax_code_template_320,lv_tax_code_template_310,320,1,61,Par importētajām precēm,
lv_tax_code_template_330,lv_tax_code_template_310,330,1,62,Par precēm un pakalpojumiem iekšzemē,
lv_tax_code_template_340,lv_tax_code_template_310,340,1,63,Aprēkinātā PVN summa saskaņā ar likuma 92.panta pirmās daļas 4.punktu (izņemot 64.rindu),
lv_tax_code_template_350,lv_tax_code_template_310,350,1,64,"Aprēķinātā PVN summa par precēm un pakalpojumiem, kas saņemti no ES dalībvalstīm",
lv_tax_code_template_360,lv_tax_code_template_310,360,1,65,Lauksaimniekiem izmaksātā kompensācija,
lv_tax_code_template_370,lv_tax_code_template_420,370,1,66,"PVN summa, kas nav atskaitāma kā priekšnodoklis",
lv_tax_code_template_380,lv_tax_code_template_420,380,-1,67,Korekcijas - iepriekšējos taksācijas periodos samaksai valsts budžetā aprēķinātā nodokļa samazinājums,
lv_tax_code_template_390,lv_tax_code_template_420,390,1,57,Korekcijas - iepriekšējos taksācijas periodos atskaitītā priekšnodokļa samazinājums,
lv_tax_code_template_500,lv_tax_code_template_001,500,0,,Priekšnodokļa bāzes,
lv_tax_code_template_510,lv_tax_code_template_500,510,1,,PVN 1-1,
lv_tax_code_template_520,lv_tax_code_template_510,520,1,,PVN bāze dekl. 62.rindai,
lv_tax_code_template_530,lv_tax_code_template_510,530,1,,PVN bāze dekl. 63.rindai,
lv_tax_code_template_540,lv_tax_code_template_510,540,1,,PVN bāze dekl. 67.rindai,
lv_tax_code_template_550,lv_tax_code_template_510,550,1,,PVN bāze dekl. 57.rindai,
lv_tax_code_template_600,lv_tax_code_template_500,600,1,,PVN 1-2,
lv_tax_code_template_610,lv_tax_code_template_600,610,1,,PVN bāze dekl. 64.rindai,
lv_tax_code_template_620,lv_tax_code_template_610,620,1,,PVN bāze dekl. 64.rindai - Prece,
lv_tax_code_template_630,lv_tax_code_template_610,630,1,,PVN bāze dekl. 64.rindai - Pakalpojums,
