id,name,parent_id/id,code,notprintable,sign
jpt_root,日本税チャート,,,FALSE,1
jpt_tax_code_balance_net,支払対象税額,jpt_root,,FALSE,1
jpt_tax_code_input,仮受税額,jpt_tax_code_balance_net,,FALSE,-1
jpt_tax_code_input_A,仮受消費税(8%),jpt_tax_code_input,,FALSE,1
jpt_tax_code_input_X,免税,jpt_tax_code_input,,FALSE,1
jpt_tax_code_input_O,不課税,jpt_tax_code_input,,FALSE,1
jpt_tax_code_output,仮払税額,jpt_tax_code_balance_net,,FALSE,1
jpt_tax_code_output_A,仮払消費税(8%),jpt_tax_code_output,,FALSE,1
jpt_tax_code_output_I,輸入,jpt_tax_code_output,,FALSE,1
jpt_tax_code_output_O,不課税,jpt_tax_code_output,,FALSE,1
jpt_tax_code_base_net,税計算基準額,jpt_root,,FALSE,1
jpt_tax_code_base_sales,販売基準額,jpt_tax_code_base_net,,FALSE,1
jpt_tax_code_sales_A,課税対象売上(8%),jpt_tax_code_base_sales,,FALSE,1
jpt_tax_code_sales_X,免税売上,jpt_tax_code_base_sales,,FALSE,1
jpt_tax_code_sales_O,不課税売上,jpt_tax_code_base_sales,,FALSE,1
jpt_tax_code_base_purchases,購買基準額,jpt_tax_code_base_net,,FALSE,1
jpt_tax_code_purch_A,課税対象仕入(8%),jpt_tax_code_base_purchases,,FALSE,1
jpt_tax_code_purch_I,輸入仕入,jpt_tax_code_base_purchases,,FALSE,1
jpt_tax_code_purch_O,不課税仕入,jpt_tax_code_base_purchases,,FALSE,1
