id,chart_template_id/id,code,account_type,name,reconcile
l10n_jp_110000,l10n_jp_chart_template,110000,asset_fixed,Buildings and Structures,FALSE
l10n_jp_110100,l10n_jp_chart_template,110100,asset_fixed,Buildings and Structures - Accumulated Depreciation,FALSE
l10n_jp_110200,l10n_jp_chart_template,110200,asset_fixed,Machinery and Equipment,FALSE
l10n_jp_110300,l10n_jp_chart_template,110300,asset_fixed,Machinery and Equipment - Accumulated Depreciation,FALSE
l10n_jp_110400,l10n_jp_chart_template,110400,asset_fixed,"Tools, Furniture and Fixtures",FALSE
l10n_jp_110500,l10n_jp_chart_template,110500,asset_fixed,"Tools, Furniture and Fixtures - Accumulated Depreciation",FALSE
l10n_jp_110600,l10n_jp_chart_template,110600,asset_fixed,Land,FALSE
l10n_jp_121000,l10n_jp_chart_template,121000,asset_current,Current Assets,FALSE
l10n_jp_121100,l10n_jp_chart_template,121100,asset_current,Stock Valuation Account,FALSE
l10n_jp_121200,l10n_jp_chart_template,121200,asset_current,Stock Interim Account (Received),FALSE
l10n_jp_121300,l10n_jp_chart_template,121300,asset_current,Stock Interim Account (Delivered),FALSE
l10n_jp_122000,l10n_jp_chart_template,122000,asset_current,Merchandise,FALSE
l10n_jp_122100,l10n_jp_chart_template,122100,asset_current,Finished Goods,FALSE
l10n_jp_122200,l10n_jp_chart_template,122200,asset_current,Semi-finished Goods,FALSE
l10n_jp_122300,l10n_jp_chart_template,122300,asset_current,Inventory in Transit,FALSE
l10n_jp_122400,l10n_jp_chart_template,122400,asset_current,Work in Process,FALSE
l10n_jp_122500,l10n_jp_chart_template,122500,asset_current,Raw Materials,FALSE
l10n_jp_122600,l10n_jp_chart_template,122600,asset_current,Materials,FALSE
l10n_jp_122700,l10n_jp_chart_template,122700,asset_current,Advance Payments,FALSE
l10n_jp_122800,l10n_jp_chart_template,122800,asset_current,Prepaid Expenses,FALSE
l10n_jp_122900,l10n_jp_chart_template,122900,asset_current,Advances Paid,FALSE
l10n_jp_123000,l10n_jp_chart_template,123000,asset_current,Suspense Payments,FALSE
l10n_jp_123100,l10n_jp_chart_template,123100,asset_current,Lease/Guarantee Deposits,FALSE
l10n_jp_123200,l10n_jp_chart_template,123200,asset_current,Consumption Tax - Purchase,FALSE
l10n_jp_123300,l10n_jp_chart_template,123300,asset_current,Bad Debt Allowance,FALSE
l10n_jp_123400,l10n_jp_chart_template,123400,asset_current,Accrued Income,FALSE
l10n_jp_123500,l10n_jp_chart_template,123500,asset_current,Securities,FALSE
l10n_jp_chart_template_liquidity_transfer,l10n_jp_chart_template,123600,asset_current,Liquidity Transfer,TRUE
l10n_jp_123700,l10n_jp_chart_template,123700,asset_current,Outstanding Payments,FALSE
l10n_jp_123800,l10n_jp_chart_template,123800,asset_current,Outstanding Receipts,FALSE
l10n_jp_123900,l10n_jp_chart_template,123900,asset_current,Bank Suspense Account,FALSE
l10n_jp_120003,l10n_jp_chart_template,124000,asset_current,Deposit,FALSE
l10n_jp_120004,l10n_jp_chart_template,124100,asset_current,Time Deposit,FALSE
l10n_jp_126000,l10n_jp_chart_template,126000,asset_receivable,Accounts Receivable - Trade,TRUE
l10n_jp_126200,l10n_jp_chart_template,126200,asset_receivable,Accounts Receivable (PoS),TRUE
l10n_jp_126300,l10n_jp_chart_template,126300,asset_receivable,Notes Receivable,TRUE
l10n_jp_126400,l10n_jp_chart_template,126400,asset_receivable,Notes Discount,TRUE
l10n_jp_210000,l10n_jp_chart_template,210000,asset_non_current,Non-current Liabilities,False
l10n_jp_210100,l10n_jp_chart_template,210100,asset_non_current,Software,FALSE
l10n_jp_210200,l10n_jp_chart_template,210200,asset_non_current,Software in Progress,FALSE
l10n_jp_210300,l10n_jp_chart_template,210300,asset_non_current,Other Intangible Asset,FALSE
l10n_jp_210400,l10n_jp_chart_template,210400,asset_non_current,Investment Securities,FALSE
l10n_jp_210500,l10n_jp_chart_template,210500,asset_non_current,Shares of Subsidiaries and Associates,FALSE
l10n_jp_210600,l10n_jp_chart_template,210600,asset_non_current,Long-term Loans Receivable,FALSE
l10n_jp_210700,l10n_jp_chart_template,210700,asset_non_current,Long-term Prepaid Expenses,FALSE
l10n_jp_210800,l10n_jp_chart_template,210800,asset_non_current,Deferred Organization Expenses,FALSE
l10n_jp_220000,l10n_jp_chart_template,220000,liability_payable,Accounts Payable - Trade,TRUE
l10n_jp_220200,l10n_jp_chart_template,220200,liability_payable,Notes Payable,TRUE
l10n_jp_220400,l10n_jp_chart_template,220400,liability_payable,Short-term Loans Payable,TRUE
l10n_jp_220500,l10n_jp_chart_template,220500,liability_payable,Current Portion of Long-term Loans Payable,TRUE
l10n_jp_220600,l10n_jp_chart_template,220600,liability_payable,Accounts Payable - Other,TRUE
l10n_jp_220700,l10n_jp_chart_template,220700,liability_payable,Accounts Payable - Credit Card,TRUE
l10n_jp_220800,l10n_jp_chart_template,220800,liability_payable,Dividends Payable,TRUE
l10n_jp_220900,l10n_jp_chart_template,220900,equity,Capital Stock,FALSE
l10n_jp_221000,l10n_jp_chart_template,221000,equity,Legal Capital Surplus,FALSE
l10n_jp_221100,l10n_jp_chart_template,221100,equity,Other Capital Surplus,FALSE
l10n_jp_221200,l10n_jp_chart_template,221200,equity,Legal Retained Earnings,FALSE
l10n_jp_221300,l10n_jp_chart_template,221300,equity,Reserve for Special Depreciation,FALSE
l10n_jp_221400,l10n_jp_chart_template,221400,equity,Voluntary Retained Earnings,FALSE
l10n_jp_221500,l10n_jp_chart_template,221500,equity,Retained Earnings Brought Forward,FALSE
l10n_jp_330000,l10n_jp_chart_template,330000,liability_current,Current Liabilities,FALSE
l10n_jp_330200,l10n_jp_chart_template,330200,liability_current,Accrued Expenses,FALSE
l10n_jp_330300,l10n_jp_chart_template,330300,liability_current,Income Taxes Payable,FALSE
l10n_jp_330400,l10n_jp_chart_template,330400,liability_current,Advances Received,FALSE
l10n_jp_330500,l10n_jp_chart_template,330500,liability_current,Deposits Received,FALSE
l10n_jp_330600,l10n_jp_chart_template,330600,liability_current,Suspense Receipt,FALSE
l10n_jp_330700,l10n_jp_chart_template,330700,liability_current,Provision for Bonuses,FALSE
