"id","name","applicability","country_id/id","name@es"
"account_tag_mod390_p103","mod390[103]","taxes","base.es","mod390[103]"
"account_tag_mod390_p104","mod390[104]","taxes","base.es","mod390[104]"
"account_tag_mod390_p230","mod390[230]","taxes","base.es","mod390[230]"
"account_tag_mod390_p232","mod390[232]","taxes","base.es","mod390[232]"
"account_tag_mod390_p773","mod390[773]","taxes","base.es","mod390[773]"
"account_tag_mod390_p774","mod390[774]","taxes","base.es","mod390[774]"
"account_tag_mod390_p775","mod390[775]","taxes","base.es","mod390[775]"
"account_tag_mod390_p776","mod390[776]","taxes","base.es","mod390[776]"
"account_tag_mod349_A","mod349[A]","taxes","base.es","mod349[A]"
"account_tag_mod349_E","mod349[E]","taxes","base.es","mod349[E]"
"account_tag_mod349_I","mod349[I]","taxes","base.es","mod349[I]"
"account_tag_mod349_S","mod349[S]","taxes","base.es","mod349[S]"
"account_tag_mod349_T","mod349[T]","taxes","base.es","mod349[T]"
"account_tag_mod349_M","mod349[M]","taxes","base.es","mod349[M]"
"account_tag_mod349_H","mod349[H]","taxes","base.es","mod349[H]"
"account_tag_mod349_R","mod349[R]","taxes","base.es","mod349[R]"
"account_tag_mod349_D","mod349[D]","taxes","base.es","mod349[D]"
"account_tag_mod349_C","mod349[C]","taxes","base.es","mod349[C]"
